cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,idsccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,schtmres,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"34038","0","2316714","2536857","PARK RIDGE COMMUNITY BANK","Park Ridge","IL","60068","6/30/2022","8/22/2022","NM","626 W Talcott Rd","COMMUNITY BANK CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","7/3/1995","7/3/1995","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.timetobank.com","74699","29471","20884","8587","45228","0","0","0","0","0","0","0","0","","0","0","","","30489","6155","1276","1276","0","4467","4467","0","412","0","412","0","74699","74699","0","0","0","0",""
"8851","0","716655","4792022","PARK STATE BANK","Duluth","MN","55806","6/30/2022","8/22/2022","NM","2630 W Superior St","PARK FINANCIAL GROUP INC","10","0","0","4","0","Saint Louis","20260","Duluth, MN-WI","6/28/1916","1/1/1934","5/22/2021","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.parkstatebank.com","187685","91446","35563","55883","27078","69161","11666","0","18698","28512","10285","0","0","","0","0","","","80591","59330","2786","2786","0","48201","36535","11666","8343","8343","0","986","186699","187681","0","0","0","0",""
"19381","10599","480059","","PARK STATE BANK & TRUST","Woodland Park","CO","80863","6/30/2022","8/22/2022","NM","710 W Hwy 24","","1","0","0","4","1","Teller","17820","Colorado Springs, CO","3/1/1965","3/1/1965","6/5/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.psbtrust.com","16326","16326","0","16326","0","0","0","0","0","0","0","0","0","","0","0","","","4502","16326","16097","16097","0","0","0","0","229","229","0","0","16326","16326","0","0","0","0","0"
"34888","0","2764212","3347292","PARKE BANK","Sewell","NJ","8080","6/30/2022","8/22/2022","NM","601 Delsea Dr.","PARKE BCORP INC","8","0","1","4","0","Gloucester","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/28/1999","1/28/1999","1/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.parkebank.com","20641","16346","0","16346","3791","504","4","0","0","0","500","0","0","","0","0","","","0","16350","16346","16346","0","4","0","4","0","0","0","9738","10903","20641","0","0","0","0","0"
"58796","0","3688043","3694026","PARKSIDE FINANCIAL BANK & TRUST","Clayton","MO","63105","6/30/2022","8/22/2022","NM","8112 Maryland Ave, # 101","PARKSIDE FINANCIAL INC","1","0","0","4","0","Saint Louis","41180","St. Louis, MO-IL","4/23/2008","4/23/2008","4/23/2008","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.pfbt.com","142726","104752","81861","22891","10303","27671","10758","0","798","0","16115","0","0","","0","0","","","103966","11980","10758","0","10758","0","0","0","1222","1222","0","0","142726","142725","0","0","131","0",""
"19008","15641","1001639","1200692","PARKWAY BANK AND TRUST COMPANY","Harwood Heights","IL","60706","6/30/2022","8/22/2022","NM","4800 N Harlem Ave","PARKWAY BCORP INC","32","0","1","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/22/1964","1/22/1964","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.parkwaybank.com","269011","265468","0","265468","478","3065","0","0","0","0","3065","0","0","","0","0","","","204114","28585","28585","28585","0","0","0","0","0","0","0","241701","27310","269011","0","0","0","0","0"
"15729","12410","335346","1129494","PARTNERS BANK","Helena","AR","72342","6/30/2022","8/22/2022","NM","302 Cherry St","HELENA BANCSHARES INC","8","0","0","4","0","Phillips","","","4/1/1940","4/1/1940","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","https://www.mypartners.bank","24552","10463","0","10463","14089","0","0","0","0","0","0","0","0","","0","0","","","21238","10463","10463","10463","0","0","0","0","0","0","0","0","24552","24552","0","0","0","0",""
"58588","0","3655933","","PARTNERS BANK OF CALIFORNIA","Mission Viejo","CA","92691","6/30/2022","8/22/2022","NM","27201 Puerta Real","","2","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","11/16/2007","11/16/2007","7/16/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.partnersbankca.com","4021","4021","2980","1041","0","0","0","0","0","0","0","0","0","","0","0","","","0","1041","1041","1041","0","0","0","0","0","0","0","0","4021","4022","0","0","0","0",""
"17115","7706","111205","3815054","PARTNERS BANK OF NEW ENGLAND","Sanford","ME","4073","6/30/2022","8/22/2022","SB","900 Main St","SIS BCORP MHC","11","0","1","4","0","York","38860","Portland-South Portland, ME","11/1/1933","5/27/1952","4/1/2022","Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.partners.bank","127361","102926","10884","92042","0","2505","0","0","0","0","2505","0","21930","","21930","0","","","452","67558","59150","59150","0","5031","5031","0","3377","3377","0","0","105431","105431","0","0","0","0",""
"12513","10502","114149","1138713","PARTNERS BANK OF WISCONSIN","Marshfield","WI","54449","6/30/2022","8/22/2022","NM","907 N Central Ave","STRATFORD BANCSHARES INC","3","0","0","4","0","Wood","","","6/13/1908","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","http://www.partnersbankwi.com","77583","27889","1967","25922","35672","14022","13522","0","0","0","500","0","0","","0","0","","","15797","30561","13562","40","13522","13235","13235","0","3764","2660","1104","0","77583","77583","1800","1634","0","0",""
