cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"8255","9737","613558","1119495","MONTGOMERY BANK","Sikeston","MO","63801","6/30/2022","8/22/2022","SM","One Montgomery Bank Plaza","MONTGOMERY BCORP INC","10","0","0","4","1","Scott","","","1/1/1934","1/1/1934","10/1/2018","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.montgomerybank.com","182","1159190","29628","17003","334224","0","717079","8121","0","39125","154","5571","33409","1159190","1079361","1042223","780868","1042223","71.4127409471233","11609","0","20000","0","5529","79829","79829","0","800","44773","34256","0","636","0","3649","1068306","211973","1176391.66666667","1175862","744755","1176513","20713","12386","7145","1182","35765","15243","20000","821","184923","87774","8506","184923","12649"
"8594","0","753052","1062694","MONTROSE SAVINGS BANK","Montrose","MO","64770","6/30/2022","8/22/2022","NM","401 Missouri Ave.","MONTROSE SVG BANCSHARES INC","1","0","0","2","1","Henry","","","1/1/1895","1/1/1934","8/12/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","8","53302","3294","1960","19860","3371","26200","521","0","119","0","0","458","53302","46565","46532","35119","46532","92.2986061894637","0","0","0","0","33","6737","6737","0","275","150","6312","0","43","0","458","51391","4554","52869.6666666667","53622","0","55400","0","0","0","0","398","334","0","0","2103","7392","0","2103","0"
"32992","0","1456501","2162966","MORGAN STANLEY BANK, NATIONAL ASSOCIATION","Salt Lake City","UT","84111","6/30/2022","8/22/2022","N","201 S Main St, 5th Fl.","MORGAN STANLEY","1","0","0","9","0","Salt Lake","41620","Salt Lake City, UT","5/25/1990","5/25/1990","12/12/2014","Stock","0","0","OCC","DIF","San Francisco","WASHINGTON","Salt Lake City","San Francisco","Western","West","0","0","","293","191345000","15392000","15378000","74242000","8666000","74520000","432000","13853000","0","0","0","4672000","191345000","172772000","169572000","162923000","169572000","65.9600124703682","0","0","558000","0","2642000","18573000","18573000","0","0","8005000","10568000","0","448000","0","492000","186587000","41665000","194999666.666667","196541000","96933900","195689000","0","0","0","0","106000","1000","0","8559000","89022000","18617000","599000","89022000","119319000"
"34221","13521","2489805","2162966","MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION","Purchase","NY","10577","6/30/2022","8/22/2022","N","2000 Westchester Ave","MORGAN STANLEY","4","0","1","9","0","Westchester","35620","New York-Newark-Jersey City, NY-NJ-PA","8/12/1996","8/12/1996","1/1/2022","Stock","0","1","OCC","DIF","New York","WASHINGTON","New York City","New York","Northeastern","Northeast","0","0","www.etrade.com","1038","199887000","19034000","18958000","51543000","0","126179000","130000","0","0","0","489000","2642000","199887000","183841000","182630000","173529000","182630000","68.0464091900252","0","0","463000","0","748000","16046000","16046000","0","0","12144000","3902000","0","288000","0","399000","196680000","84358000","215710921.333333","201697500","52683300","199963000","329000","0","329000","0","463000","29000","0","5000","12592000","15608000","116000","12592000","39054000"
"30434","5332","332671","","MORGANTON SAVINGS BANK, S.S.B.","Morganton","NC","28655","6/30/2022","8/22/2022","SB","100 S. King St.","","1","0","0","8","0","Burke","25860","Hickory-Lenoir-Morganton, NC","1/1/1903","12/28/1959","6/6/2012","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","www.morgantonsavings.com","10","125190","28232","25457","10650","1","69840","2390","0","2971","279","0","13217","125190","99985","83226","74577","83226","80.2354920100925","0","0","13000","0","3759","25205","25205","0","0","0","25205","0","965","0","412","105948","61729","121961","123575.5","0","123219","8008","1377","6631","0","4117","8928","13000","0","6297","25205","0","6297","0"
"275","0","330949","1119217","MORGANTOWN BANK & TRUST COMPANY, INCORPORATED","Morgantown","KY","42261","6/30/2022","8/22/2022","NM","201 N Main St","MORGANTOWN DEPOSIT BCORP INC","5","0","0","8","0","Butler","14540","Bowling Green, KY","9/1/1880","1/1/1934","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","https://www.morgantownbank.com","53","263665","5447","2619","63772","517","181212","1443","0","3800","0","0","8917","263665","245604","236125","188478","236125","88.4851307016615","0","0","7495","0","1984","18061","18061","0","300","13200","4561","0","108","0","1078","248120","155794","261056","262750.5","162381","260398","4065","4065","0","0","12903","4479","7495","0","33163","22231","1443","33163","0"
"17910","0","423739","1417212","MORRIS BANK","Dublin","GA","31021","6/30/2022","8/22/2022","NM","301 Bellevue Ave.","MORRIS STATE BANCSHARES INC","9","0","0","4","0","Laurens","","","11/29/1954","10/2/1958","6/30/2022","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","http://morrisstate.com","184","1420922","65539","60711","275499","18874","997105","12519","0","15782","3715","11169","33239","1420922","1244170","1239419","871720","1239419","99.9384401736533","0","0","0","0","4751","176752","176752","0","330","38665","137757","0","2565","157","4899","1352189","396827","1421585","1429053","1262992","1412613","14154","14154","0","0","43956","17815","0","488","250544","162574","12519","250544","0"
"18429","10842","825146","2762795","MORTON COMMUNITY BANK","Morton","IL","61550","6/30/2022","8/22/2022","NM","721 W Jackson St","HOMETOWN CMTY BCORP EMPLOYEE STK OWNERSHIP PLAN&TR","44","0","0","4","1","Tazewell","37900","Peoria, IL","8/26/1961","8/26/1961","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.hometownbanks.com","422","5016084","195475","149872","1906148","86478","2648700","39127","0","44374","11665","38874","84370","5016084","4721333","4410364","3454672","4410364","72.3069953842952","100","0","298619","0","12250","294751","294751","0","1514","260331","32906","0","34953","0","16211","4791198","2337437","4940806.33333333","4971181.5","3341480","5061322","42859","26305","0","16554","148073","13763","298619","745","612306","451210","39127","612306","109855"
"59285","0","5686324","","MOULTRIE BANK & TRUST","Moultrie","GA","31788","6/30/2022","8/22/2022","NM","250 Doc Darbyshire Rd","","1","0","0","7","0","Colquitt","","","5/9/2022","5/9/2022","6/30/2022","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.mbtga.com","13","25548","10878","10000","0","10390","2713","37","0","1431","0","0","136","25548","5498","5489","4566","5489","59.8907103825137","0","0","0","0","9","20050","20050","0","2157","19682","-1789","0","0","0","7","23103","0","25548","25548","0","23229","0","0","0","0","0","0","0","0","143","20050","0","143","0"
"9037","13222","259442","2510428","MOUND CITY BANK","Platteville","WI","53818","6/30/2022","8/22/2022","NM","25 E Pine St","MOUND CTY FINL SERVICES INC","6","0","0","2","0","Grant","","","2/15/1915","1/1/1934","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://www.moundcitybank.com","75","439362","20576","15038","74276","2903","320988","6071","0","5404","0","0","15215","439362","390730","383262","319326","383262","85.9211689798814","0","0","5000","0","2468","48632","48632","0","360","13600","34672","0","1219","0","2087","413205","158826","444136.333333333","441424","348403","441821","7413","7413","0","0","20608","1995","5000","0","73155","53776","4376","73155","1010"
"8028","13899","807432","2349516","MOUNT VERNON BANK","Mount Vernon","GA","30445","6/30/2022","8/22/2022","NM","101 S Railroad Ave","HEART OF GA BANCSHARES INC","3","0","0","8","1","Montgomery","","","1/24/1901","1/1/1934","6/30/2022","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","http://www.mvbankonline.com","25","156447","26093","22504","49977","0","73403","985","0","2828","273","399","3474","156447","147381","146813","101508","146813","79.7793266809154","0","0","0","0","568","9066","9066","0","300","6075","2691","0","692","0","708","145884","43079","157250.333333333","156762","0","156842","2439","2439","0","0","6824","694","0","0","8242","16940","0","8242","0"
"10494","13676","890649","1140912","MOUNT VERNON BANK AND TRUST COMPANY","Mount Vernon","IA","52314","6/30/2022","8/22/2022","NM","206 1st St. W.","MOUNT VERNON BCORP","2","0","0","5","0","Linn","16300","Cedar Rapids, IA","1/1/1884","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.mountvernonbank.com","21","179095","8041","6546","56240","660","110079","1098","0","717","0","0","3358","179095","161323","158967","133541","158967","71.3461840822616","0","0","2000","0","356","17772","17772","0","400","1600","15772","0","200","0","692","173525","68622","178577.333333333","180527","0","180826","0","0","0","0","9852","798","2000","0","10926","22307","0","10926","0"
"4931","12534","1016231","3416965","MOUNTAIN COMMERCE BANK","Knoxville","TN","37919","6/30/2022","8/22/2022","NM","6101 Kingston Pike","MOUNTAIN COMMERCE BCORP INC","6","0","0","4","0","Knox","28940","Knoxville, TN","1/1/1910","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.mcb.com","111","1448805","76652","64033","146388","0","1170929","11549","0","25011","0","42","29783","1448805","1325285","1221402","857997","1221402","61.1063990738937","0","0","95000","0","8883","123520","123520","0","338","73935","49247","0","1344","0","3645","1381350","749773","1394040","1423693.5","1215623","1416142","9687","9687","0","0","267272","19425","95000","501","273091","136501","11997","273091","0"
"58341","0","3459207","5217483","MOUNTAIN PACIFIC BANK","Everett","WA","98201","6/30/2022","8/22/2022","NM","3732 Broadway","MOUNTAIN PACIFIC BCORP INC","4","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","7/24/2006","7/24/2006","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","http://www.mp.bank","79","588333","94713","89769","18373","0","456124","9590","0","6854","0","942","11327","588333","530536","526912","402336","526912","53.344110381257","0","0","0","0","3624","57797","57797","0","0","41463","16334","0","7879","0","1844","564266","186625","597311.666666667","589696","495631","586988","0","0","0","0","24923","8208","0","3775","98094","58395","6242","98094","0"
