cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,NETINBM,NETIMIN,netinc,ntlnls,eqcdiv,eqcstkrx,noij
"32282","8089","773470","3842528","MALAGA BANK F.S.B.","Palos Verdes Pen","CA","90274","6/30/2022","8/22/2022","SA","2514 Via Tejon","MALAGA FINANCIAL CORP","5","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/8/1985","3/8/1985","7/21/2011","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","www.malagabank.com","24343","4164","20179","-82","468","0","40","","428","6572","3879","722","1971","14157","0","4174","9983","0","9983","0","9983","-1","4000","0","9983"
"14230","0","756343","3070415","MALVERN BANK","Malvern","IA","51551","6/30/2022","8/22/2022","NM","404 Main St.","MALVERN BANCSHARES INC","1","0","0","4","1","Mills","36540","Omaha-Council Bluffs, NE-IA","1/1/1892","4/10/1934","1/1/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","0","1","www.malvern.bank","3686","458","3228","0","383","0","26","","357","2353","1240","340","773","1258","-16","41","1201","0","1201","0","1201","-18","933","0","1216.52"
"27861","416","676478","3805279","MALVERN BANK N.A.","Paoli","PA","19301","6/30/2022","8/22/2022","N","42 E. Lancaster Ave.","MALVERN BCORP INC","9","0","1","4","0","Chester","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/1/1887","1/8/1947","2/12/2018","Stock","0","0","OCC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.mymalvernbank.com","16861","1996","14865","0","1011","0","49","","962","12116","4697","991","6428","3760","32","824","2968","0","2968","0","2968","728","0","0","2942.72"
"30470","5398","459671","2589714","MANASQUAN BANK","Manasquan","NJ","8736","6/30/2022","8/22/2022","SB","2221 Landmark Pl.","MB MUTUAL HOLDING CO","16","0","0","4","0","Monmouth","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1874","7/7/1950","4/1/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.manasquanbank.com","41568","4070","37498","750","2950","0","309","0","2641","23690","13109","3273","7308","16008","-85","4470","11453","0","11453","0","11453","-47","0","0","11520.15"
"11823","0","614751","2851318","MANHATTAN BANK","Manhattan","MT","59741","6/30/2022","8/22/2022","NM","124 S. Broadway","MSB FINANCIAL INC","4","0","0","8","1","Gallatin","","","10/5/1905","1/1/1934","7/29/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.manhattanbank.bank","4635","160","4475","210","386","0","90","0","296","2805","1678","324","803","1846","0","0","1846","0","1846","0","1846","8","697","0","1846"
"588","11394","501105","1037003","MANUFACTURERS AND TRADERS TRUST COMPANY","Buffalo","NY","14203","6/30/2022","8/22/2022","SM","1 M &t Plz","M&T BANK CORP","1094","3","1","4","0","Erie","15380","Buffalo-Cheektowaga-Niagara Falls, NY","1/1/1856","1/1/1934","4/2/2022","Stock","0","1","FED","DIF","New York","WASHINGTON","Syracuse","New York","Northeastern","Northeast","0","0","http://www.mtb.com","2391253","58589","2332664","312250","870844","111506","161475","-5013","602876","2155516","1276431","202664","676421","735742","-284","167396","568062","0","568062","0","568062","56562","1000000","70022","568286.36"
"18618","12962","930965","3133262","MANUFACTURERS BANK","Los Angeles","CA","90071","6/30/2022","8/22/2022","NM","515 S. Figueroa St, Ground F","SUMITOMO MITSUI FINL GROUP INC","9","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","10/29/1962","10/29/1962","6/5/2017","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","1","http://www.manufacturersbank.com","44064","6703","37361","-2365","3329","133","947","0","2249","61705","41692","2385","17628","-18650","-872","-4548","-14974","0","-14974","0","-14974","-290","0","0","-14285.12"
"16307","14046","215345","2269977","MANUFACTURERS BANK & TRUST COMPANY","Forest City","IA","50436","6/30/2022","8/22/2022","NM","245 E J St","MBT CORP","10","0","1","2","1","Winnebago","","","9/1/1945","9/1/1945","9/18/2021","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.mbtbank.bank","11230","469","10761","310","2162","0","386","","1776","8507","5496","1313","1698","4106","70","156","4020","0","4020","0","4020","-3","3042","0","3952.8"
"57581","0","3151417","3151426","MAPLE BANK","Champlin","MN","55316","6/30/2022","8/22/2022","NM","11660 Theatre Dr. N.","MAPLE FINANCIAL HOLDING CO","1","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","8/4/2003","8/4/2003","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","https://www.maple-bank.com","2226","183","2043","15","109","0","16","0","93","1956","1433","127","396","181","0","55","126","0","126","0","126","-10","100","0","126"
"28585","1899","548472","3793497","MAPLE CITY SAVINGS BANK, FSB","Hornell","NY","14843","6/30/2022","8/22/2022","SA","145 Main St.","MAPLE CITY SAVINGS MHC","3","0","0","5","0","Steuben","","","1/1/1905","1/5/1953","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.maplecitysavings.com","2041","279","1762","60","403","0","67","","336","1804","967","218","619","301","0","63","238","0","238","0","238","4","15","0","238"
