cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"17764","0","876700","","CENTREVILLE BANK","West Warwick","RI","2893","6/30/2022","8/22/2022","SB","1218 Main St","","17","0","1","4","0","Kent","39300","Providence-Warwick, RI-MA","1/1/1888","5/24/1957","4/1/2022","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","http://www.centrevillebank.com","1304549","5566","16768","19715","25956","125512","202740","263440","42469","143887","204119","215998","26571"
"7461","13498","411512","1144086","CENTRIC BANK","Harrisburg","PA","17112","6/30/2022","8/22/2022","NM","4320 Linglestown Rd","CENTRIC FINANCIAL CORP","9","0","0","4","0","Dauphin","25420","Harrisburg-Carlisle, PA","11/1/1919","1/1/1934","3/4/2009","Stock","0","0","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","www.CentricBank.com","904291","10863","2650","5998","38109","13288","9639","347402","32129","104643","264027","36590","26571"
"58158","0","3377235","4087894","CENTRUST BANK, NATIONAL ASSOCIATION","Northbrook","IL","60062","6/30/2022","8/22/2022","N","385 Waukegan Rd","UNITED CMTY BANCSHARES INC","1","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","4/14/2006","4/14/2006","8/29/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.centrustbank.com","95123","1524","397","1676","3265","237","0","49568","5770","12782","17597","500","2"
"11448","11294","58636","2468275","CENTURY BANK","Lucedale","MS","39452","6/30/2022","8/22/2022","NM","4282 Main St","BANCORP OF LUCEDALE INC","9","0","1","4","0","George","","","6/1/1903","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","centurybank.net","281866","3815","2059","5256","5709","12367","31355","36908","28736","29223","37807","32853","54780"
"28362","1441","83375","3632756","CENTURY BANK","Santa Fe","NM","87501","6/30/2022","8/22/2022","NM","100 S. Fedl Pl.","CENTURY FINL SERVICES CORP","9","0","0","4","1","Santa Fe","42140","Santa Fe, NM","1/1/1910","3/14/1952","12/14/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Albuquerque","Kansas City","Western","West","0","1","https://www.mycenturybank.com/","732919","1375","9561","1971","12179","13820","597","169592","81066","197407","211255","25742","5106"
"147","0","944337","2043850","CENTURY BANK AND TRUST","Milledgeville","GA","31061","6/30/2022","8/22/2022","NM","141 S Wayne St","CENTURY BCORP INC","2","0","0","4","0","Baldwin","","","1/1/1898","1/1/1934","6/30/2022","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.centurybankonline.com","163204","976","2582","2569","6361","19960","7370","19613","20169","14197","10965","42029","16400"
"5015","9914","694847","1491856","CENTURY BANK AND TRUST","Coldwater","MI","49036","6/30/2022","8/22/2022","NM","100 W Chicago St","CENTURY FINANCIAL CORP","11","0","0","8","0","Branch","","","1/1/1909","1/1/1934","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","www.centurybankandtrust.com","192795","3988","6296","11102","13127","10624","7005","59875","11303","22084","32176","11277","3261"
"35558","0","2939001","3492790","CENTURY BANK OF FLORIDA","Tampa","FL","33612","6/30/2022","8/22/2022","SM","716 W. Fletcher Ave.","CENTURY BANCSHARES OF FL INC","1","0","0","4","1","Hillsborough","45300","Tampa-St. Petersburg-Clearwater, FL","9/11/2000","9/11/2000","7/31/2014","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","http://www.centurybk.com","63663","2290","120","2763","5337","2949","1804","14613","4781","7671","12201","8717","0"
"35236","0","2921211","3236640","CENTURY BANK OF GEORGIA","Cartersville","GA","30120","6/30/2022","8/22/2022","NM","215 E. Main St.","CBB BCORP","2","0","0","7","0","Bartow","12060","Atlanta-Sandy Springs-Roswell, GA","6/29/2000","6/29/2000","11/10/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.centurybanknet.com","108558","1358","3224","3055","2866","6310","10575","6347","11237","21507","7119","29828","5115"
"35450","0","2920287","3097458","CENTURY BANK OF KENTUCKY, INC.","Lawrenceburg","KY","40342","6/30/2022","8/22/2022","NM","201 W Woodford St","CENTURY BANCSHARES INC","2","0","0","4","1","Anderson","","","7/5/2000","7/5/2000","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","0","1","http://www.centurybankky.com","114766","1646","4023","615","729","3547","40703","6842","12766","3066","5156","7690","26913"
"8296","14022","904359","1095469","CENTURY BANK OF THE OZARKS","Gainesville","MO","65655","6/30/2022","8/22/2022","SM","42 Court Sq.","CENTURY BANCSHARES INC","6","0","1","2","0","Ozark","","","7/24/1894","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","WWW.CBOZARKS.COM","182193","2131","5317","14953","6643","1611","4238","20660","40442","44108","28855","7184","5919"
"29700","3912","345877","4211831","CENTURY NEXT BANK","Ruston","LA","71270","6/30/2022","8/22/2022","SA","505 N. Vienna St.","CENTURY NEXT FINANCIAL CORP","7","0","1","4","0","Lincoln","","","1/1/1905","9/14/1935","1/15/2019","Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","www.cnext.bank","513241","7168","23539","32398","55740","9805","4104","18658","54674","75768","148667","80981","0"
"28860","2505","401072","","CENTURY SAVINGS AND LOAN ASSOCIATION","Trinidad","CO","81082","6/30/2022","8/22/2022","SA","233 E. Main St","","1","0","0","5","0","Las Animas","","","1/1/1903","9/14/1937","7/21/2011","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","centurysavings.com","31270","71","385","93","517","17138","2863","103","304","313","1537","5558","1961"
"30428","5322","392778","2560508","CENTURY SAVINGS BANK","Vineland","NJ","8360","6/30/2022","8/22/2022","SB","1376 W. Sherman Ave.","CENTURY BCORP MHC","6","0","0","8","0","Cumberland","47220","Vineland-Bridgeton, NJ","1/1/1865","10/5/1953","12/31/2007","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.centurysb.com","268332","1017","821","2418","4382","27228","47435","23472","17038","19205","23822","42431","58539"
"1993","14597","75651","2696984","CERESCOBANK","Ceresco","NE","68017","6/30/2022","8/22/2022","NM","130 W. Elm St.","CERESCO BCORP INC","1","0","0","2","0","Saunders","36540","Omaha-Council Bluffs, NE-IA","9/1/1911","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","http://www.cerescobank.com","30018","307","1006","1186","1981","346","229","2920","8248","5314","6047","2112","312"
"28263","1260","767974","3828577","CF BANK, NATIONAL ASSOCIATION","Worthington","OH","43085","6/30/2022","8/22/2022","N","7000 N High St","CF BANKSHARES INC","7","0","1","4","0","Franklin","18140","Columbus, OH","1/1/1892","12/24/1936","8/29/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.cf.bank","1393759","7277","6126","15848","11116","40084","342604","351888","37183","159592","250422","163280","7417"
"34294","13813","2471239","3927078","CFG COMMUNITY BANK","Lutherville","MD","21093","6/30/2022","8/22/2022","NM","11 W. Ridgely Rd.","CAPITAL FUNDING BCORP INC","2","0","0","4","1","Baltimore","12580","Baltimore-Columbia-Towson, MD","12/1/1997","12/1/1997","6/18/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.cfg.bank","2584262","697","3438","6201","11758","1600","3150","2003326","131445","133351","208734","64546","8995"
"29672","3866","100777","3831269","CFSBANK","Charleroi","PA","15022","6/30/2022","8/22/2022","SA","101 Mckean Ave.","CHARLEROI FINANCIAL MHC","10","0","0","5","0","Washington","38300","Pittsburgh, PA","1/1/1935","4/22/1936","3/2/2015","Stock","0","0","OCC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","www.cfsbank.com","328027","5","14","764","2458","50692","200893","8039","10","514","3892","25611","34383"
"58595","0","3597211","3597220","CHAIN BRIDGE BANK, NATIONAL ASSOCIATION","Mclean","VA","22101","6/30/2022","8/22/2022","N","1445-A Laughlin Ave.","CHAIN BRIDGE BCORP INC","1","0","0","9","0","Fairfax","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","8/6/2007","8/6/2007","9/18/2020","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.chainbridgebank.com","287605","923","3877","18283","33093","113356","14538","5092","3991","17383","13014","61399","2656"
"5615","10237","517049","1141487","CHAMBERS BANK","Danville","AR","72833","6/30/2022","8/22/2022","NM","901 Main St.","CHAMBERS BANCSHARES INC","28","0","0","4","0","Yell","","","10/7/1930","1/1/1934","11/2/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","http://www.chambers.bank","989414","3277","12672","58104","68006","5799","4159","159614","122849","228445","289191","36788","114"
"13251","0","416357","1056125","CHAMBERS STATE BANK","Chambers","NE","68725","6/30/2022","8/22/2022","NM","104 E Main St","CHAMBANCO INC","2","0","0","2","0","Holt","","","11/1/1901","1/1/1934","9/21/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","Western","0","1","http://www.chambersbank.com","52400","0","235","368","634","0","0","12697","7920","16076","11435","1268","1713"
"57031","0","2901558","","CHAMPION BANK","Parker","CO","80134","6/30/2022","8/22/2022","NM","16790 Ctr. Court","","2","0","0","7","0","Douglas","19740","Denver-Aurora-Lakewood, CO","6/17/2002","6/17/2002","11/30/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.thechampionbank.com","15485","241","831","1025","152","0","0","1573","2542","5954","3163","0","3"
"7356","10385","126012","1138955","CHAMPLAIN NATIONAL BANK","Elizabethtown","NY","12932","6/30/2022","8/22/2022","N","7558 Us Rt. 9","CHAMPLAIN BANK CORP","10","0","0","4","0","Essex","","","1/1/1934","1/1/1934","2/4/2014","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","http://www.champlainbank.com","295846","2330","220","234","17123","25215","26788","38026","2504","13101","101056","59952","6057"
"11570","0","748357","","CHAPPELL HILL BANK","Chappell Hill","TX","77426","6/30/2022","8/22/2022","NM","5060 Main St.","","1","0","0","8","0","Washington","","","1/1/1907","1/1/1934","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.chappellhillbank.com","37123","151","649","2358","2257","2704","8783","719","4984","4949","1529","3265","4776"
"12308","12893","866055","5193091","CHARIS BANK","Justin","TX","76247","6/30/2022","8/22/2022","NM","412 S. Hwy. 156","CHARIS HOLDINGS INC","2","0","0","4","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","1/24/1907","1/1/1934","6/14/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.justinstatebank.com","156897","2150","172","2878","3769","14096","0","90716","1165","18034","17500","5966","0"
"26602","14064","947776","3966022","CHARLES RIVER BANK","Medway","MA","2053","6/30/2022","8/22/2022","SM","70 Main St","CHARLES RIVER BCORP MHC","4","0","0","5","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1915","3/25/1986","4/1/2022","Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","http://charlesriverbank.com","212514","1239","2503","9749","7585","19384","66061","30116","2697","18052","33067","14113","7187"
"57450","18077","3150447","1026632","CHARLES SCHWAB BANK, SSB","Westlake","TX","76262","6/30/2022","8/22/2022","SM","3000 Schwab Way","CHARLES SCHWAB CORP THE","1","0","0","9","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","4/28/2003","4/28/2003","3/20/2020","Stock","0","1","FED","DIF","Dallas","WASHINGTON","Phoenix","Dallas","Southern","West","0","0","www.schwabbank.com","41527000","70000","409000","796000","3282000","16298000","3120000","17509000","6000","0","14000","3000","0"
"33497","15846","1893049","1026632","CHARLES SCHWAB PREMIER BANK, SSB","Westlake","TX","76262","6/30/2022","8/22/2022","SM","3000 Schwab Way","CHARLES SCHWAB CORP THE","1","0","0","9","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","8/30/1991","8/30/1991","3/20/2020","Stock","0","0","FED","DIF","Dallas","WASHINGTON","Phoenix","Dallas","Southern","West","0","0","","87000","0","0","0","0","0","0","87000","0","0","0","0","0"
"59108","0","5278251","1026632","CHARLES SCHWAB TRUST BANK","Henderson","NV","89074","6/30/2022","8/22/2022","SB","2360 Corp Circle, # 400","CHARLES SCHWAB CORP THE","1","0","0","5","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","7/2/2018","7/2/2018","3/31/2021","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33926","0","2232757","2336794","CHARLEVOIX STATE BANK","Charlevoix","MI","49720","6/30/2022","8/22/2022","NM","111 State St","CHARLEVOIX FIRST CORP","7","0","0","7","1","Charlevoix","","","8/16/1994","8/16/1994","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","www.charlevoixstatebank.com","108545","3197","3772","5547","16373","2368","151","23227","3099","15352","26048","8326","466"
"27086","13920","1158878","1081239","CHARLOTTE STATE BANK & TRUST","Port Charlotte","FL","33953","6/30/2022","8/22/2022","NM","1100 Tamiami Trail","CREWS BANKING CORP","6","0","0","7","1","Charlotte","39460","Punta Gorda, FL","11/3/1987","11/3/1987","6/30/2022","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","0","www.charlottestatebankandtrust.com","217466","231","3001","427","225","7935","63394","10087","4975","11193","13173","7005","95820"
"34686","14723","2705112","2646037","CHARTER BANK","Johnston","IA","50131","6/30/2022","8/22/2022","NM","5526 N.W. 86th St.","JOHNSTON GROWTH CORP","4","0","0","4","1","Polk","19780","Des Moines-West Des Moines, IA","6/15/1998","6/15/1998","6/30/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.charterbanker.com","120074","358","1773","5504","7360","8093","12586","14125","3533","12914","24013","14643","15173"
"23137","10163","160650","3485989","CHARTER BANK","Eau Claire","WI","54701","6/30/2022","8/22/2022","SM","1010 W Clairemont Ave","CHARTER BANKSHARES INC","4","0","1","4","1","Eau Claire","20740","Eau Claire, WI","6/19/1980","6/19/1980","8/29/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","http://www.charterbank.bank","832294","9262","9322","30627","57933","48594","3741","139835","42228","120740","255111","106897","3824"
"18660","14661","814458","2963556","CHARTER BANK","Corpus Christi","TX","78410","6/30/2022","8/22/2022","NM","10502 Leopard St.","CHARTER BANCSHARES INC","4","0","0","4","1","Nueces","18580","Corpus Christi, TX","12/14/1962","12/14/1962","2/1/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.charterbankcc.com","191043","1122","2241","3100","7197","1531","78","25731","51961","42534","52572","2675","172"
"26185","12827","582953","1132579","CHARTER WEST BANK","West Point","NE","68788","6/30/2022","8/22/2022","SM","201 S. Main St.","NATIONWIDE BANKSHARES INC","6","0","0","2","1","Cuming","","","4/1/1985","4/1/1985","12/7/2015","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","https://www.charterwest.com","306215","28650","7489","11745","24622","319","2049","81364","30290","31919","75456","11215","195"
"18238","8593","345309","","CHELSEA GROTON BANK","Groton","CT","6340","6/30/2022","8/22/2022","SB","904 Poquonnock Rd","","14","0","0","5","0","New London","35980","Norwich-New London, CT","1/1/1854","7/1/1960","4/1/2022","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","http://www.chelseagroton.com","949440","5480","21516","16515","22195","164908","422691","66330","16112","39112","22211","62698","83350"
"15427","12824","771748","1206779","CHELSEA SAVINGS BANK","Belle Plaine","IA","52208","6/30/2022","8/22/2022","NM","601 13th St","CHEBELLE CORP","5","0","0","2","1","Benton","16300","Cedar Rapids, IA","10/19/1936","10/19/1936","7/27/2020","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.chelseasavingsbank.com","58555","830","1404","4018","8727","737","0","1700","13358","9810","16823","906","0"
"14009","0","711548","3306824","CHELSEA STATE BANK","Chelsea","MI","48118","6/30/2022","8/22/2022","SM","1010 S Main St","CSB BCORP INC","3","0","0","4","1","Washtenaw","11460","Ann Arbor, MI","12/17/1897","3/7/1934","8/29/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.chelseastate.bank","219199","536","75","2277","2171","8632","10989","67567","7924","39135","49265","23979","6625"
"597","10696","884303","1133594","CHEMUNG CANAL TRUST COMPANY","Elmira","NY","14902","6/30/2022","8/22/2022","SM","One Chemung Canal Plaza","CHEMUNG FINANCIAL CORP","31","0","1","4","0","Chemung","21300","Elmira, NY","10/22/1833","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","WWW.CHEMUNGCANAL.COM","1617562","1276","2875","3478","15783","182252","121234","470525","25203","147716","182324","430481","27033"
