cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"16733","0","750051","","NORTH STAR BANK","Roseville","MN","55113","6/30/2022","8/22/2022","NM","1820 N. Lexington Ave.","","2","0","0","4","1","Ramsey","33460","Minneapolis-St. Paul-Bloomington, MN-WI","2/3/1947","9/14/1948","6/4/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://WWW.NORTHSTARBANK.COM","15128","282","2883","11963","37848","7383","3885","26580","398","0","0","398","0","0","0","0","57","7","19","31","337","230","36","71","1","0","0","1","0","0","0","0"
"35519","0","2915461","3109070","NORTH STATE BANK","Raleigh","NC","27609","6/30/2022","8/22/2022","SM","6204 Falls Of The Neuse Rd.","NORTH STATE BCORP","7","0","0","4","1","Wake","39580","Raleigh, NC","6/1/2000","6/1/2000","10/4/2017","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","http://www.northstatebank.com","144937","1530","15852","127555","81126","6339","18869","55918","700","68","138","494","0","0","0","0","420","30","111","279","527","192","170","165","4","2","1","1","0","0","0","0"
"2284","15598","783910","3264193","NORTH VALLEY BANK","Zanesville","OH","43701","6/30/2022","8/22/2022","SM","2775 Maysville Pike","NORTH VALLEY BANCSHARES INC","8","0","0","4","0","Muskingum","","","11/4/1904","1/1/1934","8/29/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.nvboh.bank","37356","1341","8016","27999","12133","3256","2523","6354","9304","647","4709","3948","2216","778","859","579","280","135","57","88","704","649","32","23","116","62","38","16","230","219","8","3"
"18710","0","350750","1050226","NORTH VALLEY BANK","Thornton","CO","80229","6/30/2022","8/22/2022","NM","9001 N. Washington St.","CITIZENS INVESTMENT CO","2","0","0","4","1","Adams","19740","Denver-Aurora-Lakewood, CO","2/25/1963","2/25/1963","1/15/2020","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.nvbank.bank","11585","338","3925","7322","1610","531","813","266","0","0","0","0","0","0","0","0","57","9","24","24","28","19","8","1","0","0","0","0","0","0","0","0"
"57082","0","2938198","2260406","NORTHBROOK BANK AND TRUST COMPANY, NATIONAL ASSOCIATION","Northbrook","IL","60062","6/30/2022","8/22/2022","N","1100 Waukegan Rd","WINTRUST FINANCIAL CORP","7","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","11/22/2000","11/22/2000","8/29/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.northbrookbank.com","69799","339","6132","63328","362660","124089","81856","156715","0","0","0","0","0","0","0","0","201","8","50","143","14247","12974","780","493","0","0","0","0","0","0","0","0"
"16659","14192","689357","1122422","NORTHEAST BANK","Minneapolis","MN","55413","6/30/2022","8/22/2022","NM","77 Broadway St, N.E.","NORTHEAST SECURITIES CORP","3","0","0","4","1","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/3/1948","1/3/1948","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","northeastbank-mn.com","46526","644","4859","41023","20877","2623","5365","12889","0","0","0","0","0","0","0","0","155","14","43","98","242","120","63","59","0","0","0","0","0","0","0","0"
"19690","7705","468806","","NORTHEAST BANK","Portland","ME","4101","6/30/2022","8/22/2022","NM","27 Pearl St","","9","0","0","4","0","Cumberland","38860","Portland-South Portland, ME","2/5/1872","3/16/1967","4/1/2022","Stock","0","1","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.northeastbank.com","129518","570","10107","118841","3852","615","1123","2114","4","0","4","0","60","60","0","0","601","26","134","441","80","42","18","20","1","0","1","0","1","1","0","0"
"29147","2995","823478","3435742","NORTHEAST COMMUNITY BANK","White Plains","NY","10601","6/30/2022","8/22/2022","SB","325 Hamilton Ave.","NORTHEAST COMMUNITY BCORP INC","12","0","1","4","0","Westchester","35620","New York-Newark-Jersey City, NY-NJ-PA","9/1/1934","11/14/1934","1/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","https://www.necommunitybank.com","12026","36","108","11882","27862","618","2773","24471","0","0","0","0","0","0","0","0","25","1","1","23","127","24","28","75","0","0","0","0","0","0","0","0"
"15771","13331","888833","1085572","NORTHEAST GEORGIA BANK","Lavonia","GA","30553","6/30/2022","8/22/2022","NM","12461 Augusta Rd","FIRST SECURITY BANKSHARES INC","10","0","0","2","1","Franklin","","","1/1/1934","9/23/1940","1/1/2022","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.northeastgabank.com","36954","3585","9902","23467","27174","6109","9405","11660","14252","2581","5280","6391","2004","1317","200","487","206","74","76","56","324","212","78","34","124","53","47","24","59","56","2","1"
"13381","0","651158","1100055","NORTHEAST MISSOURI STATE BANK","Kirksville","MO","63501","6/30/2022","8/22/2022","NM","600 S. Baltimore","SCHUYLER COUNTY BANCSHARES INC","2","0","0","2","1","Adair","","","12/20/1933","1/2/1934","4/10/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","","2520","2520","0","0","3666","3666","0","0","10662","2291","4239","4132","6054","3746","1316","992","40","40","0","0","81","81","0","0","126","80","33","13","288","270","13","5"
"18384","12274","442244","1206201","NORTHEAST SECURITY BANK","Sumner","IA","50674","6/30/2022","8/22/2022","NM","1150 W 1st St","INDEPENDENCE BANCSHARES INC","8","0","0","2","0","Bremer","47940","Waterloo-Cedar Falls, IA","1/1/1888","5/11/1961","4/7/2022","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.bankNSB.com","11039","1768","2650","6621","20595","5403","5869","9323","28246","1761","10622","15863","27057","10047","10435","6575","86","47","20","19","334","231","63","40","179","39","82","58","628","434","146","48"
"18266","13346","900306","1246935","NORTHERN BANK & TRUST COMPANY","Woburn","MA","1801","6/30/2022","8/22/2022","NM","275 Mishawum Rd","NORTHERN BCORP INC","15","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","2/25/1960","6/23/1960","4/1/2022","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.nbtc.com","57106","223","3833","53050","66361","7844","9913","48604","0","0","0","0","0","0","0","0","164","7","30","127","687","384","124","179","0","0","0","0","0","0","0","0"
"13784","11375","289056","1871588","NORTHERN INTERSTATE BANK, N. A.","Norway","MI","49870","6/30/2022","8/22/2022","N","501 W. Us 2","NORTHERN INTERSTATE FINL INC","7","0","0","7","0","Dickinson","","","6/12/1901","1/29/1934","8/29/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","0","1","www.banknib.com","12611","1200","2631","8780","4861","1512","1206","2143","187","0","187","0","0","0","0","0","73","29","22","22","99","72","13","14","2","0","2","0","0","0","0","0"
"15242","0","625757","1127799","NORTHERN STATE BANK","Ashland","WI","54806","6/30/2022","8/22/2022","NM","321 Main St W","BAY AREA BANKING SHARES INC","7","0","1","8","1","Ashland","","","9/5/1933","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","http://www.nsbashland.com","17606","2392","5923","9291","8515","2057","2908","3550","401","69","332","0","0","0","0","0","144","62","51","31","177","132","31","14","6","2","4","0","0","0","0","0"
"15286","10910","188056","1907106","NORTHERN STATE BANK OF THIEF RIVER FALLS","Thief River Fall","MN","56701","6/30/2022","8/22/2022","NM","201 E. 3rd St.","GATO HOLDINGS INC","3","0","0","2","1","Pennington","","","8/24/1935","10/2/1935","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.nsbtrf.com","25399","4302","6482","14615","14129","5738","3042","5349","19538","3193","6447","9898","11336","4297","3820","3219","190","98","54","38","272","223","33","16","172","93","49","30","302","246","38","18"
"19589","15406","774253","5217915","NORTHERN STATE BANK OF VIRGINIA","Virginia","MN","55792","6/30/2022","8/22/2022","NM","600 Chestnut St.","BENIC HOLDINGS INC","2","0","0","4","1","Saint Louis","20260","Duluth, MN-WI","5/19/1966","5/19/1966","3/1/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.nsbov.com","9468","573","1759","7136","12654","2374","3199","7081","0","0","0","0","0","0","0","0","50","15","17","18","122","80","24","18","0","0","0","0","0","0","0","0"
"28710","18063","28013","3132863","NORTHFIELD BANK","Staten Island","NY","10314","6/30/2022","8/22/2022","SA","1731 Victory Blvd","NORTHFIELD BCORP INC","38","0","1","4","0","Richmond","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1887","6/28/1983","7/1/2020","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.enorthfield.com","102145","791","10252","91102","66447","9901","37551","18995","0","0","0","0","0","0","0","0","364","12","87","265","726","306","328","92","0","0","0","0","0","0","0","0"
"14140","8416","520003","2934305","NORTHFIELD SAVINGS BANK","Northfield","VT","5663","6/30/2022","8/22/2022","SB","33 S Main St","NORTHFIELD MHC","14","0","0","4","0","Washington","","","11/21/1867","3/31/1934","4/1/2022","Stock","0","0","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.nsbvt.com","78691","2108","13530","63053","21294","2561","5058","13675","444","0","0","444","0","0","0","0","336","51","112","173","268","146","60","62","2","0","0","2","0","0","0","0"
"27119","11802","1161216","","NORTHMARK BANK","North Andover","MA","1845","6/30/2022","8/22/2022","NM","89 Turnpike St","","3","0","0","4","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","12/8/1987","12/8/1987","4/1/2022","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.northmarkbank.com","24598","141","4187","20270","11022","1820","1982","7220","0","0","0","0","0","0","0","0","96","4","35","57","172","96","35","41","0","0","0","0","0","0","0","0"
"34953","0","2737980","2737814","NORTHPOINTE BANK","Grand Rapids","MI","49546","6/30/2022","8/22/2022","NM","3333 Deposit Dr Ne","NORTHPOINTE BANCSHARES INC","1","0","0","5","0","Kent","24340","Grand Rapids-Wyoming, MI","5/21/1999","5/21/1999","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","0","www.northpointe.com","2104","275","1323","506","49","49","0","0","193","70","123","0","0","0","0","0","22","7","13","2","1","1","0","0","2","1","1","0","0","0","0","0"
