cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,trn,trnipcoc,trnusgov,trnmuni,trncbo,trnfcfg,trnfc,trnfg
"9030","11662","104234","1249178","THE HARRISON COUNTY BANK","Lost Creek","WV","26385","12/31/2012","11/15/2020","NM","Main St.","HARRISON BANKSHARES INC","5","0","0","8","0","Harrison","","","2/1/1911","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.hcbwv.com","32375","29182","0","2525","668","0","0","0"
"11361","11003","857017","1070466","THE HARRISON DEPOSIT BANK AND TRUST COMPANY","Cynthiana","KY","41031","12/31/2012","11/15/2020","NM","Walnut &pike St.","HARRISON BCORP","2","0","0","8","1","Harrison","","","12/1/1901","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","19374","17746","2","1626","0","0","0","0"
"9079","14315","800134","1209604","THE HARVARD STATE BANK","Harvard","IL","60033","12/31/2012","11/15/2020","NM","33-35 N. Ayer St.","HARVARD BANCSHARES INC","6","0","0","4","1","Mchenry","16980","Chicago-Naperville-Elgin, IL-IN-WI","8/1/1866","1/1/1934","7/2/2009","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.webhsb.com","70775","49401","6","21368","0","0","0","0"
"11407","10657","750341","1136287","THE HASTINGS CITY BANK","Hastings","MI","49058","12/31/2012","11/15/2020","NM","150 W. Court St.","HCB FINANCIAL CORP","7","0","0","8","0","Barry","","","1/1/1886","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","WWW.HIGHPOINTCOMMUNITYBANK.COM","20572","17962","0","2530","80","0","0","0"
"3677","13778","940731","2909853","THE HAVANA NATIONAL BANK","Havana","IL","62644","12/31/2012","11/15/2020","N","112 S. Orange St.","COMMUNITY INVESTMENT GROUP LTD","5","0","0","2","0","Mason","","","3/30/1875","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.havanabank.com","62499","54199","0","8300","0","0","0","0"
"26189","0","17110","4046640","THE HAVERFORD TRUST COMPANY","Radnor","PA","19087","12/31/2012","11/15/2020","SM","Three Radnor Corp Ctr, # 450","DREXEL MORGAN&CO","1","0","0","6","1","Delaware","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","2/1/1985","4/1/1987","1/1/2012","Stock","0","1","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","0","http://www.haverfordquality.com","0","0","0","0","0","0","0","0"
"17403","0","861153","1063945","THE HAVILAND STATE BANK","Haviland","KS","67059","12/31/2012","11/15/2020","NM","209 N. Main St.","HAVILAND BANCSHARES INC","2","0","0","2","0","Kiowa","","","8/31/1903","2/24/1955","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.havilandstatebank.com","11049","10346","0","703","0","0","0","0"
"2805","11114","117038","2081834","THE HEADLAND NATIONAL BANK","Headland","AL","36345","12/31/2012","11/15/2020","N","40 Main St.","HNB HOLDING CO INC","2","0","0","4","1","Henry","20020","Dothan, AL","8/16/1933","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","http://www.hnbfirst.com","24014","22630","0","1384","0","0","0","0"
"15384","12672","896427","2513157","THE HENRY COUNTY BANK","Napoleon","OH","43545","12/31/2012","11/15/2020","NM","122 E. Washington St.","COMUNIBANC CORP","6","0","0","4","0","Henry","","","5/11/1936","5/11/1936","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.thehenrycountybank.com","55098","42418","214","12466","0","0","0","0"
"193","0","507330","1086748","THE HERITAGE BANK","Hinesville","GA","31313","12/31/2012","11/15/2020","NM","300 S. Main St.","LIBERTY SHARES INC","31","0","0","4","0","Liberty","25980","Hinesville, GA","11/15/1911","1/1/1934","6/12/2009","Stock","0","0","FDIC","DIF","Atlanta","NEW YORK","Savannah","Atlanta","Southern","Southeast","0","1","","201345","171665","487","29183","10","0","0","0"
"8939","0","376125","2856340","THE HERITAGE BANK","Lucama","NC","27851","12/31/2012","11/15/2020","NM","106 S. Main St.","HERITAGE BANCSHARES INC","12","0","0","4","0","Wilson","","","9/1/1914","1/1/1934","8/8/2012","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","","101568","84347","0","17221","0","0","0","0"
"19809","10480","96553","2625247","THE HERSHEY STATE BANK","Hershey","NE","69143","12/31/2012","11/15/2020","NM","100 S. Lincoln Ave","AMERIGROUP INC","2","0","0","2","0","Lincoln","","","3/27/1968","3/27/1968","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","WWW.HERSHEYSTATEBANK.COM","8876","8620","0","247","9","0","0","0"
"16370","13352","892223","1071333","THE HICKSVILLE BANK","Hicksville","OH","43526","12/31/2012","11/15/2020","NM","144-146 E. High St.","EMPIRE BANCSHARES INC","3","0","1","4","0","Defiance","","","1/9/1946","2/7/1946","1/4/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.thb.bank","30786","29738","0","1048","0","0","0","0"
"310","0","499538","1086177","THE HIGHLANDS BANK","Jackson","LA","70748","12/31/2012","11/15/2020","NM","Erin &church St.","BOJ BANCSHARES INC","5","0","0","4","1","East Feliciana","12940","Baton Rouge, LA","1/1/1904","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","39985","31328","0","8657","0","0","0","0"
"9274","11615","419947","1492527","THE HILL-DODGE BANKING COMPANY","Warsaw","IL","62379","12/31/2012","11/15/2020","NM","501 Main St.","GREAT RIVER BANCSHARES INC","1","0","0","2","1","Hancock","","","1/1/1864","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","KANSAS CITY","Springfield Il","Chicago","Central","Central","0","1","http://www.hilldodge.com","13828","12510","0","1318","0","0","0","0"
"18858","13102","230610","2170868","THE HOCKING VALLEY BANK","Athens","OH","45701","12/31/2012","11/15/2020","SM","Stimson &palmer St.","HOCKING VALLEY BANCSHARES INC","7","0","0","4","0","Athens","","","2/12/1919","8/9/1963","1/1/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","https://www.hvbonline.com","84947","79140","3","5804","0","0","0","0"
"32295","8107","306579","","THE HOME BUILDING AND LOAN COMPANY","Greenfield","OH","45123","12/31/2012","11/15/2020","SA","355 Jefferson St.","","1","0","0","7","0","Highland","","","4/10/1886","4/2/1985","1/4/2012","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","","0","0","0","0","0","0","0","0"
