cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"17652","0","359650","1063749","THE ALDEN STATE BANK","Sterling","KS","67579","3/31/2022","8/22/2022","NM","124 N. Broadway Ave.","ALDEN BANCSHARES INC","1","0","0","2","0","Rice","","","1/1/1904","8/30/1956","3/1/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.aldenst8.com","0","0","","0","","0","","0","0","0","","0","0","0","",""
"2312","0","287856","1065565","THE AMERICAN BANK","Wagoner","OK","74467","3/31/2022","8/22/2022","NM","201 E. Cherokee St.","N B C BANCSHARES PAWHUSKA INC","1","0","0","4","0","Wagoner","46140","Tulsa, OK","4/24/1923","1/1/1934","8/1/2020","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","","0","0","","0","","0","","0","0","0","","0","0","0","",""
"22942","0","764067","4552356","THE AMERICAN NATIONAL BANK OF MOUNT PLEASANT","Mount Pleasant","TX","75455","3/31/2022","8/22/2022","N","301 S. Madison Ave.","NORTHEAST TEXAS BANCSHARES INC","1","0","0","8","1","Titus","","","8/31/1979","8/31/1979","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.anbmp.com","0","0","0","0","0","0","0","0","0","0","","0","0","0","",""
"23474","0","599764","1895007","THE AMERICAN NATIONAL BANK OF TEXAS","Terrell","TX","75160","3/31/2022","8/22/2022","N","102 W. Moore Ave","A N B HOLDING CO LTD","27","0","0","4","0","Kaufman","19100","Dallas-Fort Worth-Arlington, TX","7/1/1981","7/1/1981","9/7/2018","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.anbtx.com","7.71332351876391E-02","8.10217253719329E-02","9.36237311520647E-02","2.74910325566113E-02","0","0.209601982422587","0.103382918844409","0.214462555783918","0.116648067270114","0.322967993043766","","0.322967993043766","0.54566341183228","0.285451642556486","0","8.22928490351873"
"10663","10317","27614","1071913","THE ANDOVER BANK","Andover","OH","44003","3/31/2022","8/22/2022","SM","19 Public Sq","ANDOVER BCORP INC","10","0","1","5","0","Ashtabula","","","11/1/1884","1/1/1934","8/29/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.andover.bank","0.13012802190363","0.17795333096748","0.332778702163062","0","0","0.193894601175914","0.348385367814552","0.179520903588548","0","0","","0","0","0","","0"
"3759","0","855844","1142877","THE ANNA -JONESBORO NATIONAL BANK","Anna","IL","62906","3/31/2022","8/22/2022","N","201 S Main St","UNION COUNTY BANCSHARES INC","3","0","0","7","0","Union","","","1/1/1900","1/1/1934","8/29/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","WWW.AJNATIONAL.COM","3.53260869565217","2.72471242916766","0","5.10111131353616","23.3312538989395","1.81720820162029","0","1.86379420310396","23.6243093922652","0.803141174370873","","0.803141174370873","1.42369020501139","0.519885625162464","","0"
"14523","13523","91615","1129896","THE ANTWERP EXCHANGE BANK COMPANY","Antwerp","OH","45813","3/31/2022","8/22/2022","NM","305 S. Main St.","DIAMOND BANCSHARES INC","3","0","1","2","0","Paulding","","","1/1/1893","7/2/1934","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.antwerpexchangebank.com","1.02299978750746","1.23308119770695","0","3.08020250466294","","1.19205298013245","18.0406212664277","0.766491641016356","0","0.577438647143741","","0.577438647143741","0.917431192660551","0","","0"
"737","12343","213912","1248993","THE APPLE CREEK BANKING COMPANY","Apple Creek","OH","44606","3/31/2022","8/22/2022","SM","3 W Main St","APPLE CREEK BANC CORP","6","0","0","4","0","Wayne","","","2/1/1904","1/1/1934","8/29/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.applecreekbank.com","0","0","0","0","0","0","0","0","0","0","","0","0","0","",""
"3601","14570","672238","2971270","THE ATLANTA NATIONAL BANK","Atlanta","IL","61723","3/31/2022","8/22/2022","N","105 Ne Church St","ANB BCORP INC","2","0","0","7","0","Logan","","","8/2/1887","1/1/1934","8/29/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.theatlantanationalbank.com/","0.228872479163968","0.295246530853262","0","0","0","0.671591672263264","","0.671591672263264","0","0.62953995157385","","0.62953995157385","0.112739571589628","3.78006872852234","","0"
"10906","0","997155","","THE BALDWIN STATE BANK","Baldwin City","KS","66006","3/31/2022","8/22/2022","NM","721 High St.","","2","0","0","8","1","Douglas","29940","Lawrence, KS","8/29/1892","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","https://baldwinstatebank.com","0.764984390183389","0.660204348965156","0","0","0","0.870947674016728","0","0.873392714795689","2.49376558603491E-02","8.55798031664527E-02","","8.55798031664527E-02","0","0.446428571428571","","0"
"17759","0","112510","5471931","THE BALTIC STATE BANK","Baltic","OH","43804","3/31/2022","8/22/2022","NM","101 E Main St","BANCORP OF BALTIC INC","3","0","0","8","1","Holmes","","","1/1/1902","5/8/1957","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","balticstatebank.com","0","0","0","0","0","0","0","0","0","0","","0","0","0","",""
"35444","0","2858960","2858951","THE BANCORP BANK","Wilmington","DE","19809","3/31/2022","8/22/2022","NM","409 Silverside Rd.","BANCORP INC THE","1","0","0","4","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","7/28/2000","7/28/2000","12/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","0","0","https://www.thebancorp.com","0.56354575766448","0.651616323272209","1.6796782588124","1.10486364482001","0.310452108294168","8.79003558718861","3.57714895888948","9.16231364624242","3.09004764448997","0","","0","","0","","56.4892840554708"
"26522","9433","333650","1137855","THE BANK","Oberlin","KS","67749","3/31/2022","8/22/2022","NM","205 S. Penn","DECATUR INVESTMENT INC","11","0","0","2","1","Decatur","","","11/21/1985","11/21/1985","8/16/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.thebankks.com","4.24164586951551","4.61079369700499","0","0","","0","0","0","0.850515463917526","0","","0","0","0","","45.3721757082234"
"34409","0","2505460","2504874","THE BANK","Jennings","LA","70546","3/31/2022","8/22/2022","NM","1304 N Cutting Ave","BANCSHARES INC THE","8","0","0","4","0","Jefferson Davis","","","2/26/1997","2/26/1997","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","http://thebank.bank","0.587608162050926","0.830079884677758","1.21319766391715","0","0","1.04044891278934","0","1.04142288790077","5.07572988995818E-02","0.47498349272615","","0.47498349272615","0.638297872340425","0.239346480045788","0","0"
"1184","13594","623454","1105014","THE BANK AND TRUST, S.S.B.","Del Rio","TX","78840","3/31/2022","8/22/2022","SM","1200 Ave. F","WESTEX BCORP INC","7","0","0","8","1","Val Verde","","","1/1/1910","1/1/1934","12/8/2017","Stock","0","0","FED","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.thebankandtrust.com","6.54351090355554E-03","0","0","0","0","0","","0","8.12208780404394E-02","0","","0","0","0","","0"
"9369","11236","879644","2848073","THE BANK OF ADVANCE","Advance","MO","63730","3/31/2022","8/22/2022","SM","105 E. Gabriel St.","MILES BANCSHARES INC","6","0","1","2","1","Stoddard","","","1/30/1902","1/1/1934","11/26/2013","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.bankofadvance.com","0.595626631853786","0.566823170300628","0","1.00328892727816","0","0.87989185871972","0","0.880373723209174","0.282457379199032","1.05629576281359","","1.05629576281359","1.13007380073801","0.889005098705713","","0"
"352","0","222558","1128264","THE BANK OF BAKER","Baker","MT","59313","3/31/2022","8/22/2022","NM","116 S Main St.","UNITED BCORP","1","0","0","2","1","Fallon","","","9/20/1924","1/1/1934","7/28/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.bankofbaker.com","2.69852971860177","0.090014525071091","0","0","","0","","0","9.31816222739419","1.72278778386844","","1.72278778386844","3.2258064516129","0","","0"
"11862","52586","137456","1066263","THE BANK OF BEAVER CITY","Beaver","OK","73932","3/31/2022","8/22/2022","NM","130 Douglas","BEAVER BCORP INC","3","0","1","2","1","Beaver","","","1/1/1902","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.bankofbeaver.bank","0","0","0","0","","0","","0","0","0","","0","0","0","",""
"30350","5214","133579","3846003","THE BANK OF BENNINGTON","Bennington","VT","5201","3/31/2022","8/22/2022","SA","155 N. St","COMMUNITY FINANCIAL MHC","5","0","0","5","0","Bennington","","","1/1/1917","2/18/1955","5/1/2021","Stock","0","0","OCC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","http://www.thebankofbennington.com","0.747847558753624","0.777407135184033","0","3.6364841794706","0.674373795761079","0.169388729189769","0","0.178267930656796","0","0","","0","0","0","0","34.2181818181818"
"21635","0","308836","1889565","THE BANK OF BOURBONNAIS","Bourbonnais","IL","60914","3/31/2022","8/22/2022","NM","1 Heritage Dr","ILLINOIS STATE BCORP INC","1","0","0","4","0","Kankakee","28100","Kankakee, IL","6/21/1974","6/21/1974","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","http://www.bankofbourbonnais.bank","0","0","0","0","0","0","0","0","0","0","","0","","0","",""
"2455","14788","517441","5371853","THE BANK OF BRODHEAD","Brodhead","WI","53520","3/31/2022","8/22/2022","SM","806 E Exchange St","BRODHEAD BANCSHARES INC","2","0","0","4","0","Green","31540","Madison, WI","4/30/1896","1/1/1934","8/29/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","www.bankofbrodhead.com","0.202672873941486","0","0","0","0","0","0","0","1.69814493078518","0","","0","0","0","","0"
