cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"21716","12237","933966","1029222","CITIZENS BUSINESS BANK","Ontario","CA","91764","3/31/2022","8/22/2022","NM","701 N Haven Ave","CVB FINANCIAL CORP","71","0","0","4","0","San Bernardino","40140","Riverside-San Bernardino-Ontario, CA","8/9/1974","8/9/1974","1/7/2022","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","0","http://www.cbbank.com","6008961","2","175","2052","71898","1028302","2564235","74902","1300549","0","4381","9095","12534","724404","216432","0"
"34256","0","2512347","2702278","CITIZENS COMMERCE BANK","Versailles","KY","40383","3/31/2022","8/22/2022","NM","534 Marsailles Rd","CITIZENS COM BANCSHARES INC","6","0","0","4","0","Woodford","30460","Lexington-Fayette, KY","11/12/1996","11/12/1996","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","http://www.citizenscommerce.com","48984","0","0","0","0","1565","9526","400","1511","1291","1657","3982","1369","22313","5370","2953"
"33753","15784","2007991","2550143","CITIZENS COMMUNITY BANK","Mascoutah","IL","62258","3/31/2022","8/22/2022","NM","9 E Main St","CITIZENS BCORP INC","5","0","0","4","0","Saint Clair","41180","St. Louis, MO-IL","12/21/1992","12/21/1992","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","http://www.citizenscommunitybank.com","214052","0","0","0","0","1490","75550","1145","0","0","1641","8083","23895","91626","10622","1641"
"33739","11491","2002222","2354305","CITIZENS COMMUNITY BANK","Winchester","TN","37398","3/31/2022","8/22/2022","NM","1418 Dinah Shore Blvd","CITIZENS CMTY BANCSHARES INC","5","0","1","4","0","Franklin","","","11/19/1992","11/19/1992","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.ccbank.net","73753","49","388","41","133","4084","29310","4302","6013","337","1010","1207","3300","22878","701","1246"
"12079","11672","564838","1084696","CITIZENS COMMUNITY BANK","Hahira","GA","31632","3/31/2022","8/22/2022","NM","120 W. Main St.","CCB BANCSHARES INC","4","0","0","4","1","Lowndes","46660","Valdosta, GA","2/21/1927","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.ccbga.bank","63699","0","0","100","406","11078","16263","0","0","0","115","2006","1456","25822","6453","0"
"12694","13841","578554","1398731","CITIZENS COMMUNITY BANK","Pilot Grove","MO","65276","3/31/2022","8/22/2022","NM","100 Roe St.","BANCORP II INC","3","0","0","2","0","Cooper","17860","Columbia, MO","8/26/1913","1/1/1934","12/1/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","Kansas City","Western","West","0","1","www.ccb-online.net","21912","0","0","0","10","0","0","0","45","500","1006","4022","15985","344","0","1506"
"57265","17873","962890","3823929","CITIZENS COMMUNITY FEDERAL NATIONAL ASSOCIATION","Altoona","WI","54720","3/31/2022","8/22/2022","N","219 Fairfax St","CITIZENS COMMUNITY BCORP INC","26","0","1","4","0","Eau Claire","20740","Eau Claire, WI","12/10/2001","12/10/2001","8/29/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","http://www.ccf.us","292798","0","0","0","1215","2979","184381","1481","2689","58426","2004","1295","36804","1524","0","0"
"16852","9732","959443","1100318","CITIZENS DEPOSIT BANK OF ARLINGTON, INC.","Arlington","KY","42021","3/31/2022","8/22/2022","NM","1 Walnut St","CARLISLE BCORP INC","5","0","0","2","1","Carlisle","","","12/1/1949","12/1/1949","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Southeast","0","1","http://www.cdbky.com","83509","183","438","152","388","6206","16526","5810","3940","2022","3580","9100","3655","22915","8594","4673"
"27841","375","673477","","CITIZENS FEDERAL SAVINGS AND LOAN ASSOCIATION","Covington","KY","41011","3/31/2022","8/22/2022","SA","433 Madison Ave","","1","0","0","5","0","Kenton","17140","Cincinnati, OH-KY-IN","1/1/1886","1/21/1935","12/31/2021","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","WWW.CITIZENS-FEDERAL.COM","8367","0","1","0","0","0","0","0","0","0","0","2713","2689","2964","0","0"
"28060","824","647777","","CITIZENS FEDERAL SAVINGS AND LOAN ASSOCIATION","Bellefontaine","OH","43311","3/31/2022","8/22/2022","SA","110 N Main St","","1","0","0","5","0","Logan","","","1/1/1885","9/11/1935","8/29/2021","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","WWW.CITIZENSFEDERALSL.COM","28730","407","651","41","104","3982","1022","943","3090","587","631","3934","2085","5713","5540","0"
