cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"16276","13932","659341","1098581","BANK OF HILLSBORO, NATIONAL ASSOCIATION","Hillsboro","IL","62049","3/31/2022","8/22/2022","N","230 S Main St","COUNTRY BCORP INC","13","0","0","4","0","Montgomery","","","7/2/1945","7/2/1945","8/29/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","www.BankHillsboro.com","495614","495614","429284","4","65387","940","0","0","","251699","78595","243916","60700","79553","103663","417020","78595","417019","473151","394855","0","0","0","0","",""
"289","0","763211","3923306","BANK OF HINDMAN","Hindman","KY","41822","3/31/2022","8/22/2022","NM","1362 Hindman Byp","COMMUNITY EXC BANCSHARES INC","3","0","0","4","0","Knott","","","1/1/1903","1/1/1934","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.bankofhindman.com","236625","236625","217162","0","19463","0","0","0","","73715","54204","162910","2219","72012","88679","182421","54204","182421","213083","167285","0","0","0","0","",""
"1464","0","941804","2960359","BANK OF HOLLAND","Holland","NY","14080","3/31/2022","8/22/2022","NM","12 S. Main St.","HOLLAND BCORP INC","3","0","0","8","0","Erie","15380","Buffalo-Cheektowaga-Niagara Falls, NY","10/21/1893","1/1/1934","12/15/2015","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.bankofhollandny.com","188267","188267","161035","0","27231","0","0","0","","80237","56775","108029","46342","41059","20627","131491","57208","131059","186415","149462","0","0","0","0","",""
"8232","16031","835743","2590644","BANK OF HOLLY SPRINGS","Holly Springs","MS","38635","3/31/2022","8/22/2022","NM","114 S Memphis St","HOLLY SPRINGS BANCSHARES INC","9","0","0","4","1","Marshall","32820","Memphis, TN-MS-AR","2/1/1869","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","http://www.bankofhollysprings.com","346117","346117","311142","0","34975","0","0","0","","172525","103444","173592","19342","55989","98260","242673","103444","242673","315560","256444","0","0","0","0","",""
"9661","0","871358","1062788","BANK OF HOLYROOD","Holyrood","KS","67450","3/31/2022","8/22/2022","SM","100 S Main St","HOLYROOD BANCSHARES INC","1","0","0","2","1","Ellsworth","","","1/1/1887","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","https://www.bankofholyrood.com","65095","65095","63061","0","2034","0","0","0","","20883","13936","44212","5848","9012","29352","51159","13940","51155","56115","51743","1466","2536","2536","0","",""
"26610","0","671464","2961879","BANK OF HOPE","Los Angeles","CA","90010","3/31/2022","8/22/2022","NM","3200 Wilshire Blvd. Suite 1","HOPE BCORP INC","57","0","1","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/18/1986","3/18/1986","3/4/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","0","http://www.bankofhope.com","14588916","14588916","14136454","7","380296","70613","1546","0","","1533596","1533596","13055320","10523128","171842","2360349","13055320","5572047","9016869","13062409","5038429","106461","459206","459206","67237","",""
"3178","0","583754","5193420","BANK OF HOUSTON, NATIONAL ASSOCIATION","Houston","TX","77027","3/31/2022","8/22/2022","N","4400 Post Oak Pkwy. Suite 2","BOH HOLDINGS INC","2","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","1/31/1892","1/1/1934","4/30/2018","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","https://www.bohbank.com","489753","489753","440187","3969","15993","29604","0","0","","202060","169514","287693","179016","32454","76222","320239","169503","320250","432115","168131","0","0","0","11610","",""
"10674","11619","291059","1057168","BANK OF HYDRO","Hydro","OK","73048","3/31/2022","8/22/2022","NM","146 W. Main St.","HYDRO BANCSHARES INC","3","0","0","4","1","Caddo","","","10/1/1903","1/1/1934","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.bankofhydro.com","126488","126488","117881","0","8607","0","0","0","","50077","37462","76411","23059","16413","36939","89026","37959","88530","108870","104487","0","5000","5000","0","",""
"8584","0","790150","1118760","BANK OF IBERIA","Iberia","MO","65486","3/31/2022","8/22/2022","SM","841 E. Hwy 42","MILCO BCORP INC","2","0","0","8","0","Miller","","","10/1/1899","1/1/1934","11/23/2018","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.bankofiberia.com","59245","59245","58714","0","530","0","0","0","","24926","11562","34318","2447","14776","17097","47682","11570","47675","57883","56723","0","0","0","0","",""
"26403","9739","300960","2561671","BANK OF IDAHO","Idaho Falls","ID","83402","3/31/2022","8/22/2022","NM","399 N. Capital Ave.","BANK OF IDAHO HOLDING CO","14","0","0","4","0","Bonneville","26820","Idaho Falls, ID","9/25/1985","9/25/1985","7/29/2015","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","Western","0","1","www.bankofidaho.com","687793","687793","668107","0","19438","248","0","0","","161541","132488","526252","366240","142232","17781","555305","281484","406309","685574","457612","0","0","0","0","",""
