cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"9733","0","58355","4203425","VANTAGE BANK","Kent","MN","56553","3/31/2022","8/22/2022","NM","202 Main St","MINNDAK BANCSHARES INC","2","0","0","4","1","Wilkin","","","7/14/1902","1/1/1934","11/30/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.vantagebankmn.com","0","0","0","0","0","0","0","0","0","0","","0","0","0",""
"3405","12836","26765","5278381","VANTAGE BANK TEXAS","San Antonio","TX","78216","3/31/2022","8/22/2022","SM","45 Ne Loop 410 Suite 500","VBT FINANCIAL CORP","23","0","0","4","1","Bexar","41700","San Antonio-New Braunfels, TX","11/6/1923","1/1/1934","11/20/2018","Stock","0","0","FED","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","0","www.vantage.bank","7.38280108188933E-02","-4.35974543238813E-03","0","-3.31206862606193E-03","0","-2.14403444748679E-02","0","-2.19821989984361E-02","0.373513520494071","0","","0","0","0","0"
"59190","0","5518023","5463637","VARO BANK, NATIONAL ASSOCIATION","Draper","UT","84020","3/31/2022","8/22/2022","N","11781 S Lone Peak Pkwy","VARO MONEY INC","1","0","0","7","0","Salt Lake","41620","Salt Lake City, UT","8/1/2020","8/1/2020","8/1/2020","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","www.varomoney.com","71.6798368595463","","","","","","","","","17.1595955778135","3.55046528274875","43.579766536965","","43.579766536965",""
"23737","10350","347956","1951891","VAST BANK, NATIONAL ASSOCIATION","Tulsa","OK","74120","3/31/2022","8/22/2022","N","110 N. Elgin Ave.","TULSA VALLEY BANCSHARES CORP","5","0","0","4","0","Tulsa","46140","Tulsa, OK","2/16/1982","2/16/1982","9/17/2020","Stock","0","0","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.vast.bank","3.72267411856808","0","0","0","0","0","0","0","10.3712906397194","-1.50161423530295E-02","","-1.50161423530295E-02","0","-1.51452046495778E-02","0"
"58658","0","3626858","5613759","VCC BANK","Richmond","VA","23294","3/31/2022","8/22/2022","SM","7814 Carousel Ln.","VCC SOCIAL ENTERPRISES","2","0","0","4","0","Henrico","40060","Richmond, VA","8/20/2008","8/20/2008","3/7/2018","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.vacommunitycapital.org","0.272094795883352","0","0","0","0","0","","0","1.59823053048411","","","","","",""
"3250","0","56351","1917600","VERABANK, NATIONAL ASSOCIATION","Henderson","TX","75652","3/31/2022","8/22/2022","N","201 W Main St","VERABANK INC","38","0","0","4","0","Rusk","30980","Longview, TX","3/28/1930","1/1/1934","8/27/2021","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.verabank.com","1.31455308860568E-02","0","0","0","0","0","0","0","-0.141744520688372","0.62693013211972","","0.62693013211972","0.106680890785438","1.19591638308216","0"
"9747","0","804150","2206842","VERGAS STATE BANK","Vergas","MN","56587","3/31/2022","8/22/2022","NM","106 E. Main St.","VERGAS BCORP INC","1","0","0","7","0","Otter Tail","","","9/1/1909","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.vergasstatebank.com","0","0","0","0","0","0","","0","0","0","","0","0","0",""
"57665","0","3221468","4105266","VERITEX COMMUNITY BANK","Dallas","TX","75225","3/31/2022","8/22/2022","SM","8214 Westchester Dr.","VERITEX HOLDINGS INC","33","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","1/23/2004","1/23/2004","1/1/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.veritexbank.com","0.252385313095849","0.12223647337138","0","0.214458008163831","0","0","0","0","0.783595246935116","5.11901714870745","","5.11901714870745","2.06584893479664","5.38196374958301",""
"17841","11572","754536","1141898","VERMILION BANK & TRUST COMPANY","Kaplan","LA","70548","3/31/2022","8/22/2022","NM","420 N Cushing Ave","VERMILION BANCSHARES CORP","3","0","0","8","1","Vermilion","29180","Lafayette, LA","3/8/1958","3/8/1958","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","http://www.vermilionbank.com","-5.8947058173378E-03","-8.14340536853999E-03","0","0","0","-0.015821533106558","","-0.015821533106558","0","0","0","0","0","0","0"
"11667","15448","666844","1398991","VERMILION VALLEY BANK","Piper City","IL","60959","3/31/2022","8/22/2022","NM","4 E Peoria St","PIPER BANKSHARES INC","5","0","0","2","1","Ford","","","7/25/1913","1/1/1934","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.vermilionvalleybank.com","0.014350891250142","-7.05990327932507E-03","","0","0","-3.36913034323015E-02","","-3.36913034323015E-02","0","-0.278940027894003","0","-0.313356835095966","0","-1.6260162601626",""
