cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,LNPLEDGE,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"3226","12657","327855","1107700","CIERA BANK","Graham","TX","76450","3/31/2022","8/22/2022","SM","623 Elm St.","FIRST GRAHAM BCORP INC","9","0","0","4","1","Young","","","10/10/1889","1/1/1934","7/12/2017","Stock","0","1","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.cierabank.com","552669","10864","563533","0","563533","495087","495087","173065","230190","78473","151717","10485","61089","20258","","1271","64378","","2443","0","302","337","1804","354","","9","345","0","0","0","","559359","92","0","34208","138857","8466",""
"28346","1409","66677","4841564","CINCINNATI FEDERAL","Cincinnati","OH","45247","3/31/2022","8/22/2022","SA","6581 Harrison Ave.","CINCINNATI BCORP INC","6","0","1","4","0","Hamilton","17140","Cincinnati, OH-KY-IN","1/1/1922","9/25/1935","12/31/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.cincinnatifederal.com","210830","1694","212524","0","212524","211889","211889","9979","43999","4532","39467","55757","102154","0","","0","286","","298","0","0","12","286","51","","0","51","0","0","0","","93469","850","125","6236","3743","1694",""
"7213","0","476810","1951350","CITIBANK, NATIONAL ASSOCIATION","Sioux Falls","SD","57108","3/31/2022","8/22/2022","N","5800 S Corp Pl.","CITIGROUP INC","676","281","1","1","0","Lincoln","43620","Sioux Falls, SD","6/16/1812","1/1/1934","9/9/2019","Stock","0","1","OCC","DIF","Kansas City","WASHINGTON","Sioux Falls","Minneapolis","Western","West","2","0","www.citibank.com","648921000","13941000","662862000","0","662862000","170684000","120338000","7014000","12589000","1165000","11424000","8486000","92187000","62000","50346000","457000","159801000","106760000","158482000","139597000","6092000","2000","12791000","173438000","3276000","370000","157500000","386000","11906000","11501000","52548000","227785000","2945000","2085000","15000","6999000","4520000","259364000"
"7799","8949","895710","1143623","CITIZENS & NORTHERN BANK","Wellsboro","PA","16901","3/31/2022","8/22/2022","NM","90 Main St","CITIZENS&NORTHERN CORP","31","0","1","4","0","Tioga","","","1/1/1864","1/1/1934","7/1/2020","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","www.cnbankpa.com","1526682","14271","1540953","0","1540953","1251631","1251631","54203","585677","216020","369657","53141","546103","12507","","2629","172129","","17762","3019","1625","6482","6636","96802","","81975","14827","0","0","0","","1046242","243","0","16945","37258","14931",""
"1715","13157","869663","","CITIZENS 1ST BANK","Tyler","TX","75701","3/31/2022","8/22/2022","SM","2001 E. S.E. Loop 323","","4","0","0","4","1","Smith","46340","Tyler, TX","4/24/1920","1/1/1934","3/7/2014","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.citizens1stbank.com","276079","1736","277815","0","277815","262093","262093","36849","134719","14778","119941","22655","65385","2485","","160","3918","","5219","0","0","1357","3862","6425","","6425","0","0","0","0","","122542","0","0","6549","30300","1736",""
"1402","15367","279954","1128134","CITIZENS ALLIANCE BANK","Clara City","MN","56222","3/31/2022","8/22/2022","NM","55 1st St. N.W.","FORSTROM BCORP INC","13","0","1","2","0","Chippewa","","","7/2/1902","1/1/1934","8/16/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.citizensalliancebank.com","634198","8317","642515","890","643405","401684","401684","41823","173043","70911","102132","9587","65478","111753","","89432","119643","0","10642","2853","75","1923","5791","22004","","3807","18154","43","0","0","0","322172","93","93","7755","34068","8317",""
"10363","12229","928421","2183493","CITIZENS AND FARMERS BANK","West Point","VA","23181","3/31/2022","8/22/2022","NM","415 14th St.","C&F FINANCIAL CORP","31","0","0","4","0","King William","40060","Richmond, VA","2/1/1927","1/1/1934","8/17/2020","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","0","www.cffc.com","1447054","39768","1486822","0","1486822","966882","966882","152646","337731","78322","259409","87670","388366","469","","77","65920","","404881","0","56","350583","54242","49062","","49062","0","0","0","2019","","421849","2183","0","55721","96925","20658",""
"9647","0","44741","1207208","CITIZENS BANK","Mooresville","IN","46158","3/31/2022","8/22/2022","NM","33 N Indiana St","CITBA FINANCIAL CORP","10","0","0","8","0","Morgan","26900","Indianapolis-Carmel-Anderson, IN","2/18/1931","1/1/1934","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","http://www.citizens-banking.com","322719","4394","327113","0","327113","161369","161369","7300","104052","45614","58438","971","47672","1374","","0","16216","","148234","0","230","61732","86272","1295","","1209","86","0","0","0","","152695","1087","0","3001","4299","4394",""
"17809","11785","98463","2519038","CITIZENS BANK","Corvallis","OR","97339","3/31/2022","8/22/2022","NM","275 S. W. 3rd St.","CITIZENS BCORP","15","0","0","9","0","Benton","18700","Corvallis, OR","10/5/1957","10/5/1957","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","www.citizensEbank.com","340430","7610","348040","0","348040","276850","276850","8329","163804","94854","68950","21049","28023","55645","","21957","41234","","2038","0","21","15","2002","5961","","5961","0","0","0","0","","250877","19","0","485","7844","6303",""
"14488","12330","1001853","1099784","CITIZENS BANK","New Haven","MO","63068","3/31/2022","8/22/2022","NM","100 Circle Dr.","CITIZENS FINANCIAL GROUP INC","4","0","0","4","0","Franklin","41180","St. Louis, MO-IL","1/1/1934","6/19/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.citizensbankmo.com","211727","4911","216638","0","216638","185133","185133","29864","92581","34831","57750","14407","44954","3327","","859","27447","","2336","0","12","1267","1057","864","","0","864","0","0","0","","39340","0","0","6707","23157","3116",""
"262","14495","840019","2262268","CITIZENS BANK","Mount Vernon","KY","40456","3/31/2022","8/22/2022","NM","411 New Brodhead Rd","ROCKCASTLE BCORP INC","4","0","0","4","1","Rockcastle","","","1/1/1904","1/1/1934","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.citizensbankrb.com","143522","1660","145182","11","145193","122052","122052","11560","21805","6707","15098","7979","74941","5767","","1554","13582","","7484","0","58","2817","4609","521","","13","208","0","300","0","","73300","0","0","3843","7717","1552",""
"13055","12655","783844","1207132","CITIZENS BANK","Mukwonago","WI","53149","3/31/2022","8/22/2022","NM","301 N Rochester St","CITIZENS BANK HOLDING INC","15","0","0","4","0","Waukesha","33340","Milwaukee-Waukesha-West Allis, WI","12/12/1892","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","http://www.citizenbank.bank","628640","7921","636561","0","636561","583281","583281","39738","365832","131078","234754","105568","71519","624","","0","50049","0","794","0","17","267","510","2437","","0","2437","0","0","0","0","584661","928","905","11435","28303","0",""
