cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","3/31/2022","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","19","145949","21528","19106","1877","0","119069","1214","0","2021","766","0","688","145949","132108","131884","88467","131884","68.3280900579919","0","0","0","0","224","13841","13841","0","534","16612","-3305","0","0","0","266","140052","25537","139785","139785","118973","142078","0","0","0","0","8987","2483","0","0","17502","13845","1214","17502","0"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","3/31/2022","8/22/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","13","46229","10306","9181","19784","0","15162","99","0","494","23","0","460","46229","43278","43250","32752","43250","85.6006842506762","0","0","0","0","28","2951","2951","0","300","300","2351","0","277","0","202","44127","7576","46653","46653","16846","47501","0","0","0","0","2189","0","0","0","1944","3810","99","1944","0"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","3/31/2022","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","41","316242","82482","78065","31490","500","186408","1032","0","4424","528","0","10410","316242","288270","279984","211903","279984","67.8501782231969","0","0","0","0","8286","27972","27972","0","100","0","27872","0","0","0","576","296463","159717","316206","316206","157120","316428","6615","5186","0","1429","3403","9488","0","0","32057","28112","1032","32057","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","3/31/2022","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","73","573910","92877","85452","183386","9660","263200","3475","0","6514","0","2855","15418","573910","532120","529478","254920","529478","63.5463449458532","0","0","0","0","2642","41790","41790","0","5165","15222","21403","0","768","0","1583","541698","297049","568463.5","568463.5","312832","583365","7941","4714","0","3227","13912","4802","0","0","83935","47815","3530","83935","0"
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","3/31/2022","8/22/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","100","1005820","33617","22331","369238","0","571786","8424","0","4408","0","60","26711","1005820","941362","934574","483290","934574","41.7163938758762","0","0","2403","0","4385","64458","64458","0","61264","3096","98","0","71","0","3425","963355","488121","1002506","1002506","725021","995742","8477","0","0","8477","5929","9876","0","0","102505","83273","8604","102505","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","3/31/2022","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","107","697190","25838","24771","106864","23","539299","7343","0","993","0","0","24173","697190","632597","627904","541770","627904","47.902234877077","0","0","0","0","4693","64593","64593","0","1025","25549","38019","0","3324","0","1681","670957","269653","689629","689629","508211","699069","16263","14998","0","1265","36660","1017","0","11418","128769","67095","6365","128769","0"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","3/31/2022","8/22/2022","NM","407 3rd St","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","17","69499","20389","16950","3950","0","43950","476","0","624","0","0","586","69499","62757","62594","49988","62594","86.0012454692066","0","0","0","0","163","6742","6742","0","200","1320","5222","0","180","0","436","64850","7556","69421","69421","0","69636","0","0","0","0","3255","3007","0","0","8083","6781","0","8083","0"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","3/31/2022","8/22/2022","NM","3956 Dempster St","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","11","136343","42533","36033","172","0","89215","1637","0","1224","0","1022","2177","136343","113607","100950","90158","100950","81.0452920261075","0","0","12403","0","254","22736","22736","0","2500","17000","3236","0","731","0","212","125420","7260","138804.5","138804.5","82458","137704","956","956","0","0","9126","0","12335","0","6618","21714","1038","6618","0"
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","3/31/2022","8/22/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","24","136773","28283","26980","25228","0","79405","871","0","1879","0","501","1477","136773","126642","126450","102781","126450","82.8139209375519","0","0","0","0","192","10131","10131","0","1013","1111","8007","0","110","0","264","131613","44133","132931.5","132931.5","59732","133779","0","0","0","0","301","1247","0","0","10219","11345","748","10219","0"
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","3/31/2022","8/22/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","8","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","287","969002","54290","42987","75105","975","723011","13317","0","42896","0","4549","68176","969002","773977","723689","706712","723689","92.3857482316534","0","0","19500","0","30788","195025","195025","0","88","89912","105025","0","9124","0","5515","842078","41432","954663","954663","825588","945810","0","0","0","0","26056","159","0","0","1797519","190476","10357","1797519","0"
