date,Mkt-RF,SMB,HML,RF
20090909,0.9,0.8,0.69,0
20090910,1.08,0.45,0.93,0
20090911,-0.1,0.13,-0.05,0
20090914,0.65,0.07,0.61,0
20090915,0.44,0.55,0.57,0
20090916,1.54,0.38,1.31,0
20090917,-0.3,-0.01,-0.28,0
20090918,0.23,0.13,-0.18,0
20090921,-0.27,-0.15,-0.65,0
20090922,0.66,-0.09,1.48,0
20090923,-1,0.15,-0.89,0
20090924,-1.06,-0.61,-1.33,0
20090925,-0.64,0.18,-0.5,0
20090928,1.78,0.34,1.1,0
20090929,-0.12,-0.05,0.38,0
20090930,-0.4,-0.57,-0.62,0
20091001,-2.58,-0.6,-1.38,0
20091002,-0.52,-0.29,-0.14,0
20091005,1.49,0.05,1.81,0
20091006,1.41,0.54,0.26,0
20091007,0.26,-0.38,0.57,0
20091008,0.84,0.24,0.42,0
20091009,0.58,0.62,-0.25,0
20091012,0.36,-0.54,0.35,0
20091013,-0.21,0.13,-0.16,0
20091014,1.7,0.04,1.17,0
20091015,0.35,-0.25,-0.42,0
20091016,-0.8,0.01,-1.26,0
20091019,0.94,0.05,0.01,0
20091020,-0.71,-0.73,-0.55,0
20091021,-0.87,-0.08,-0.54,0
20091022,1.03,0.02,0.65,0
20091023,-1.23,-0.8,-1.02,0
20091026,-1.18,0.01,-1.34,0
20091027,-0.52,-0.61,-0.61,0
20091028,-2.15,-1.47,-1.34,0
20091029,2.17,-0.29,1.69,0
20091030,-2.75,-0.05,-1.93,0
20091102,0.52,-0.82,-0.3,0
20091103,0.46,1.02,0.8,0
20091104,0.07,-1.04,-0.53,0
20091105,2.04,1.16,0.64,0
20091106,0.26,-0.23,-0.49,0
20091109,2.17,-0.44,1.34,0
20091110,-0.04,-0.81,-0.08,0
20091111,0.53,0.32,0.31,0
20091112,-1.1,-0.87,-0.77,0
20091113,0.63,0.35,-0.04,0
20091116,1.56,1.3,0.17,0
20091117,0.14,-0.19,-0.07,0
20091118,-0.14,-0.46,0.45,0
20091119,-1.38,-0.76,-0.62,0
20091120,-0.33,0.22,-0.44,0
20091123,1.3,0.41,-0.11,0
20091124,-0.07,-0.11,-0.5,0
20091125,0.48,-0.44,0.12,0
20091127,-1.74,-0.54,-0.82,0
20091130,0.25,-0.37,0.74,0
20091201,1.3,0.61,-0.29,0
20091202,0.2,1.05,-0.36,0
20091203,-0.86,-0.27,-0.33,0
20091204,0.7,1.57,0.77,0
20091207,-0.14,0.53,-0.26,0
20091208,-0.98,0.06,-0.14,0
20091209,0.33,-0.19,-0.02,0
20091210,0.5,-0.98,-0.1,0
20091211,0.44,0.27,0.49,0
20091214,0.78,0.62,0.33,0
20091215,-0.46,0.27,-0.59,0
20091216,0.18,0.43,0.71,0
20091217,-1.16,0.23,-0.34,0
20091218,0.67,0.24,0.19,0
20091221,1.02,0.18,0.29,0
20091222,0.43,0.59,-0.1,0
20091223,0.38,0.9,-0.39,0
20091224,0.5,-0.09,0.19,0
20091228,0.09,-0.1,-0.3,0
20091229,-0.09,0.11,-0.09,0
20091230,-0.01,-0.05,-0.1,0
20091231,-1.01,-0.21,0.39,0
20100104,1.69,0.61,1.14,0
20100105,0.31,-0.64,1.22,0
20100106,0.13,-0.23,0.55,0
20100107,0.4,0.09,0.96,0
20100108,0.33,0.36,0.02,0
