cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,LNPLEDGE,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"4829","0","746223","2706726","1880 BANK","Cambridge","MD","21613","9/30/2017","2/22/2022","SM","304 High St.","DELMARVA BANCSHARES INC","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","239888","1640","241528","0","241528","212777","212777","6501","87632","60341","27291","1023","102566","15055","","5246","20111","","2630","0","555","40","2035","764","","716","48","0","0","0","54077","","275","66","2553","3948","1898",""
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","9/30/2017","2/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","83075","782","83857","0","83857","72822","72822","6826","51260","25818","25442","2728","12008","0","","0","9959","","124","0","24","83","17","952","","0","952","0","0","0","31006","","0","0","1980","4846","782",""
"22039","0","564856","1128415","1ST BANK","Broadus","MT","59317","9/30/2017","2/22/2022","SM","201 N. Wilbur Ave","1ST UNITED BCORP INC","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","3/6/2017","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","26492","555","27047","0","27047","6809","6809","0","187","0","187","0","363","6259","","15230","4285","","710","0","3","401","306","13","","0","13","0","0","0","0","","0","0","0","0","555",""
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","9/30/2017","2/22/2022","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/19/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","88328","1077","89405","2","89407","57444","57444","4932","17095","2775","14320","0","31790","3627","","3418","4563","","23076","0","25","16645","6406","906","","403","0","503","0","0","30478","","0","0","1097","3835","1077",""
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","9/30/2017","2/22/2022","SM","117 N. Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","18481","168","18649","0","18649","7872","7872","118","2487","1860","627","0","4709","558","","1984","4766","","3968","0","0","1089","2879","59","","0","59","0","0","0","0","","0","0","112","6","168",""
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","9/30/2017","2/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","162052","979","163031","70","163101","162393","162393","7954","21546","16827","4719","76","132817","0","","0","192","","515","0","0","0","515","0","","0","0","0","0","0","86278","","0","0","7737","217","979",""
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","9/30/2017","2/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","9/4/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","222560","2099","224659","1066","225725","192984","192984","15739","145395","73637","71758","7373","15249","9228","","2161","23834","","1183","0","243","126","814","5563","","5563","0","0","0","578","113362","","479","0","3333","12406","2113",""
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","9/30/2017","2/22/2022","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","27305","265","27570","0","27570","25424","25424","233","2232","2232","0","152","18969","3838","","470","482","","1175","0","2","279","894","19","","0","19","0","0","0","17191","","0","0","163","70","265",""
"58485","0","3594797","","1ST CAPITAL BANK","Salinas","CA","93901","9/30/2017","2/22/2022","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","420211","6301","426512","0","426512","363807","363807","3255","170028","67124","102904","61773","115474","13277","","7020","50145","","3","0","0","0","3","5537","","0","5537","0","0","7020","426512","","202","202","0","3255","5030",""
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","9/30/2017","2/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","377613","4957","382570","0","382570","352495","352495","41021","82268","52197","30071","8889","220281","36","","0","22329","","4296","0","106","3033","1157","3450","","3000","450","0","0","0","0","","1739","1739","41021","0","4205",""
