cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"28515","1754","539872","3601332","TRUSTTEXAS BANK, SSB","Cuero","TX","77954","12/31/2015","2/22/2022","SB","121 E. Courthouse","TRUSTTEXAS MUTUAL HOLDING CO","6","0","0","8","0","De Witt","","","1/1/1921","10/11/1935","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.trusttexas.bank","0.284077522197764","0.141624067711389","0","0.100922317849233","0","0.222344818362673","","0.222344818362673","1.44917487172376","0.809865635928585","","0.809865635928585","0","0.920887400586019","0","0"
"57825","0","3290240","3925065","TRUXTON TRUST COMPANY","Nashville","TN","37205","12/31/2015","2/22/2022","SM","4525 Harding Rd, # 300","TRUXTON CORP","1","0","0","4","0","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","8/30/2004","8/30/2004","5/5/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.truxtontrust.com","1.94380838714443E-03","2.40758485532823E-03","0","0","0","4.69479159820096E-03","0","8.43369429544918E-03","0","0","","0","0","0","0","0"
"17208","14249","186548","","TSB BANK","Lomira","WI","53048","12/31/2015","2/22/2022","NM","695 E. Ave.","","3","0","0","4","0","Dodge","","","4/1/1905","4/20/1953","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","http://www.tsbbanking.com","0.149746856504481","0.186144261802897","0","0.441359672539598","","0","0","0","0","0.117855038302887","","0.117855038302887","0.250941028858218","0","","0"
"29059","2842","767572","","TUCUMCARI FEDERAL SAVINGS AND LOAN ASSOCIATION","Tucumcari","NM","88401","12/31/2015","2/22/2022","SA","301 S 1st St","","1","0","0","5","0","Quay","","","7/1/1934","11/2/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","0","1","www.tucfed.com","0.6420190391853","0.648624468798926","0","5.00863557858376","0","0.29269277351635","","0.29269277351635","","0","","0","0","0","","0"
"58586","0","3626184","","TURTLE MOUNTAIN STATE BANK","Belcourt","ND","58316","12/31/2015","2/22/2022","NM","908 Chief Little Shell St.","","1","0","0","4","1","Rolette","","","12/3/2007","12/3/2007","9/18/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.tmstatebank.com","14.5601021761556","28.7415641127432","0","58.5129310344828","0","0","","0","10.9379427599887","0.717875089734386","","0.717875089734386","0","0.934579439252336","","86.2685560053981"
"938","13058","598646","1840016","TUSCOLA NATIONAL BANK","Tuscola","IL","61953","12/31/2015","2/22/2022","N","900 S. Progress Blvd.","TNB BCORP INC","1","0","0","2","0","Douglas","","","1/1/1890","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.tnbbank.net","0.181004747105632","0.237247924080664","","0","0","0.856683919328931","","0.856683919328931","0","0.381970970206264","","0.381970970206264","0","0.447227191413238","","0"
"32908","15161","1418255","3591611","TUSTIN COMMUNITY BANK","Tustin","CA","92780","12/31/2015","2/22/2022","NM","13891 Newport Ave, Suites 10","SADDLEBACK BCORP","1","0","0","4","1","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","4/23/1981","2/16/1990","8/4/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://tustincmtybank.com","6.37990665189215E-02","0","0","0","0","0","0","0","0","0.122588554100265","","","0.122588554100265","","","0"
"35261","0","2905761","3289477","TWIN CITY BANK","Longview","WA","98632","12/31/2015","2/22/2022","NM","729 Vandercook Way","TWIN CITY BCORP INC","2","0","0","4","0","Cowlitz","31020","Longview, WA","4/17/2000","4/17/2000","10/2/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","www.twincitybank.com","2.33447373717046","0.443205375652298","0","0","0","2.07809619574325","","2.07809619574325","10.5006105006105","0","","0","0","0","","55.5418719211823"
"15880","0","3405633","2619349","TWIN LAKES COMMUNITY BANK","Flippin","AR","72634","12/31/2015","2/22/2022","SM","301 S. 1st","FIRST NATIONAL BCORP INC","3","0","0","4","0","Marion","","","12/2/1930","2/10/1942","6/15/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","","0.107808101579189","7.42635530984405E-02","0","0","0","0.151154653603919","0","0.151218146177541","0","0.415320719889248","","0.415320719889248","0.9763851044505","0.12793672947197","","0"
"22993","0","427960","2081722","TWIN RIVER NATIONAL BANK","Clarkston","WA","99403","12/31/2015","2/22/2022","N","900 5th St.","TWIN RIVER FINANCIAL CORP","4","0","1","4","1","Asotin","30300","Lewiston, ID-WA","11/15/1979","11/15/1979","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","http://www.twinriver.bank","0.56759654396771","0.657652294696261","0","0","0","1.27151156417845","0","1.58686730506156","0.420819490586932","0","","0","0","0","","0"
"35426","0","2888789","3395668","TWO RIVER COMMUNITY BANK","Middletown","NJ","7748","12/31/2015","2/22/2022","NM","1250 Hwy. 35, S.","TWO RIVER BCORP","16","0","0","4","0","Monmouth","35620","New York-Newark-Jersey City, NY-NJ-PA","2/28/2000","2/28/2000","2/6/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","0.456111797622994","0.49824641718809","0","0.563180480192928","0","0.84076217837678","0","1.1271754060522","0","0","","0","0","0","","0"
"34468","0","335355","2004749","TWO RIVERS BANK","Blair","NE","68008","12/31/2015","2/22/2022","NM","555 S. 19th St.","ARLINGTON ST BANC HOLDING CO","2","0","0","2","1","Washington","36540","Omaha-Council Bluffs, NE-IA","2/3/1997","2/3/1997","11/12/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","","0.947051226861817","0.262237762237762","0","0","0","0.548800681269811","0","0.651209790602369","2.69087026161239","0.547757617254365","","0.547757617254365","0.707290533188248","0.277008310249308","","0"
"58013","0","3320781","1947102","TWO RIVERS BANK & TRUST","Burlington","IA","52601","12/31/2015","2/22/2022","NM","222 N. Main St.","TWO RIVERS FINANCIAL GROUP INC","12","0","0","4","0","Des Moines","","","5/2/2005","5/2/2005","6/4/2010","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.tworivers.bank","0.953942050801586","1.30159211962217","0","3.38828289071664","0","0.451236809701202","0","0.470467786363747","6.40240287712919E-02","4.12668936345817E-02","","4.12668936345817E-02","8.06451612903226E-02","0","","0"
"57369","0","3146150","","U. S. CENTURY BANK","Doral","FL","33172","12/31/2015","2/22/2022","NM","2301 Nw 87th Ave.","","18","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","10/28/2002","10/28/2002","11/22/2007","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","http://www.uscentury.com","4.53676335578568","4.70410658571549","21.7344821080435","5.68998329902513","0","0.350976549401253","0","0.477823316966278","9.91381030286102","0","","0","0","0","","0"
"6548","11523","504713","1119794","U.S. BANK NATIONAL ASSOCIATION","Cincinnati","OH","45202","12/31/2015","2/22/2022","N","425 Walnut St.","U S BCORP","3225","1","1","4","0","Hamilton","17140","Cincinnati, OH-KY-IN","7/13/1863","1/1/1934","6/20/2014","Stock","0","1","OCC","DIF","Chicago","WASHINGTON","Cincinnati","Cleveland","Central","Central","0","0","www.usbank.com","1.94209635292756","3.81240412506145","0.461219970616644","0.28313947648741","0.216022358634627","5.61551427618147","1.02847722609323","6.78425736861414","0.291002013537915","0.874922940719532","1.12893428245853","0.694444092215678","9.88442428157207E-02","1.45513768856433","5.19847712430323E-02","60.932225805258"
"1693","0","423636","","UBANK","Jellico","TN","37762","12/31/2015","2/22/2022","NM","1075 5th St.","","1","0","0","8","1","Campbell","28940","Knoxville, TN","1/1/1918","1/1/1934","7/28/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.ubank.bank","0.502455178714172","0.532297511149475","0","0","0","1.1254752851711","","1.1254752851711","1.09725685785536","0.12002400480096","","0.12002400480096","0.143540669856459","0.103128222756961","","0"
"57565","0","3212149","4795461","UBS BANK USA","Salt Lake City","UT","84111","12/31/2015","2/22/2022","NM","299 S. Main St, # 2275","UBS GROUP AG","1","0","0","6","0","Salt Lake","41620","Salt Lake City, UT","9/15/2003","9/15/2003","8/10/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","0","http://www.ubs.com/cefs/en/ubs-bank-usa/ubs-bank-usa.html","4.83707785499676E-03","1.45235767251654E-02","0","0","0","1.45503859248552E-02","","1.45503859248552E-02","0","3.70000683386804E-03","0.398532631659816","0","","0","","0"
"1167","0","85052","3272554","UINTA BANK","Mountain View","WY","82939","12/31/2015","2/22/2022","SM","695 Pkwy. Dr.","UCSB FINANCIAL CORP","2","0","0","4","0","Uinta","","","9/16/1919","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","Kansas City","Western","West","0","1","www.uintabank.com","2.31270358306189","2.84887425658454","0","3.7292411183519","0","2.29403058707449","0","2.59269584611096","0.849377123442808","2.03081232492997","","2.03081232492997","","2.03081232492997","","0"
"15970","7954","301800","","ULSTER SAVINGS BANK","Kingston","NY","12401","12/31/2015","2/22/2022","SB","180 Schwenk Dr.","","14","0","0","5","0","Ulster","28740","Kingston, NY","4/13/1851","7/1/1943","5/29/2015","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.ulstersavings.com","1.79258527222358","1.52780460880364","4.62737000187723","3.28091314006807","0.901610644257703","0.916561150104474","1.78098296222211","0.765829852983922","10.9527993974391","0","","0","0","0","","0"
"8867","0","225157","1127276","ULTIMA BANK MINNESOTA","Winger","MN","56592","12/31/2015","2/22/2022","NM","9 W Minnesota Ave","FINANCIAL SERVICES WINGER INC","4","0","0","2","1","Polk","24220","Grand Forks, ND-MN","1/1/1904","1/1/1934","1/14/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.ultimabank.com","0.550852632458525","0.439563239772192","0","0","0","0.791637064853344","","0.791637064853344","0.498476876211576","0","","0","0","0","","22.6371061843641"
"8273","0","936855","1049828","UMB BANK, NATIONAL ASSOCIATION","Kansas City","MO","64106","12/31/2015","2/22/2022","N","1010 Grand Blvd.","UMB FINANCIAL CORP","129","0","1","4","0","Jackson","28140","Kansas City, MO-KS","8/28/1902","1/1/1934","5/31/2015","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.umb.com","0.73836381945183","0.406822417284362","0.21101047370531","0.450847195885767","0","0.356482768772796","0.48276419489755","0.169434090138936","1.08935917688301","1.33176504353798","0.8488527626299","2.75885834752291","0.04742426936985","4.16782182792718","","3.98787983227066"
"17266","9866","143662","2747644","UMPQUA BANK","Roseburg","OR","97470","12/31/2015","2/22/2022","NM","445 S.E. Main St.","UMPQUA HOLDINGS CORP","343","0","1","4","0","Douglas","","","11/9/1953","11/9/1953","9/22/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","0","www.umpquabank.com","0.356486619344711","0.289615758025684","0.112054799361538","0.328186366815516","2.04492138041749E-02","0.493828882191056","0.12448509651602","0.578472957506512","0.777544599088774","0.132750183037263","","0.132750183037263","9.90570586189868E-02","0.197971639148609","0","12.1886411058946"
"7631","11140","249416","1249945","UNB BANK","Mount Carmel","PA","17851","12/31/2015","2/22/2022","NM","Third &oak St.","UNB CORP","2","0","0","5","0","Northumberland","","","1/1/1906","1/1/1934","6/19/2015","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","http://www.unb.bank","6.52397848231659E-02","4.74212878472172E-02","0","0","0","5.20751144074483E-02","0","5.35583867564716E-02","0.72202166064982","0","","0","0","0","0","0"
