cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eqcprev,eqcrest,netinc,eqcstkrx,eqctrstx,eqcmrg,eqcdivp,eqcdivc,eqccompi,eqcbhctr,eq
"57833","0","3284397","3818804","BEAL BANK USA","Las Vegas","NV","89134","12/31/2015","2/22/2022","NM","1970 Village Ctr. Circle, St","BEAL FINANCIAL CORP","23","0","1","4","1","Clark","29820","Las Vegas-Henderson-Paradise, NV","8/2/2004","8/2/2004","3/19/2012","Stock","0","0","FDIC","DIF","San Francisco","DALLAS","Phoenix","San Francisco","Western","Western","0","0","www.bealbankUSA.com","2241338","0","-123276","0","0","0","0","282000","-114811","0","1721251"
"32574","18092","1176881","3818804","BEAL BANK, SSB","Plano","TX","75024","12/31/2015","2/22/2022","SB","6000 Legacy Dr.","BEAL FINANCIAL CORP","19","0","1","4","1","Collin","19100","Dallas-Fort Worth-Arlington, TX","3/10/1988","3/10/1988","10/14/2011","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","0","www.bealbank.com","1037373","0","88900","0","0","0","0","152000","522","0","974795"
"3857","10815","324649","4297853","BEAR STATE BANK, NATIONAL ASSOCIATION","Little Rock","AR","72223","12/31/2015","2/22/2022","N","5315 Highland Dr.","BEAR ST FINL HOLDINGS LLC","44","0","1","4","0","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","12/6/1897","1/1/1934","2/13/2015","Stock","0","0","OCC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","","80946","0","11780","113","0","103751","0","12100","-75","0","184415"
"30043","4618","835378","","BEARDSTOWN SAVINGS S.B.","Beardstown","IL","62618","12/31/2015","2/22/2022","SB","301 State St.","","2","0","0","5","0","Cass","","","1/1/1911","5/23/1949","5/2/2011","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.beardstownsavings.com","5160","0","93","0","0","0","0","0","-9","0","5245"
"58199","0","3425725","3917855","BEARTOOTH BANK","Billings","MT","59106","12/31/2015","2/22/2022","NM","4130 King Ave. W.","BEARTOOTH FINANCIAL CORP","1","0","0","4","0","Yellowstone","13740","Billings, MT","4/24/2006","4/24/2006","8/11/2015","Stock","0","0","FDIC","DIF","San Francisco","KANSAS CITY","Billings","Minneapolis","Western","West","0","1","","5738","-1","372","0","0","0","0","0","0","-13","6097"
"30339","5195","123374","3841839","BEAUREGARD FSB","Deridder","LA","70634","12/31/2015","2/22/2022","SA","122 Jefferson Ave.","BEAUREGARD BANCSHARES INC","2","0","0","8","1","Beauregard","","","6/23/1948","6/23/1948","7/21/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Atlanta","Southern","Western","0","1","www.beauregardfsb.com","9942","0","1220","0","0","0","0","976","0","0","10186"
"29024","2781","946274","","BEDFORD FEDERAL SAVINGS BANK","Bedford","IN","47421","12/31/2015","2/22/2022","SB","1030 15th St.","","2","0","0","5","0","Lawrence","","","7/1/1934","10/25/1934","4/15/2014","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","0","1","www.bedfed.com","11167","0","879","0","0","0","0","0","0","0","12045"
"11355","11482","696047","2513214","BEDFORD LOAN & DEPOSIT BANK","Bedford","KY","40006","12/31/2015","2/22/2022","NM","45 Hwy. 42 E.","BEDFORD LOAN&DEPOSIT BCORP INC","3","0","0","8","0","Trimble","","","11/2/1891","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","www.bedfordbank.com","11823","0","438","0","0","0","0","146","76","0","12191"
"12208","12667","761244","1136988","BELGRADE STATE BANK","Belgrade","MO","63622","12/31/2015","2/22/2022","SM","401 Main St.","TURNER BANCSHARES INC","6","0","0","4","0","Washington","","","6/19/1906","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","belgradestatebank.com","22023","0","1957","0","0","0","0","2449","63","0","21594"
"19581","0","929352","1417333","BELL STATE BANK & TRUST","Fargo","ND","58103","12/31/2015","2/22/2022","NM","3100 13th Ave, S.","STATE BANKSHARES INC","21","0","1","4","0","Cass","22020","Fargo, ND-MN","5/6/1966","5/6/1966","9/22/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.bell.bank","308619","0","36805","0","0","0","0","0","-63","0","345361"
"14415","0","178244","2307310","BELLEVUE STATE BANK","Bellevue","IA","52031","12/31/2015","2/22/2022","NM","200 S. 2nd St.","BELLEVUE STB EMPLOYEE STK OWNERSHIP PLAN","1","0","0","2","1","Jackson","","","1/1/1934","5/31/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.bellevuestatebank.com","11350","0","1870","0","0","0","0","860","-84","0","12275"
"58165","0","3391718","3391727","BELMONT BANK & TRUST COMPANY","Chicago","IL","60634","12/31/2015","2/22/2022","NM","8250 W. Belmont Ave.","BELMONT FINANCIAL GROUP INC","2","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/14/2006","6/14/2006","1/2/2008","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","WWW.BELMONTBANK.COM","27308","0","4157","9","0","0","0","271","-42","0","31161"
"28035","773","919773","","BELMONT FEDERAL SAVINGS AND LOAN ASSOCIATION","Belmont","NC","28012","12/31/2015","2/22/2022","SA","210 Park St.","","1","0","0","5","0","Gaston","16740","Charlotte-Concord-Gastonia, NC-SC","1/1/1915","12/4/1940","7/2/2015","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","www.belmontsavingsbank.com","16985","0","483","0","0","0","0","0","-15","0","17453"
"23901","11885","348207","3929791","BELMONT SAVINGS BANK","Belmont","MA","2478","12/31/2015","2/22/2022","SB","2 Leonard St.","BSB BCORP INC","7","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1885","7/12/1982","10/1/2009","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","","128495","0","6976","2196","0","0","0","0","-95","3800","141372"
"28348","1411","72678","","BELMONT SAVINGS BANK","Bellaire","OH","43906","12/31/2015","2/22/2022","SB","3301 Guernsey St.","","4","0","0","5","0","Belmont","48540","Wheeling, WV-OH","1/1/1886","10/29/1935","3/31/2006","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.belmont-savings.com","54665","0","3967","0","0","0","0","0","2844","0","61476"
"30744","5846","493077","","BELPRE SAVINGS BANK","Belpre","OH","45714","12/31/2015","2/22/2022","SB","605 Washington Blvd.","","2","0","0","5","0","Washington","","","1/1/1902","10/24/1955","3/31/2006","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","8094","0","-179","0","0","0","0","0","-4","0","7911"
"15362","0","223751","","BELT VALLEY BANK","Belt","MT","59412","12/31/2015","2/22/2022","SM","111 Castner St.","","1","0","0","2","0","Cascade","24500","Great Falls, MT","3/14/1936","3/14/1936","12/31/2008","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.beltvalleybank.com","7421","0","649","0","0","0","0","200","137","0","8007"
"28384","15152","462774","4754301","BEN FRANKLIN BANK OF ILLINOIS","Arlington Height","IL","60004","12/31/2015","2/22/2022","SA","830 E. Kensington Rd.","BEN FRANKLIN FINANCIAL INC","2","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1893","1/29/1941","6/25/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","7821","0","-938","0","0","0","0","0","-23","1727","8586"
"19215","9671","980960","1133428","BENCHMARK BANK","Plano","TX","75024","12/31/2015","2/22/2022","NM","5700 Legacy Dr. Suite 10","QUINLAN BANCSHARES INC","6","0","0","4","1","Collin","19100","Dallas-Fort Worth-Arlington, TX","8/29/1964","8/29/1964","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.benchmarkbank.com","42525","0","4056","0","0","0","0","1500","0","1500","46581"
"57949","0","3369007","3927304","BENCHMARK BANK","Gahanna","OH","43230","12/31/2015","2/22/2022","SB","461 Beecher Rd.","BENCHMARK BCORP INC","2","0","0","4","0","Franklin","18140","Columbus, OH","8/1/2005","8/1/2005","12/19/2011","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","9412","0","919","28","0","0","0","0","-65","1300","11594"
"20484","0","94522","1141441","BENCHMARK COMMUNITY BANK","Kenbridge","VA","23944","12/31/2015","2/22/2022","SM","100 S. Broad St.","BENCHMARK BANKSHARES INC","14","0","1","6","0","Lunenburg","","","9/8/1971","9/8/1971","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.BCBonline.com","55730","0","6380","0","0","0","0","1930","-167","0","60012"
"15697","14407","810919","3846629","BENEFICIAL BANK","Philadelphia","PA","19107","12/31/2015","2/22/2022","SB","1139 Chestnut St.","BENEFICIAL BCORP INC","56","0","1","4","0","Philadelphia","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","4/20/1853","11/21/1939","1/15/2015","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","","615449","0","22883","0","0","0","0","0","-711","247193","884814"
"58490","18032","3608751","3842649","BENEFICIAL STATE BANK","Oakland","CA","94612","12/31/2015","2/22/2022","NM","1438 Webster St, # 100","BENEFICIAL STATE FOUNDATION","4","0","1","4","0","Alameda","41860","San Francisco-Oakland-Hayward, CA","6/27/2007","6/27/2007","8/12/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.beneficialstatebank.com","41566","0","9330","1500","0","0","0","0","-103","0","52293"
"13774","13729","824242","1491708","BENTON COUNTY STATE BANK","Blairstown","IA","52209","12/31/2015","2/22/2022","NM","212 Locust N.E.","BLAIRSTOWN BCORP INC","1","0","0","2","0","Benton","16300","Cedar Rapids, IA","1/1/1869","1/29/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.bentoncountystatebank.com","5738","0","498","0","0","0","0","330","-47","0","5859"
