cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"20162","0","647955","1125478","FIRST SECURITY BANK OF HELENA","Helena","MT","59601","6/30/2010","8/17/2020","NM","1721 11th Ave.","F S B HOLDING CO","1","0","0","4","1","Lewis And Clark","","","4/13/1970","4/13/1970","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.ascentbank.com","39238","472","1167","2972","5594","5369","4079","3510","2172","3048","4380","4199","1973"
"19106","11713","633341","1119440","FIRST SECURITY BANK OF KENTUCKY","Island","KY","42350","6/30/2010","8/17/2020","NM","First &main St.","COMMUNITY BCORP OF KY INC","4","0","0","2","0","Mclean","36980","Owensboro, KY","1/4/1904","4/16/1964","4/4/2007","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","","40154","348","280","1886","4651","2298","2813","1669","3006","7071","9329","4252","2157"
"20646","13044","651457","2807100","FIRST SECURITY BANK OF MALTA","Malta","MT","59538","6/30/2010","8/17/2020","SM","130 S. 1st E.","MILK RIVER BANQUO INC","1","0","0","2","0","Phillips","","","4/3/1972","4/3/1972","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","18224","0","0","59","20","386","179","13430","1050","596","398","639","1127"
"21010","13201","652351","2003975","FIRST SECURITY BANK OF MISSOULA","Missoula","MT","59801","6/30/2010","8/17/2020","SM","1704 Dearborn Ave.","GLACIER BCORP INC","12","0","0","4","0","Missoula","33540","Missoula, MT","3/29/1973","3/29/1973","1/27/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","0","","577795","4673","5075","16997","22657","6765","12391","53043","92420","106227","74112","67268","88526"
"58443","0","3555248","","FIRST SECURITY BANK OF NEVADA","Las Vegas","NV","89129","6/30/2010","8/17/2020","NM","10501 W. Gowan Rd, # No. 260","","2","0","0","4","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","1/30/2007","1/30/2007","5/21/2010","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://https://www.fsbnv.com","80141","0","483","677","0","0","0","17646","14704","14948","9776","13621","0"
"34524","15979","2586281","2917287","FIRST SECURITY BANK OF OWENSBORO, INC.","Owensboro","KY","42301","6/30/2010","8/17/2020","NM","300 Frederica St.","FIRST SECURITY INC","3","0","1","4","0","Daviess","36980","Owensboro, KY","8/20/1997","8/20/1997","1/25/2008","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","","169591","1418","7095","13874","9172","4339","7741","27517","28394","26264","30935","8296","2851"
"20479","0","625056","1128349","FIRST SECURITY BANK OF ROUNDUP","Roundup","MT","59072","6/30/2010","8/17/2020","NM","401 Main St.","CENTRAL MONTANA BCORP","1","0","0","2","1","Musselshell","","","9/3/1971","9/3/1971","4/22/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.1stsecurityroundup.com","27585","287","203","900","557","0","0","9511","3267","5131","6559","1170","0"
"17209","0","114756","1107700","FIRST SECURITY BANK, NATIONAL ASSOCIATION","Flower Mound","TX","75028","6/30/2010","8/17/2020","N","1801 Cross Timbers","FIRST GRAHAM BCORP INC","3","0","0","4","1","Denton","19100","Dallas-Fort Worth-Arlington, TX","1/1/1907","4/15/1953","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","119458","3199","2260","12402","3718","1160","371","6934","17377","31484","23681","6974","5473"
"15767","11221","949453","1857788","FIRST SECURITY BANK-HENDRICKS","Hendricks","MN","56136","6/30/2010","8/17/2020","NM","113 S. Main St.","FOLDEN FINANCIAL CORP","1","0","0","2","1","Lincoln","","","8/30/1940","8/30/1940","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","0","1","www.fsbhendricks.com","8629","57","165","809","450","471","0","327","1438","2771","2058","67","0"
"27539","0","1401903","","FIRST SECURITY BUSINESS BANK","Orange","CA","92867","6/30/2010","8/17/2020","NM","803 E. Katella Ave.","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","3/31/1988","6/28/1989","1/23/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","0","","164015","0","0","0","0","0","0","4230","5364","16648","7865","55240","72509"
