cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"57899","0","3317192","3370517","1ST ADVANTAGE BANK","Saint Peters","MO","63376","3/31/2013","11/15/2020","NM","240 Salt Lick Rd.","1ST ADVANTAGE BANCSHARES INC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","12784","2152","6025","3728","879","18922","4467","8236","4311","1908"
"22039","0","564856","1128415","1ST BANK","Sidney","MT","59270","3/31/2013","11/15/2020","SM","120 2nd St, N.W.","1ST UNITED BCORP INC","2","0","0","2","1","Richland","","","6/9/1975","6/9/1975","6/22/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","8850","1670","4953","1880","347","8295","416","6571","1143","165"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","3/31/2013","11/15/2020","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","19789","4106","12708","2976","0","10149","2244","6051","1854","0"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","3/31/2013","11/15/2020","SA","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","28987","5277","9172","11846","2692","28795","10245","9195","7859","1496"
"4788","0","488055","1058576","1ST BANK OF TROY","Troy","KS","66087","3/31/2013","11/15/2020","NM","212 S. Main St.","PONY EXPRESS BCORP INC","1","0","0","2","0","Doniphan","41140","St. Joseph, MO-KS","2/4/1870","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","4928","1796","2645","487","0","1931","886","932","113","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","3/31/2013","11/15/2020","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","2/21/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","17230","5407","5555","3372","2896","29327","7332","9878","3741","8376"
"3881","0","273149","1100224","1ST BANK, NATIONAL ASSOCIATION.","Texarkana","TX","75503","3/31/2013","11/15/2020","N","3625 Richmond Rd.","FIRST NATL BANCSHARES HEMPSTEAD CNTY","8","0","1","4","1","Bowie","45500","Texarkana, TX-AR","1/1/1909","1/1/1934","2/20/2013","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","54131","7059","23676","15554","7842","59297","7596","23551","18604","9546"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","3/31/2013","11/15/2020","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","9027","2444","4777","1581","225","7412","2226","4360","724","102"
"58485","0","3594797","","1ST CAPITAL BANK","Monterey","CA","93940","3/31/2013","11/15/2020","NM","5 Harris Court, Bldg. N, # N","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","12/13/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","6353","2135","3650","568","0","23037","10667","9898","2472","0"
"57657","0","3247598","3602236","1ST CENTURY BANK, NATIONAL ASSOCIATION","Los Angeles","CA","90067","3/31/2013","11/15/2020","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES INC","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","","1227","656","531","12","28","43636","21308","22328","0","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","3/31/2013","11/15/2020","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","11581","3072","6425","1926","160","25569","10542","11197","3448","382"
"58358","0","3465383","1247334","1ST COMMERCE BANK","North Las Vegas","NV","89031","3/31/2013","11/15/2020","NM","5135 Camino Al Norte, # 4","CAPITOL BCORP LTD","1","0","0","4","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","10/18/2006","10/18/2006","2/21/2013","Stock","0","0","FDIC","DIF","San Francisco","CHICAGO","Phoenix","San Francisco","Western","Western","0","0","","1636","382","1115","50","89","14958","4858","9478","622","0"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","3/31/2013","11/15/2020","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","16456","2554","8326","3050","2526","21061","6815","7285","5409","1552"
"27552","10064","1412619","2784920","1ST CONSTITUTION BANK","Cranbury","NJ","8512","3/31/2013","11/15/2020","NM","2650 Rt. 130","1ST CONSTITUTION BCORP","14","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","3/25/2011","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.1stconstitution.com","68468","11318","28705","18551","9894","74169","13302","28682","20810","11375"
"58321","0","3452123","","1ST ENTERPRISE BANK","Los Angeles","CA","90017","3/31/2013","11/15/2020","NM","818 W. 7th St, # 220","","3","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","7/3/2006","7/3/2006","7/10/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","1","","415","83","253","79","0","13610","1689","11921","0","0"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","3/31/2013","11/15/2020","NM","3956 W. Dempster St.","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","20014","3115","12666","3409","824","37542","7793","17828","9148","2773"
