cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"9486","10086","641579","1246690","CLACKAMAS COUNTY BANK","Sandy","OR","97055","12/31/2011","11/15/2020","NM","38975 Proctor Blvd.","CCB FINANCIAL CORP","4","0","0","4","1","Clackamas","38900","Portland-Vancouver-Hillsboro, OR-WA","1/31/1911","1/1/1934","3/12/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","www.clackamascountybank.com","2.35740019575585","2.41463056907202","5.58777016341592","0.539229963867656","4.04199608511071","5.46167642673466","0","7.67677074474547","0","1.24787860636917","","1.24106433677522","0","1.27590078595488",""
"1022","10108","988144","1205325","CLARE BANK, NATIONAL ASSOCIATION","Platteville","WI","53818","12/31/2011","11/15/2020","N","345 W. Pine St.","MONTFORT BCORP INC","8","0","0","8","1","Grant","","","10/28/1905","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","www.clarebank.com","2.21283418537987E-02","4.74407950173611E-02","0","0","0","5.43365762782033E-02","","5.43365762782033E-02","0","-6.18857835977919E-02","0.618811881188119","-8.10940749193404E-02","0","-0.164581961816985","0"
"18038","7619","47500","","CLAREMONT SAVINGS BANK","Claremont","NH","3743","12/31/2011","11/15/2020","SB","145 Broad St.","","5","0","0","5","0","Sullivan","","","4/15/1907","7/2/1959","9/26/2007","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.claremontsavings.com","0.151501834213046","0.14086222912574","0","-2.60943310065888E-02","0","0.17643017090444","0","0.189204575088693","0","0.609508329947176","","0.59006043202258","0.184928340268146","0.666963094708759",""
"16247","0","503640","","CLARENCE STATE BANK","Clarence","MO","63437","12/31/2011","11/15/2020","NM","101 E. Chestnut","","1","0","0","2","0","Shelby","","","3/31/1945","4/7/1945","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.neighborsbank.com","1.21506682867558E-02","0","","0","","0","","0","0","0.135135135135135","","0.12099945550245","0.231347599768652","0",""
"57624","0","3185579","","CLARION COUNTY COMMUNITY BANK","Clarion","PA","16214","12/31/2011","11/15/2020","NM","333 Main St.","","3","0","0","5","0","Clarion","","","1/7/2004","1/7/2004","8/30/2010","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","http://www.clarionbank.com","0.383107665192118","0.296097509782462","0","0","0","0.427924511949386","0","0.449210753764272","1.01659592853331","0.922887612797375","","0.830909846281678","1.29689671144048","0.368052999631947",""
"14980","14254","65241","3613504","CLARKE COUNTY STATE BANK","Osceola","IA","50213","12/31/2011","11/15/2020","NM","139 S Main St.","JOHN T VUCUREVICH FOUNDATION","3","0","0","2","0","Clarke","","","1/3/1935","1/11/1935","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","","1.05140819119136","1.1362334339075","0.461990760184796","2.2873934086195","0","1.58945678293947","0","1.62686814095847","0.590601455752777","1.11749680715198","","0.940765379834022","0","4.49582530507386",""
"14581","12890","1007958","1057878","CLARKSON BANK","Clarkson","NE","68629","12/31/2011","11/15/2020","NM","243 Pine St.","CLARKSON MANAGEMENT CO","1","0","0","2","1","Colfax","","","5/17/1934","7/18/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","www.clarksonbank.com","-0.076296273689993","0","0","0","","0","","0","-9.28677563150074E-02","-0.225631768953069","","-0.195541650371529","0","-0.586854460093897","0"
"34957","0","2735173","2735164","CLARKSTON STATE BANK","Clarkston","MI","48346","12/31/2011","11/15/2020","NM","15 S. Main St.","CLARKSTON FINANCIAL CORP","4","0","0","4","0","Oakland","19820","Detroit-Warren-Dearborn, MI","12/18/1998","12/18/1998","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","3.01422658408856","2.82111033464487","-0.281769512538743","3.15671641791045","0","3.16572956775306","6.89958896065766","2.11571407930316","5.98074723598933","0","","0","-0.747663551401869","0.170473917490624","0"
"3126","14787","182951","2762384","CLASSIC BANK, NATIONAL ASSOCIATION","Cameron","TX","76520","12/31/2011","11/15/2020","N","102 N. Houston St.","CAMERON FINANCIAL CORP","5","0","0","4","1","Milam","","","8/22/1889","1/1/1934","11/1/2007","Stock","0","1","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.classic.bank","0.490975167792029","5.43797673800874E-02","0","0","0","0.132386936464454","","0.132386936464454","0","0.14985590778098","","0.131474486364579","0","0.339993723192803",""
"58660","0","3730746","","CLATSOP COMMUNITY BANK","Seaside","OR","97138","12/31/2011","11/15/2020","NM","1150 N. Roosevelt Drive, # 1","","2","0","0","4","0","Clatsop","","","4/22/2008","4/22/2008","7/26/2010","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","","6.1496832913105E-03","0","0","0","0","0","0","0","0","0.25879917184265","","0.24132730015083","0","0.364298724954463",""
"2444","0","832528","1427211","CLAY COUNTY BANK, INC.","Clay","WV","25043","12/31/2011","11/15/2020","NM","150 Main St.","FIRST CLAY COUNTY BANC CORP","2","0","0","5","0","Clay","16620","Charleston, WV","6/4/1902","1/1/1934","5/28/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","http://claycountybank.com","1.49694836383544E-02","3.70763316107099E-02","","0","","3.71460410892362E-02","0","3.72213409990208E-02","-0.330906684315023","-2.17348779586603E-02","","-1.96949256024185E-02","-6.29524708844822E-02","1.85549411808365E-02",""
"29764","4055","125873","3842863","CLAY COUNTY SAVINGS BANK","Liberty","MO","64068","12/31/2011","11/15/2020","SA","1178 W. Kansas St.","CCSB FINANCIAL CORP","4","0","0","4","0","Clay","28140","Kansas City, MO-KS","1/1/1922","5/12/1937","7/21/2011","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","claycountysavings.com","0.56827673844755","0.56065627525149","0","0.02166119721437","7.72161647278181","-4.73276445504584E-03","0","-5.19855895945644E-03","0","4.44444444444444","","4.14185865907326","-4.56273764258555","8.6342229199372",""
"10821","9860","498942","3390159","CLAY COUNTY STATE BANK","Louisville","IL","62858","12/31/2011","11/15/2020","NM","111 N. Church St.","CLAY CNTY STATE BANCSHARES INC","1","0","0","2","1","Clay","","","9/13/1905","1/1/1934","4/25/2007","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.claycobank.com","-0.1279883798457","-1.05692603631598E-02","0","0.141377725939278","","-1.24340992738486E-02","","-1.24340992738486E-02","-4.88710780959828E-02","0.226439019971922","","0.208796600791339","-5.35977488945464E-02","0.376248460801751",""
"6104","0","146654","3153242","CLAYTON BANK AND TRUST","Knoxville","TN","37902","12/31/2011","11/15/2020","NM","620 Market St.","CLAYTON BCORP INC","14","0","0","4","1","Knox","28940","Knoxville, TN","1/1/1889","1/1/1934","11/16/2011","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","","1.72714729663736","1.39626480390192","2.10072581963948","0.786323898682908","2.39135286802921E-02","2.00127047702105","1.62148932264578","2.01874589986232","3.05526368980304","0.970682225769059","1.83418928833456","0.939418775873086","0.934442984377281","0.940090422114395","0"
"15690","15922","865544","1840221","CLEAR LAKE BANK AND TRUST COMPANY","Clear Lake","IA","50428","12/31/2011","11/15/2020","SM","322 Main","ARNESON BANCSHARES INC","4","0","0","4","1","Cerro Gordo","","","1/1/1934","11/10/1939","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.clearlakebank.com","4.08620548751535E-02","7.50277602713004E-02","0.327556429039366","0","0","0.162171048246998","0","0.167425048622069","-7.79769881243935E-02","8.48419980943182E-02","","7.31588588343543E-02","-4.90406424324159E-02","0.343282503432825",""
"2443","12776","886624","1076150","CLEAR MOUNTAIN BANK","Bruceton Mills","WV","26525","12/31/2011","11/15/2020","SM","160 Morgantown St","STATE BCORP INC","11","0","1","4","0","Preston","34060","Morgantown, WV","1/1/1931","1/1/1934","5/28/2010","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.clearmountainbank.com","0.468936526490877","0.323074464611187","2.16407953399069","0.281416595651915","0","9.05977338338626E-02","-1.58736457795944E-02","0.10793887169623","1.79414843881115","0.715156855608554","1.83150183150183","0.582694296087873","0.237739019941385","0.799826618229855",""
"11116","12162","975911","3159244","CLEARFIELD BANK & TRUST COMPANY","Clearfield","PA","16830","12/31/2011","11/15/2020","NM","11 N. 2nd St.","CBT FINANCIAL CORP","13","0","0","4","0","Clearfield","","","1/15/1902","1/16/1934","11/5/2010","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","","0.309298450137961","0.233899809434307","0","0.358525582964818","0","0.177769434465654","0.54723017342987","0.120039333436381","0.218449796025793","1.83198361549013","","1.77533378551237","0","2.10002584647196",""
