cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDEOTH,EAMINTAN,EINTOTH,EINTGW,eothnint
"30121","4789","854173","","INVESTMENT SAVINGS BANK","Altoona","PA","16602","12/31/2017","8/22/2022","SB","1201 Eighth Ave.","","2","0","0","5","0","Blair","11020","Altoona, PA","1/1/1939","11/26/1940","5/17/2012","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","www.investmentsb.bank","830","0","0","0","830"
"28892","2573","35570","2477754","INVESTORS BANK","Short Hills","NJ","7078","12/31/2017","8/22/2022","SB","101 Jfk Pkwy.","INVESTORS BCORP INC","157","0","1","4","0","Essex","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1926","10/19/1942","1/10/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","0","","127297","2428","2428","0","124869"
"29093","2897","809379","2508144","INVESTORS COMMUNITY BANK","Chillicothe","MO","64601","12/31/2017","8/22/2022","SM","522 Washington St.","IFB HOLDINGS INC","1","0","0","7","0","Livingston","","","8/1/1934","10/31/1934","6/25/2014","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.my-investors.com","623","0","0","0","623"
"34295","0","2524797","2524788","INVESTORS COMMUNITY BANK","Manitowoc","WI","54220","12/31/2017","8/22/2022","NM","860 N. Rapids Rd.","COUNTY BCORP INC","5","0","0","2","0","Manitowoc","","","3/17/1997","3/17/1997","5/13/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","","6467","0","0","0","6467"
"19080","10723","913753","1134498","INWOOD NATIONAL BANK","Dallas","TX","75209","12/31/2017","8/22/2022","N","7621 Inwood Rd.","INWOOD BANCSHARES INC","14","0","0","4","1","Dallas","19100","Dallas-Fort Worth-Arlington, TX","4/9/1964","4/9/1964","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.InwoodBank.Com","10598","0","0","0","10598"
"18198","8452","407506","3912766","ION BANK","Naugatuck","CT","6770","12/31/2017","8/22/2022","SB","251 Church St.","ION FINANCIAL MHC","21","0","0","4","0","New Haven","35300","New Haven-Milford, CT","1/1/1870","7/1/1960","10/18/2013","Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.ionbank.com","9991","0","0","0","9991"
"8354","9573","656359","2011868","IOWA - NEBRASKA STATE BANK","South Sioux City","NE","68776","12/31/2017","8/22/2022","NM","2021 Dakota Ave.","COMMFIRST BCORP INC","7","0","1","2","1","Dakota","43580","Sioux City, IA-NE-SD","6/1/1920","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","Western","0","1","","2656","0","0","0","2656"
"15311","13677","989141","2339562","IOWA FALLS STATE BANK","Iowa Falls","IA","50126","12/31/2017","8/22/2022","NM","601 Washington Ave.","BARLOW BANKING CORP","2","0","0","4","1","Hardin","","","1/1/1933","12/6/1953","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.ifsbank.com","1017","0","0","0","1017"
"17347","12695","180443","1131273","IOWA PRAIRIE BANK","Brunsville","IA","51008","12/31/2017","8/22/2022","SM","302 Oak St.","PRAIRIE VIEW BANKSHARES INC","3","0","0","2","1","Plymouth","","","1/1/1929","7/29/1954","1/1/2012","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","","625","0","0","0","625"
"14690","12441","190648","1200478","IOWA SAVINGS BANK","Carroll","IA","51401","12/31/2017","8/22/2022","NM","510 Hwy. 30 W.","COMMUNITY GRAIN CO","6","0","0","2","1","Carroll","","","2/1/1902","8/22/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.iowasavingsbank.com","1333","3","3","0","1330"
