cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"16959","0","572347","1061316","BANK OF BILLINGS","Billings","MO","65610","12/31/2017","8/22/2022","NM","104 N E Elm St.","FIRST MIAMI BANCSHARES INC","2","0","0","2","0","Christian","44180","Springfield, MO","3/14/1889","12/1/1950","7/30/2012","Stock","0","0","FDIC","DIF","Kansas City","DALLAS","Springfield Mo","St. louis","Western","West","0","1","www.thebankofbillings.com","21","53873","6695","4629","0","0","41613","389","0","2104","0","2996","465","53873","45560","45346","21386","45346","86.2956023366031","0","0","0","0","214","8313","8313","0","109","7222","982","0","234","0","245","46242","3021","55340","55183","36902","51914","0","0","0","0","500","0","0","0","4533","5467","389","4533","0"
"59074","0","4536084","","BANK OF BIRD-IN-HAND","Bird In Hand","PA","17505","12/31/2017","8/22/2022","NM","309 N. Ronks Rd.","","2","0","0","2","0","Lancaster","29540","Lancaster, PA","11/29/2013","11/29/2013","3/1/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","www.bihbank.com","40","256080","25729","18919","0","5200","222258","2003","0","998","0","0","1895","256080","226836","206302","173768","206302","73.3377598348301","0","0","20000","0","534","29244","29244","0","2774","26392","78","0","0","0","648","246377","3352","219778.2","246045","222310","240135","0","0","0","0","34142","7432","20000","0","63329","29244","2008","63329","0"
"32722","14522","1421161","1471849","BANK OF BLUE VALLEY","Overland Park","KS","66213","12/31/2017","8/22/2022","SM","11935 Riley St.","BLUE VALLEY BAN CORP","5","0","0","4","0","Johnson","28140","Kansas City, MO-KS","12/18/1989","12/18/1989","8/22/2015","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","108","683594","13544","4150","103130","0","529264","5535","0","12322","8167","0","17167","683594","610109","570714","416793","570714","72.6584642291619","29203","0","8000","0","2192","73485","73485","0","1290","64019","8176","0","1177","0","1889","636544","180967","682539","688359.5","637384","693734","5888","5888","0","0","46979","44498","8000","0","208053","73236","5535","208053","0"
"10883","0","695947","3917873","BANK OF BLUFFS","Bluffs","IL","62621","12/31/2017","8/22/2022","NM","115 N. Bluffs St.","SCOTT MORGAN BCORP INC","2","0","0","2","1","Scott","","","8/3/1893","1/1/1934","7/8/2014","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","www.bankofbluffs.com","14","54784","2681","265","15777","0","34923","400","0","638","50","0","715","54784","46627","46444","36416","46444","90.3200809350582","0","0","0","0","183","8157","8157","0","200","550","7407","0","246","0","488","50965","26896","56419.8","55072","35589","55769","0","0","0","0","1955","2392","0","0","709","8392","400","709","4938"
"34397","0","2535560","2535579","BANK OF BOLIVAR","Bolivar","MO","65613","12/31/2017","8/22/2022","NM","495 S. Springfield Ave.","BOLIVAR BANCSHARES INC","5","0","0","4","0","Polk","44180","Springfield, MO","4/16/1997","4/16/1997","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","","71","273636","8683","3172","31571","0","216655","2299","0","4946","3308","0","8473","273636","250124","234922","194183","234922","86.5945127269169","1573","0","13000","0","629","23512","23512","0","1500","5781","16231","0","510","0","922","251398","76017","261750.2","269536.5","207706","268350","5542","5331","211","0","23724","1148","13000","873","37075","23657","2299","37075","5870"
"6137","15392","759625","","BANK OF BOTETOURT","Buchanan","VA","24066","12/31/2017","8/22/2022","NM","19747 Main St.","","12","0","0","4","0","Botetourt","40220","Roanoke, VA","9/27/1899","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.bankofbotetourt.com","107","388600","7299","764","18611","0","338119","3142","0","11463","3634","0","9474","388600","353584","341924","300999","341924","91.3757580185577","2103","0","6000","0","3557","35016","35016","0","2148","3792","29076","0","2427","0","1039","357494","65624","370198.4","382732","327624","382775","3227","3227","0","0","30110","3760","6000","453","66854","35816","3142","66854","0"
"57952","0","3308529","3308510","BANK OF BOZEMAN","Bozeman","MT","59718","12/31/2017","8/22/2022","NM","875 Harmon Stream Blvd.","BOZEMAN BCORP INC","1","0","0","4","0","Gallatin","","","4/15/2005","4/15/2005","4/28/2014","Stock","0","0","FDIC","DIF","San Francisco","KANSAS CITY","Billings","Minneapolis","Western","West","0","1","www.bankofbozeman.com","22","69140","2456","1614","5026","879","55263","794","0","5152","0","0","364","69140","62016","61742","49236","61742","86.9539895165987","0","0","0","0","274","7124","7124","0","8","20043","-12927","0","0","0","230","62782","13329","69432","70906.5","60140","70623","0","0","0","0","6107","105","0","0","8819","7135","752","8819","0"
"57102","0","3042234","2112439","BANK OF BRENHAM, NATIONAL ASSOCIATION","Brenham","TX","77833","12/31/2017","8/22/2022","N","501 S. Austin St.","INDUSTRY BANCSHARES INC","1","0","0","7","0","Washington","","","8/7/2001","8/7/2001","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","0","http://www.bankofbrenham.com","24","352486","9695","7567","276624","1000","42391","901","0","1943","146","10220","10467","352486","314098","312582","280454","312582","58.1550503406051","0","0","0","0","1516","38388","38388","0","2268","27310","8810","0","448","0","2332","327582","284600","314154.2","339674.5","112634","331622","5097","3256","0","1841","70964","5649","0","0","7933","27307","901","7933","0"
"5605","0","351131","1079236","BANK OF BREWTON","Brewton","AL","36426","12/31/2017","8/22/2022","NM","102 Belleville Ave.","REPTON SUPPLY CO INC","2","0","0","8","0","Escambia","","","8/1/1889","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.bankofbrewton.com","21","50984","5538","1994","21594","649","21522","346","0","859","44","0","778","50984","40730","40529","27427","40529","77.4109984457109","0","0","0","0","201","10254","10254","0","123","425","9706","0","899","0","235","45759","8668","53500","51599","32878","51428","69","0","0","69","0","1651","0","0","10178","10338","346","10178","0"
"2224","13855","17950","1122310","BANK OF BRIDGER, NATIONAL ASSOCIATION","Bridger","MT","59014","12/31/2017","8/22/2022","N","101 S. Main St.","BRIDGER CO THE","10","0","1","2","0","Carbon","13740","Billings, MT","5/1/1906","1/1/1934","1/20/2017","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.bankofbridger.com","101","477720","17518","11435","215067","0","228359","3931","0","6444","218","3868","6246","477720","430981","429101","351038","429101","75.8976019681893","0","0","0","0","1880","46739","46739","0","725","22737","23277","0","462","140","3313","454861","207381","467046","473197.5","256909","472675","740","0","0","740","26919","1139","0","540","22335","44031","3221","22335","0"
"9385","0","236256","1022063","BANK OF BROOKFIELD - PURDIN, NATIONAL ASSOCIATION","Brookfield","MO","64628","12/31/2017","8/22/2022","N","939 Park Circle Dr.","CAPITAL BANCSHARES INC","4","0","0","2","1","Linn","","","12/14/1894","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Columbia Mo","Kansas City","Western","West","0","1","www.bankbp.com","20","92376","19700","17292","45733","0","25243","373","0","714","0","0","986","92376","81830","72568","60837","72568","89.1794334839634","9230","0","0","0","32","10546","10546","0","320","1550","8676","0","0","0","644","88268","17995","93373.4","91959.5","34316","92220","0","0","0","0","9230","0","0","0","2681","10572","373","2681","0"
"35439","0","2877831","4361923","BANK OF BROOKHAVEN","Brookhaven","MS","39601","12/31/2017","8/22/2022","NM","411 Brookway Blvd.","HAVEN CAPITAL CORP","1","0","0","4","0","Lincoln","","","1/31/2000","1/31/2000","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","www.bankofbrookhaven.com","29","155040","8499","1535","57852","0","81592","815","0","2220","562","0","4315","155040","136961","133917","103447","133917","63.1290661539493","125","0","0","0","2919","18079","18079","0","2133","6688","9258","0","11","0","687","140979","57095","157681.6","156426.5","94332","153702","2230","2230","0","0","18055","2773","0","0","5625","17792","815","5625","0"
"2733","13402","825940","1096297","BANK OF BUFFALO","Buffalo","KY","42716","12/31/2017","8/22/2022","SM","2441 Greensburg Rd.","BUFFALO BANCSHARES INC","2","0","0","8","1","Larue","21060","Elizabethtown-Fort Knox, KY","1/7/1901","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","www.thebankofbuffalo.com","16","74960","1657","454","28359","1803","40844","387","0","828","79","0","1390","74960","67057","59303","51172","59303","95.9464240586303","0","0","7700","0","54","7903","7903","0","26","7000","877","0","583","0","429","71460","32129","75187.8","74808.5","46044","74818","0","0","0","0","9647","419","7700","0","328","8111","387","328","0"
