cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,szislres,szislhel,szislccd,szislaut,szislcon,szislci,szisloth,ENCERES,ENCEAUTO,ENCECON,ENCECI,ENCEOTH,ASCERES,ASCEOTH
"58450","0","3485215","","TEXAS ADVANTAGE COMMUNITY BANK, NATIONAL ASSOCIATION","Alvin","TX","77511","3/31/2011","11/15/2020","N","1701 Fairway Plaza, # 18","","2","0","0","4","0","Brazoria","26420","Houston-The Woodlands-Sugar Land, TX","12/18/2006","12/18/2006","7/9/2007","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.TexasAdvantageCommunityBank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21074","0","414764","3385511","TEXAS BANK","Henderson","TX","75652","3/31/2011","11/15/2020","NM","1120 Hwy. 79 N.","HENDERSON TEXAS BANCSHARES INC","6","0","0","8","1","Rusk","30980","Longview, TX","5/5/1973","5/5/1973","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.texasbnk.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19559","11460","232856","","TEXAS BANK","Brownwood","TX","76801","3/31/2011","11/15/2020","NM","400 Fisk St.","","9","0","0","4","1","Brown","","","3/7/1966","3/7/1966","11/30/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.texasbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17842","11402","949154","1138423","TEXAS BANK AND TRUST COMPANY","Longview","TX","75601","3/31/2011","11/15/2020","NM","300 E. Whaley St.","OVERTON FINANCIAL CORP","12","0","0","4","0","Gregg","30980","Longview, TX","3/4/1958","3/4/1958","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.texasbankandtrust.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57922","0","3297490","3345234","TEXAS BRAND BANK","Garland","TX","75042","3/31/2011","11/15/2020","NM","1919 S. Shiloh Rd, # 100 Lb","TEXAS BRAND BANCSHARES INC","1","0","0","4","1","Dallas","19100","Dallas-Fort Worth-Arlington, TX","3/4/2005","3/4/2005","12/9/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.texasbrandbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34383","0","2618780","2706735","TEXAS CAPITAL BANK, NATIONAL ASSOCIATION","Dallas","TX","75201","3/31/2011","11/15/2020","N","2000 Mckinney Ave, # 700","TEXAS CAPITAL BANCSHARES INC","12","1","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","10/3/1997","10/3/1997","6/4/2010","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","0","www.texascapitalbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11159","0","579364","2314260","TEXAS CHAMPION BANK","Alice","TX","78332","3/31/2011","11/15/2020","NM","801 N. Texas Blvd.","MESQUITE FINL SERVICES INC","13","0","0","4","1","Jim Wells","","","8/12/1912","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://www.texaschampionbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58319","0","3440830","","TEXAS CITIZENS BANK, NATIONAL ASSOCIATION","Pasadena","TX","77505","3/31/2011","11/15/2020","N","4949 Fairmont Pkwy.","","6","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","5/3/2006","5/3/2006","8/18/2008","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.texascitizensbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24794","0","783965","","TEXAS COASTAL BANK","Pasadena","TX","77505","3/31/2011","11/15/2020","SM","6731 Spencer Hwy.","","2","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","11/16/1983","11/16/1983","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57431","0","3135097","3345225","TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION","The Woodlands","TX","77384","3/31/2011","11/15/2020","N","16610 I-45","TCB HOLDING CO","6","0","0","4","0","Montgomery","26420","Houston-The Woodlands-Sugar Land, TX","9/10/2002","9/10/2002","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
