cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,drlnls,drre,drrenus,iddrredm,drrecons,DRRECNFM,DRRECNOT,drreag,drreres,drremult,drrenres,DRRENROW,DRRENROT,drrefor,drdep,drdepnus,drag,drci,drcon,drcrcd,DRAUTO,DRCONOTH,drforgv,drother,drls,dragsm,crlnls,crre,crrenus,idcrredm,crrecons,CRRECNFM,CRRECNOT,crreag,crreres,crremult,crrenres,CRRENROW,CRRENROT,crrefor,crdep,crdepnus,crag,crci,crcon,crcrcd,CRAUTO,CRCONOTH,crforgv,crother,crls,cragsm,ntlnls,ntre,ntrenus,idntredm,ntrecons,NTRECNFM,NTRECNOT,ntreag,ntreres,ntremult,ntrenres,NTRENROW,NTRENROT,ntrefor,ntdep,ntdepnus,ntag,ntci,ntcinus,ntcon,ntcrcd,NTAUTO,NTCONOTH,ntforgv,ntother,ntls,ntagsm
"16177","9704","190947","","FIRST STATE BANK","Stuart","IA","50250","12/31/2019","8/22/2022","NM","215 N. Division St.","","4","0","0","2","0","Guthrie","19780","Des Moines-West Des Moines, IA","1/1/1934","7/31/1944","11/10/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.stuartbank.com","34","2","","2","0","0","0","0","2","0","0","0","0","","","","","0","32","0","23","9","","0","0","0","68","23","","23","0","0","0","0","23","0","0","0","0","","","","","10","35","0","30","5","","0","0","0","-34","-21","","-21","0","0","0","0","-21","0","0","0","0","","","","","-10","","-3","0","-7","4","","0","0","0"
"15364","52489","861854","2812832","FIRST STATE BANK","Randolph","NE","68771","12/31/2019","8/22/2022","NM","Broadway &main St.","FIRST STATE BCORP INC","1","0","0","2","1","Cedar","","","7/1/1935","3/14/1936","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","Western","0","1","http://www.fsbrandolph.bank","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"17775","0","719964","3938720","FIRST STATE BANK","Paint Rock","TX","76866","12/31/2019","8/22/2022","NM","Truehart &moss St.","PAINT ROCK BANCSHARES INC","2","0","0","2","1","Concho","","","1/1/1910","6/20/1957","10/1/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.fsbpaintrock.com","39","0","","0","0","0","0","0","0","0","0","0","0","","","","","4","29","0","5","24","","6","0","6","35","0","","0","0","0","0","0","0","0","0","0","0","","","","","27","4","0","0","4","","4","0","4","4","0","","0","0","0","0","0","0","0","0","0","0","","","","","-23","","25","0","5","20","","2","0","2"
"9437","0","294023","2376941","FIRST STATE BANK","Winchester","OH","45697","12/31/2019","8/22/2022","NM","19230 State Rt. 136","FIRST STATE BCORP INC","13","0","0","8","0","Adams","","","1/1/1934","1/1/1934","8/5/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.fsb4me.com","839","127","","127","0","0","0","0","35","0","92","92","0","","","","","134","439","0","418","21","","139","0","0","204","133","","133","0","0","0","0","6","0","127","127","0","","","","","0","30","0","30","0","","41","0","0","635","-6","","-6","0","0","0","0","29","0","-35","-35","0","","","","","134","","409","0","388","21","","98","0","0"
"12244","15666","488756","1054765","FIRST STATE BANK","Farnam","NE","69029","12/31/2019","8/22/2022","NM","222 Main St.","NEBRASKA BANKSHARES INC","5","0","0","2","1","Dawson","","","7/26/1904","1/1/1934","11/7/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","www.1ststatebank4me.com","17","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","17","0","0","17","","0","0","0","8","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","8","0","0","8","","0","0","0","9","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","9","0","0","9","","0","0","0"
"15898","11470","884358","1135909","FIRST STATE BANK","Livingston","TX","77351","12/31/2019","8/22/2022","SM","112 W. Polk St.","EAST TEXAS BANCSHARES INC","5","0","0","8","0","Polk","","","10/5/1910","6/27/1942","1/1/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.fsblivingston.bank","54","0","","0","0","0","0","0","0","0","0","0","0","","","","","9","45","0","6","39","","0","0","0","8","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","8","0","0","8","","0","0","0","46","0","","0","0","0","0","0","0","0","0","0","0","","","","","9","","37","0","6","31","","0","0","0"
"15206","0","264455","3072660","FIRST STATE BANK","Athens","TX","75751","12/31/2019","8/22/2022","NM","130 E. Corsicana St.","JANE AUSTIN CHAPMAN PARTNERSHIP L P","7","0","0","8","0","Henderson","","","5/1/1935","6/28/1935","8/26/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.bankfsb.com","941","13","","13","13","0","13","0","0","0","0","0","0","","","","","684","244","0","31","213","","0","0","0","138","0","","0","0","0","0","0","0","0","0","0","0","","","","","28","110","0","19","91","","0","0","0","803","13","","13","13","0","13","0","0","0","0","0","0","","","","","656","","134","0","12","122","","0","0","0"
"17950","0","796152","2344650","FIRST STATE BANK","Clute","TX","77531","12/31/2019","8/22/2022","NM","200 N. Brazosport Blvd.","FSB BANCSHARES INC","3","0","0","4","1","Brazoria","26420","Houston-The Woodlands-Sugar Land, TX","10/16/1958","1/2/1959","6/1/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://www.bankatfsb.com","511","0","","0","0","0","0","0","0","0","0","0","0","","","","","292","219","0","46","173","","0","0","0","162","0","","0","0","0","0","0","0","0","0","0","0","","","","","102","60","0","27","33","","0","0","0","349","0","","0","0","0","0","0","0","0","0","0","0","","","","","190","","159","0","19","140","","0","0","0"
"15586","9363","744256","1057850","FIRST STATE BANK","Scottsbluff","NE","69361","12/31/2019","8/22/2022","NM","2002 Broadway","FIRST STATE BANCSHARES INC","6","0","1","4","1","Scotts Bluff","","","9/12/1935","3/5/1938","6/10/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","","96","35","","35","0","0","0","0","15","0","20","0","20","","","","","32","28","0","0","28","","1","0","0","595","61","","61","0","0","0","0","1","0","60","0","60","","","","","518","14","0","0","14","","2","0","0","-499","-26","","-26","0","0","0","0","14","0","-40","0","-40","","","","","-486","","14","0","0","14","","-1","0","0"
"15752","12733","887340","1139345","FIRST STATE BANK","Mendota","IL","61342","12/31/2019","8/22/2022","NM","706-8 Washington St.","TRI-COUNTY FINANCIAL GROUP INC","19","0","0","4","0","La Salle","","","7/6/1940","7/6/1940","6/21/2013","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","WWW.FIRSTSTATEBANK.BIZ","473","274","","274","0","0","0","0","205","0","69","0","69","","","","","31","168","8","6","154","","0","0","0","252","141","","141","7","0","7","0","65","0","69","0","69","","","","","13","98","1","3","94","","0","0","0","221","133","","133","-7","0","-7","0","140","0","0","0","0","","","","","18","","70","7","3","60","","0","0","0"
