cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 BANK","Cambridge","MD","21613","12/31/2019","8/22/2022","SM","304 High St.","DELMARVA BANCSHARES INC","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","42","374480","51270","48283","42533","846","248606","1915","0","5113","2637","2010","21465","374480","319324","313658","222171","313658","72.1511485261457","0","0","0","0","5666","55156","55156","0","13242","33764","8150","0","562","0","661","340268","112369","377262.2","375793.5","252203","373277","14501","4414","0","10087","18996","9269","0","0","39886","50699","1986","39886","0"
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2019","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","18","112415","13638","12618","2200","0","91402","830","0","1946","2334","0","895","112415","100911","92686","71069","92686","75.1683492614181","0","0","8000","0","225","11504","11504","0","534","16797","-5827","0","25","0","209","106220","7756","109603.8","110928.5","91524","110378","0","0","0","0","15273","1723","8000","0","12489","11490","830","12489","0"
"22039","0","564856","1128415","1ST BANK","Broadus","MT","59317","12/31/2019","8/22/2022","SM","201 N. Wilbur Ave","1ST UNITED BCORP INC","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","9","51711","31681","29982","0","0","18554","1038","0","855","0","0","621","51711","44421","44307","32673","44307","89.0522139056723","0","0","0","0","114","7290","7290","0","657","4443","2190","0","0","0","373","48536","0","48975.6","49544","19653","49653","0","0","0","0","1498","0","0","0","2671","7290","255","2671","0"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","12/31/2019","8/22/2022","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/19/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","45","159094","9392","1096","33959","15419","94024","1100","0","5045","0","0","1255","159094","142102","141822","89810","141822","80.2949902398117","0","0","0","0","280","16992","16992","0","500","752","15740","0","60","0","907","144498","38063","157291.6","158006.5","87170","159571","0","0","0","0","5161","440","0","0","2116","16625","1089","2116","0"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","12/31/2019","8/22/2022","SM","117 N. Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","7/19/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","15","40108","11212","10079","9583","0","18236","223","0","579","25","0","473","40108","36492","35772","28224","35772","91.0408579328064","664","0","0","0","56","3616","3616","0","300","300","3016","0","458","0","351","37898","4221","40269","40211","16835","40041","0","0","0","0","2857","14","0","0","915","3599","212","915","0"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2019","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","45","243298","42383","39401","16943","500","168126","1230","0","4905","0","0","10441","243298","216098","209034","163491","209034","70.9974167623421","0","0","0","0","7064","27200","27200","0","100","0","27100","0","1560","0","630","224970","130021","245681.4","244284.5","139271","246824","6288","4887","0","1401","8465","8842","0","0","21124","27210","1230","21124","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2019","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","73","368404","58996","42900","17882","6800","263382","2981","0","7242","0","2904","11198","368404","329737","326682","179238","326682","69.2879378265621","0","0","0","0","3055","38667","38667","0","5165","13820","19682","0","366","0","1101","330964","145143","351314","361711.5","296236","356427","7597","4495","0","3102","12625","9215","0","0","68117","36246","3013","68117","0"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","12/31/2019","8/22/2022","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","14","52757","13938","12365","12484","3165","22220","250","0","637","0","0","313","52757","47314","43167","33555","43167","83.8444434150183","3913","0","0","0","234","5443","5443","0","500","1338","3605","0","195","0","159","50234","8580","55778.8","55044","20343","55059","0","0","0","0","5094","48","0","0","3362","5443","250","3362","0"
"58485","0","3594797","","1ST CAPITAL BANK","Salinas","CA","93901","12/31/2019","8/22/2022","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","84","645347","52353","35834","66095","0","504295","6594","0","4700","0","50","17854","645347","577332","572069","291435","572069","49.7712928378041","0","0","2758","0","2505","68015","68015","0","60323","2758","4934","0","492","350","1698","606224","193628","634061.6","641401.5","480548","619182","8071","0","0","8071","9813","10381","0","0","77249","67471","6016","77249","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","12/31/2019","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","68","574936","46348","45500","93991","9","417576","6671","0","691","0","0","16321","574936","527426","522385","460772","522385","47.8780942465292","2290","0","0","0","2751","47510","47510","0","1025","16549","29936","0","5892","0","1681","557076","206907","550503.2","559989.5","358360","572823","9807","8490","0","1317","72041","1485","0","4449","58947","47252","4506","58947","0"
