cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eqcprev,eqcrest,netinc,eqcstkrx,eqctrstx,eqcmrg,eqcdivp,eqcdivc,eqccompi,eqcbhctr,eq
"4829","0","746223","2706726","1880 BANK","Cambridge","MD","21613","6/30/2018","8/22/2022","SM","304 High St.","DELMARVA BANCSHARES INC","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","49129","0","1799","0","0","0","0","0","-279","-530","50119"
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","6/30/2018","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","10266","-3","214","0","0","0","0","0","-31","0","10446"
"22039","0","564856","1128415","1ST BANK","Broadus","MT","59317","6/30/2018","8/22/2022","SM","201 N. Wilbur Ave","1ST UNITED BCORP INC","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","6394","0","435","0","0","0","0","173","0","0","6657"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","6/30/2018","8/22/2022","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/19/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","14493","0","1923","0","0","0","0","925","-350","0","15141"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","6/30/2018","8/22/2022","SM","117 N. Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","3359","0","148","0","0","0","0","56","-35","0","3416"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","6/30/2018","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","24818","59","526","0","0","0","0","0","-37","0","25366"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","6/30/2018","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","33899","0","2187","0","0","0","0","1859","-185","0","34042"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","6/30/2018","8/22/2022","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","5054","0","81","0","0","0","0","0","0","0","5135"
"58485","0","3594797","","1ST CAPITAL BANK","Salinas","CA","93901","6/30/2018","8/22/2022","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","51992","0","2749","415","0","0","0","0","-490","0","54666"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","6/30/2018","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","38204","0","2495","0","0","0","0","0","-516","0","40184"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","6/30/2018","8/22/2022","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","6128","0","148","0","0","0","0","0","-209","0","6067"
"27552","10064","1412619","2784920","1ST CONSTITUTION BANK","Cranbury","NJ","8512","6/30/2018","8/22/2022","NM","2650 Rt. 130","1ST CONSTITUTION BCORP","20","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","126845","0","4980","506","0","8563","0","1316","-1111","0","138467"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","6/30/2018","8/22/2022","NM","3956 W. Dempster St.","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","14682","0","608","0","0","0","0","600","0","0","14690"
"57611","0","3203996","3203987","1ST EQUITY BANK NORTHWEST","Buffalo Grove","IL","60089","6/30/2018","8/22/2022","NM","1330 Dundee Rd.","NORTHWEST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","8901","0","113","0","0","0","0","440","0","0","8575"
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","6/30/2018","8/22/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","6096","0","814","0","0","0","0","0","-223","0","6686"
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","6/30/2018","8/22/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","150228","0","4546","0","0","0","0","0","-282","0","154492"
"6646","8805","480723","","1ST NATIONAL BANK","Lebanon","OH","45036","6/30/2018","8/22/2022","N","730 E. Main St.","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","15707","0","320","32","32","0","0","183","0","0","15877"
"57633","0","1018927","4347208","1ST SECURITY BANK OF WASHINGTON","Mountlake Terrac","WA","98043","6/30/2018","8/22/2022","SB","6920 220th St. Sw, # 300","FS BCORP INC","13","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","1/23/2016","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","126542","0","8899","0","0","0","0","479","-1652","0","133310"
"9087","10250","991340","1199602","1ST SOURCE BANK","South Bend","IN","46601","6/30/2018","8/22/2022","SM","100 N. Michigan St, # B","1ST SOURCE CORP","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","706119","718","42949","0","0","0","0","21977","-9083","0","718726"
"57626","0","3223305","3223293","1ST STATE BANK","Saginaw","MI","48604","6/30/2018","8/22/2022","NM","4800 Fashion Sq. Blvd, # 100","1ST STATE FINANCIAL LTD","4","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststate.bank","22856","0","1283","56","0","0","0","110","-10","375","24450"
"22543","14261","170640","3070152","1ST STATE BANK OF MASON CITY","Mason City","IL","62664","6/30/2018","8/22/2022","NM","123 W. Elm St.","FIRSTATE BCORP INC","1","0","0","7","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","3735","0","174","0","0","0","0","187","-220","0","3501"
"8426","10595","526519","1830240","1ST SUMMIT BANK","Johnstown","PA","15904","6/30/2018","8/22/2022","NM","125 Donald Ln.","1ST SUMMIT BCORP JOHNSTOWN INC","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.bank","93161","0","5767","0","0","0","0","1810","-5484","0","91634"
"57869","0","3309393","","1ST TRUST BANK, INC.","Hazard","KY","41701","6/30/2018","8/22/2022","NM","24 Commerce Dr.","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","20261","0","768","9","0","0","0","0","-22","0","21017"
"31249","6607","350572","4498726","1ST UNITED BANK","Faribault","MN","55021","6/30/2018","8/22/2022","NM","430 4th St Nw","J&B FINANCIAL HOLDINGS INC","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.1stunited.com","17884","0","756","0","0","0","0","597","-589","0","17454"
"9751","0","340256","3304352","21ST CENTURY BANK","Loretto","MN","55357","6/30/2018","8/22/2022","NM","699 N. Medina St.","DOLPHIN FAMILY MANAGEMENT CO","8","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","52908","0","1734","0","0","0","0","0","-419","0","54223"
"91005","0","455253","4754758","5STAR BANK","Colorado Springs","CO","80914","6/30/2018","8/22/2022","NM","Peterson Air Force Base, 455","LITTLE LONDON BCORP","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","35136","0","1446","0","0","0","0","0","-144","0","36438"
"27831","358","671370","4523459","A J SMITH FEDERAL SAVINGS BANK","Midlothian","IL","60445","6/30/2018","8/22/2022","SA","14757 S Cicero Ave","AJS BCORP INC","3","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1924","12/3/1934","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","29285","0","343","0","0","0","0","0","-495","79","29212"
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","6/30/2018","8/22/2022","NM","2815 Meredyth Dr.","COMMUNITY CAPITAL BANCSHARES","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.abtgold.com","17112","0","725","32","0","0","0","500","-20","0","17349"
"32257","8059","762773","","ABACUS FEDERAL SAVINGS BANK","New York","NY","10013","6/30/2018","8/22/2022","SA","6 Bowery","","6","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.abacusbank.com","43151","5","1000","0","0","0","0","0","13","0","44169"
"30332","5179","114774","","ABBEVILLE BUILDING & LOAN (A STATE-CHARTERED SAVINGS BANK)","Abbeville","LA","70510","6/30/2018","8/22/2022","SB","1212 Charity St.","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","3/31/2006","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.abbemae.com","15606","0","163","0","0","0","0","0","0","0","15769"
"30619","5642","416272","","ABBEVILLE FIRST BANK, SSB","Abbeville","SC","29620","6/30/2018","8/22/2022","SB","205 S. Main St","","2","0","0","8","0","Abbeville","","","1/1/1907","5/11/1953","10/17/2013","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://www.abbevillefirst.com","9295","0","225","0","0","0","0","0","-234","0","9286"
"19795","16035","198149","3612794","ABBYBANK","Abbotsford","WI","54405","6/30/2018","8/22/2022","NM","401 E. Spruce St.","ABBY BCORP INC","6","0","0","2","0","Marathon","48140","Wausau, WI","3/1/1968","3/1/1968","1/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","www.abbybank.com","41736","0","2307","0","0","0","0","800","-820","0","42423"
"26549","0","117672","","ABINGTON BANK","Abington","MA","2351","6/30/2018","8/22/2022","SM","6 Harrison Ave.","","3","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","2/12/1986","10/1/2017","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","","32279","-261","805","0","0","0","0","0","-414","0","32409"
"19600","0","535753","2107707","ACADEMY BANK, NATIONAL ASSOCIATION","Kansas City","MO","64154","6/30/2018","8/22/2022","N","8551 N Boardwalk Ave.","DICKINSON FINANCIAL CORP II","74","0","1","4","0","Platte","28140","Kansas City, MO-KS","6/15/1966","6/15/1966","5/1/2017","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.academybank.com","205539","0","10082","0","0","0","0","0","-2493","0","213128"
"4061","13760","266253","1055708","ACB BANK","Cherokee","OK","73728","6/30/2018","8/22/2022","NM","323 S Grand St.","ALFALFA COUNTY BANCSHARES INC","3","0","0","2","1","Alfalfa","","","1/29/1908","1/1/1934","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.acbbank.net","10155","0","1014","0","0","0","0","579","-316","0","10274"
"58727","0","3614837","3637939","ACCESS BANK","Omaha","NE","68114","6/30/2018","8/22/2022","NM","8712 W. Dodge Rd.","3MV BCORP INC","8","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/10/2007","12/10/2007","5/6/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","WWW.ACCESSBANK.COM","63763","0","2693","163","0","0","0","307","-332","0","65980"
