cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,uc,ucloc,uccrcd,uccomre,uccomres,uccomreu,ucsc,ucother,ucover1,sclent,othoffbs,partconv,partacqu
"29877","4246","1011076","4303969","TOWN SQUARE BANK","Ashland","KY","41101","6/30/2018","8/22/2022","SA","1500 Carter Ave","POAGE BANKSHARES INC","10","0","0","4","0","Boyd","26580","Huntington-Ashland, WV-KY-OH","1/1/1889","8/2/1937","5/31/2015","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","33977","7348","3219","1543","1543","0","","21867","7437","0","28000","",""
"22621","0","180537","","TOWN-COUNTRY NATIONAL BANK","Camden","AL","36726","6/30/2018","8/22/2022","N","118 Broad St.","","1","0","0","4","1","Wilcox","","","3/8/1978","3/8/1978","12/1/2008","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","WWW.TCUBANK.COM","2656","0","0","321","321","0","","2335","201","0","0","",""
"35095","0","2797724","","TOWNE BANK","Portsmouth","VA","23703","6/30/2018","8/22/2022","NM","5716 High St.","","41","0","1","4","0","Portsmouth City","47260","Virginia Beach-Norfolk-Newport News, VA-NC","4/8/1999","4/8/1999","1/26/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","0","https://www.townebank.com","2765169","513571","0","1077240","1077240","0","0","1174358","499783","50264","175000","",""
"57542","0","3287660","","TOYOTA FINANCIAL SAVINGS BANK","Henderson","NV","89074","6/30/2018","8/22/2022","NM","2485 Village View Drive, # 2","","1","0","0","5","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","8/16/2004","8/16/2004","4/1/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","0","www.toyotafinancialsavingsbank.com","4156","0","0","0","0","0","0","4156","0","0","0","",""
"4556","11792","1007051","1099065","TPNB BANK","Paris","MO","65275","6/30/2018","8/22/2022","SM","118 N. Main St.","PARIS BANCSHARES INC","1","0","0","2","0","Monroe","","","10/1/1865","1/1/1934","1/13/2017","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.tpnbbank.com","5100","0","0","450","450","0","0","4650","912","0","0","",""
"47","16141","390336","3467305","TRADERS & FARMERS BANK","Haleyville","AL","35565","6/30/2018","8/22/2022","NM","819 20th St","TRADERS&FARMERS BANCSHARES INC","7","0","0","8","0","Winston","","","1/6/1906","1/1/1934","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","16772","13849","0","2893","2893","0","","30","16772","0","0","",""
"58057","0","3344321","3344312","TRADITION CAPITAL BANK","Edina","MN","55435","6/30/2018","8/22/2022","NM","7601 France Ave. South, # 14","TRADITION BANCSHARES INC","2","0","0","4","1","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","7/1/2005","7/1/2005","4/5/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.TRADITION.BANK","216492","20548","0","143681","143681","0","0","52263","94849","0","0","",""
"2711","10648","786210","1070420","TRADITIONAL BANK, INC.","Mount Sterling","KY","40353","6/30/2018","8/22/2022","NM","49 W. Main St.","TRADITIONAL BCORP INC","14","0","0","4","1","Montgomery","","","3/17/1902","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.traditionalbank.com","207490","46500","0","92616","76227","16389","0","68374","138711","0","0","",""
"57554","0","3194692","3194683","TRADITIONS BANK","Cullman","AL","35055","6/30/2018","8/22/2022","NM","109 2nd Ave. N.W.","TRADITIONS BANCSHARES INC","6","0","0","4","0","Cullman","","","8/4/2003","8/4/2003","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://www.traditionsal.com","36516","2774","7885","11333","11208","125","0","14524","28631","0","6000","",""
"57092","0","2963864","","TRADITIONS FIRST BANK","Erin","TN","37061","6/30/2018","8/22/2022","NM","5745 E. Main St.","","4","0","0","8","0","Houston","","","11/30/2000","11/30/2000","9/15/2017","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.traditionsfirst.com","12900","5289","0","5492","5492","0","","2119","12563","0","0","",""
"23806","10968","615954","1128880","TRAILWEST BANK","Lolo","MT","59847","6/30/2018","8/22/2022","NM","11300 Us. Hwy. 93 S. Ste D","BITTERROOT HOLDING CO","15","0","0","4","1","Missoula","33540","Missoula, MT","5/17/1982","5/17/1982","9/8/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.trailwest.bank","50683","9089","0","12092","12092","0","","29502","24511","0","0","",""
"35050","0","2835756","","TRANSCAPITAL BANK","Sunrise","FL","33351","6/30/2018","8/22/2022","NM","8850 W Oakland Park Blvd","","3","0","0","4","1","Broward","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/26/1999","7/26/1999","4/20/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","","9134","0","0","9134","9134","0","","0","9134","0","0","",""
"11178","0","908861","2649588","TRANSPECOS BANKS, SSB","Pecos","TX","79772","6/30/2018","8/22/2022","SM","115 W. 3rd St.","TRANSPECOS FINANCIAL CORP","3","0","0","4","1","Reeves","","","3/1/1924","1/1/1934","7/1/2016","Stock","0","1","FED","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.transpecosbanks.com","13052","0","0","4506","4506","0","0","8546","4500","0","20000","",""
"34781","0","2736219","4748766","TRANSPORTATION ALLIANCE BANK, INC. D/B/A TAB BANK","Ogden","UT","84403","6/30/2018","8/22/2022","NM","4185 Harrison Blvd, # 200","TAB BANK HOLDINGS INC","1","0","0","4","1","Weber","36260","Ogden-Clearfield, UT","10/1/1998","10/1/1998","7/6/2016","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","www.TABBANK.COM","46826","0","0","0","0","0","","46826","38942","0","0","",""
"14812","0","552545","1207785","TREYNOR STATE BANK","Treynor","IA","51575","6/30/2018","8/22/2022","NM","15 E. Main St.","TREYNOR BANCSHARES INC","8","0","0","2","0","Pottawattamie","36540","Omaha-Council Bluffs, NE-IA","6/1/1923","10/16/1934","8/1/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","0","1","www.tsbank.com","20421","1039","0","175","175","0","","19207","3042","0","0","",""
"18922","0","242444","1203974","TRI CITY NATIONAL BANK","Oak Creek","WI","53154","6/30/2018","8/22/2022","N","6400 S. 27th St.","TRI CITY BANKSHARES CORP","35","0","0","4","0","Milwaukee","33340","Milwaukee-Waukesha-West Allis, WI","10/28/1963","10/28/1963","10/23/2009","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","www.tcnb.com","147081","31259","0","92915","92915","0","0","22907","99814","0","0","",""
"21943","10395","100562","1030170","TRI COUNTIES BANK","Chico","CA","95973","6/30/2018","8/22/2022","NM","63 Constitution Dr.","TRICO BANCSHARES","71","0","0","4","0","Butte","17020","Chico, CA","3/11/1975","3/11/1975","3/19/2016","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","0","http://www.tcbk.com","1092614","445342","1469","273796","273796","0","0","372007","881335","0","0","",""
"10641","0","388557","3952940","TRI VALLEY BANK","Talmage","NE","68448","6/30/2018","8/22/2022","NM","223 Main St","TRI VALLEY BANCSHARES INC","1","0","0","2","1","Otoe","","","9/1/1884","1/1/1934","3/31/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","WWW.BANKRIVSERSTONE.COM","12729","0","0","1631","1629","2","","11098","0","0","0","",""
"977","14326","695349","1969506","TRI-COUNTY BANK","Brown City","MI","48416","6/30/2018","8/22/2022","SM","4222 Main St.","TRI-COUNTY BCORP INC","11","0","0","2","0","Sanilac","","","5/29/1889","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","http://www.tri-countybank.com","27579","2888","0","16597","16597","0","0","8094","0","0","0","",""
