cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 BANK","Cambridge","MD","21613","12/31/2018","8/22/2022","SM","304 High St.","DELMARVA BANCSHARES INC","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","48","377395","51239","49056","41213","583","253993","1918","0","5167","642","2195","22363","377395","325300","319537","234262","319537","71.1186039892278","0","0","0","0","5763","52095","52095","0","13242","33764","5089","0","4203","0","651","344845","109471","355977.6","365788.5","250084","363798","14210","4280","0","9930","19689","8656","0","0","33739","47549","2176","33739","0"
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2018","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","18","112102","10600","9619","2815","0","92703","875","0","1975","3159","0","850","112102","101303","93160","70561","93160","80.4290262754473","0","0","8000","0","143","10799","10799","0","534","16797","-6532","0","26","0","218","105137","8018","104583.8","109256","92965","110967","0","0","0","0","9270","1568","8000","0","11497","10834","875","11497","0"
"22039","0","564856","1128415","1ST BANK","Broadus","MT","59317","12/31/2018","8/22/2022","SM","201 N. Wilbur Ave","1ST UNITED BCORP INC","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","9","50791","30202","29126","0","0","19138","983","0","913","0","0","538","50791","43910","43801","31947","43801","90.6427544664248","0","0","0","0","109","6881","6881","0","657","4443","1781","0","0","0","281","48264","34","49822.2","48980","20284","50150","0","0","0","0","303","0","0","0","3589","6881","263","3589","0"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","12/31/2018","8/22/2022","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/19/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","45","152040","6654","1026","42734","3943","92273","1141","0","5040","0","0","1396","152040","135788","135367","89333","135367","83.2155594444321","0","0","0","0","421","16252","16252","0","500","752","15000","0","50","0","1018","139976","38901","151862.2","152469","83852","154278","0","0","0","0","2041","448","0","0","2159","16615","1051","2159","0"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","12/31/2018","8/22/2022","SM","117 N. Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","14","39955","11722","10636","9024","0","18201","190","0","467","29","0","512","39955","36521","36258","28522","36258","89.7949622443918","93","0","0","0","170","3434","3434","0","300","300","2834","0","123","0","223","37861","5724","40234.4","39579","17371","39791","0","0","0","0","2192","79","0","0","1472","3511","190","1472","0"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2018","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","41","241029","26582","24081","24293","3000","172016","1230","0","5081","242","0","9815","241029","215136","201003","166827","201003","74.1106119626484","0","0","8000","0","6133","25893","25893","0","100","0","25793","0","1801","0","740","223390","128278","251115.4","250532.5","141337","249919","6146","4762","0","1384","23279","8338","8000","0","23315","25930","1230","23315","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2018","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","66","321691","35654","23677","17193","1065","248109","2357","0","5832","0","3005","10833","321691","285551","282849","168821","282849","76.2553074146483","0","0","0","0","2702","36140","36140","0","5164","13820","17156","0","550","0","1035","290044","142662","319993.6","318852","279003","313560","7434","4408","0","3026","10554","8778","0","0","61537","33993","2371","61537","0"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","12/31/2018","8/22/2022","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","14","56908","17275","16333","13994","0","24689","249","0","642","0","0","308","56908","51655","45275","36048","45275","81.9888258286774","6106","0","0","0","274","5253","5253","0","500","1337","3416","0","205","0","172","55016","7877","59843.4","59852","21597","60108","0","0","0","0","8383","60","0","0","3286","5253","249","3286","0"
"58485","0","3594797","","1ST CAPITAL BANK","Salinas","CA","93901","12/31/2018","8/22/2022","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","82","622287","52101","40555","70262","0","480842","6548","0","2086","0","77","16919","622287","563122","560498","278803","560498","49.626435653809","0","0","0","0","2624","59165","59165","0","54185","2604","2376","0","2711","0","1725","591659","182303","603117.8","614461","447839","623448","7866","0","0","7866","8047","11750","0","0","86949","59565","5612","86949","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","12/31/2018","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","66","543706","12105","11489","115093","9","401897","5627","0","798","0","0","13804","543706","500430","490356","436058","490356","51.3290232082092","8157","0","0","0","1917","43276","43276","0","1025","16200","26051","0","2746","0","1737","528488","185810","540523.4","541432","358084","545943","8367","7076","0","1291","61212","1519","0","2989","60532","43552","4490","60532","0"
