cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,idsccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,schtmres,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"16330","12275","986757","2249399","BATTLE CREEK STATE BANK","Battle Creek","NE","68715","12/31/2018","8/22/2022","SM","202 W Main St","BATTLE CREEK STATE CO INC","1","0","0","4","0","Madison","","","9/1/1943","10/24/1945","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","Western","0","1","http://www.battlecreekstatebank.com","1837","1727","0","1727","110","0","0","0","0","0","0","0","0","0","0","","","","404","0","0","0","0","0","0","0","0","0","0","0","1837","1837","0","0","0","0","0"
"34052","0","2329200","2340867","BAY BANK","Green Bay","WI","54313","12/31/2018","8/22/2022","NM","2555 Packerland Dr.","BAY BCORP INC","2","0","0","4","0","Brown","24580","Green Bay, WI","8/21/1995","8/21/1995","1/8/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.baybankgb.com","14242","7540","0","7540","6205","497","0","0","0","0","497","0","0","0","0","","","","6298","7540","907","907","0","6328","6328","0","305","0","305","0","14242","14242","0","0","0","0","0"
"15585","14349","961446","2389978","BAY PORT STATE BANK","Bay Port","MI","48720","12/31/2018","8/22/2022","NM","9840 Main St.","BAY PORT FINANCIAL CORP","3","0","0","2","0","Huron","","","3/1/1938","3/3/1938","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","https://www.bayportstatebank.com","80","74","0","74","6","0","0","0","0","0","0","0","0","0","0","","","","0","74","74","74","0","0","0","0","0","0","0","6","74","80","0","0","0","0","0"
"90311","7995","963002","3535437","BAY STATE SAVINGS BANK","Worcester","MA","1608","12/31/2018","8/22/2022","SB","28 Franklin St.","1895 MHC","7","0","0","4","0","Worcester","49340","Worcester, MA-CT","3/9/1895","11/20/1985","8/1/2011","Stock","0","0","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","baystatesavingsbank.com","20635","12335","0","12335","4873","0","0","0","0","0","0","0","3427","3427","0","","","","0","9392","8849","8849","0","543","543","0","0","0","0","0","20635","17208","0","0","0","0",""
"1092","9679","242958","2533070","BAYBANK","Gladstone","MI","49837","12/31/2018","8/22/2022","NM","104 S. 10th St.","BAYBANK CORP","3","0","0","4","0","Delta","","","7/1/1912","1/1/1934","1/29/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","0","1","http://baybank.us","17672","4160","0","4160","11781","1084","0","0","0","0","1084","0","647","647","0","","","","4505","5","5","5","0","0","0","0","0","0","0","0","17672","17023","0","0","0","0",""
"90196","13133","771609","2623430","BAYCOAST BANK","Swansea","MA","2777","12/31/2018","8/22/2022","SB","330 Swansea Mall Dr","NARRAGANSETT FINANCIAL CORP","19","0","1","4","0","Bristol","39300","Providence-Warwick, RI-MA","11/15/1851","6/18/1985","3/30/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.baycoast.bank","178815","86779","69661","17118","30463","20752","0","0","0","2075","18677","3475","37346","37346","0","","","","51526","17118","5693","5693","0","8943","8943","0","2482","0","2482","0","178815","141469","2010","2079","0","0","0"
"32527","8386","242976","3837373","BAYVANGUARD BANK","Baltimore","MD","21219","12/31/2018","8/22/2022","SB","7114 N. Point Rd.","BAY-VANGUARD MHC","4","0","0","6","0","Baltimore","12580","Baltimore-Columbia-Towson, MD","9/1/1873","3/26/1987","8/23/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.bayvanguard.com","17506","17506","0","17506","0","0","0","0","0","0","0","0","0","0","0","","","","0","10062","5601","5601","0","2518","2518","0","1943","0","1943","5444","12062","17507","4999","4921","0","0","0"
"35541","0","2954059","3170539","BCB COMMUNITY BANK","Bayonne","NJ","7002","12/31/2018","8/22/2022","NM","860 Broadway","BCB BCORP INC","28","0","1","4","0","Hudson","35620","New York-Newark-Jersey City, NY-NJ-PA","11/1/2000","11/1/2000","4/17/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.bcb.bank","127007","115581","0","115581","3694","59","59","0","0","0","0","0","7673","0","7673","","","","43131","113697","80642","80642","0","29961","29902","59","3094","3094","0","0","119334","119336","0","0","0","0","0"
"20215","0","829032","1141115","BCBANK, INC.","Philippi","WV","26416","12/31/2018","8/22/2022","NM","107 Pike St.","APPALACHIAN FINANCIAL CORP","4","0","0","4","0","Barbour","","","6/27/1970","6/29/1970","11/5/2015","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","https://www.bcbankinc.com/","21859","13493","0","13493","6565","1801","0","0","0","0","1801","0","0","0","0","","","","7251","4976","3533","3533","0","1443","1443","0","0","0","0","0","21859","21850","499","490","0","0","0"
"57131","0","3022076","","BEACH COMMUNITY BANK","Fort Walton Beac","FL","32548","12/31/2018","8/22/2022","NM","17 S.E. Eglin Pkwy.","","11","0","0","4","0","Okaloosa","18880","Crestview-Fort Walton Beach-Destin, FL","4/27/2001","4/27/2001","7/5/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","WWW.BEACH.BANK","179750","179409","0","179409","341","0","0","0","0","0","0","0","0","0","0","","","","39238","120395","18444","18444","0","87922","87922","0","14029","14029","0","0","179750","179750","0","0","0","0",""
"25644","12481","403067","1031515","BEACON BUSINESS BANK, NATIONAL ASSOCIATION","San Francisco","CA","94108","12/31/2018","8/22/2022","N","88 Kearny St, # 1750","TRANS PACIFIC BCORP","3","0","0","4","1","San Francisco","41860","San Francisco-Oakland-Hayward, CA","8/21/1984","8/21/1984","3/26/2018","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","https://beaconbusinessbank.com","11323","4846","0","4846","5478","999","0","0","0","0","999","0","0","0","0","","","","598","3742","3721","3721","0","21","21","0","0","0","0","0","11323","11323","0","0","0","0",""
"59106","0","5136959","","BEACON COMMUNITY BANK","Charleston","SC","29403","12/31/2018","8/22/2022","NM","578 E. Bay St, # D","","1","0","0","4","0","Charleston","16700","Charleston-North Charleston, SC","1/8/2018","1/8/2018","1/8/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.beacon.bank","5363","5363","2035","3328","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","5363","5363","0","0","0","0",""
"57833","0","3284397","3818804","BEAL BANK USA","Las Vegas","NV","89134","12/31/2018","8/22/2022","NM","1970 Village Ctr. Circle, St","BEAL FINANCIAL CORP","23","0","1","4","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","8/2/2004","8/2/2004","3/9/2018","Stock","0","0","FDIC","DIF","San Francisco","DALLAS","Phoenix","San Francisco","Western","Western","0","0","www.bealbankUSA.com","699698","534","0","534","5","699159","649828","49","0","0","49282","0","0","0","0","","","","454265","650411","534","534","0","649828","0","649828","49","0","49","0","699698","699699","0","0","0","0","0"
"32574","18092","1176881","3818804","BEAL BANK, SSB","Plano","TX","75024","12/31/2018","8/22/2022","SB","6000 Legacy Dr.","BEAL FINANCIAL CORP","19","0","1","9","0","Collin","19100","Dallas-Fort Worth-Arlington, TX","3/10/1988","3/10/1988","10/14/2011","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","0","www.bealbank.com","227722","9073","0","9073","0","218649","211638","266","0","0","6745","0","0","0","0","","","","15818","220977","9073","9073","0","211638","0","211638","266","0","266","0","227722","227722","0","0","0","0","0"
"30043","4618","835378","","BEARDSTOWN SAVINGS S.B.","Beardstown","IL","62618","12/31/2018","8/22/2022","SB","301 State St.","","2","0","0","5","0","Cass","","","1/1/1911","5/23/1949","5/2/2011","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.beardstownsavings.com","9841","5762","0","5762","3880","199","0","0","0","0","199","0","0","0","0","","","","0","5762","3914","3914","0","805","805","0","1043","1043","0","0","9841","9841","0","0","0","0",""
"58199","0","3425725","3917855","BEARTOOTH BANK","Billings","MT","59106","12/31/2018","8/22/2022","NM","4130 King Ave. W.","BEARTOOTH FINANCIAL CORP","1","0","0","4","0","Yellowstone","13740","Billings, MT","4/24/2006","4/24/2006","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","KANSAS CITY","Billings","Minneapolis","Western","West","0","1","","27","0","0","0","0","27","27","0","0","0","0","0","0","0","0","","","","0","27","0","0","0","27","0","27","0","0","0","0","27","27","0","0","0","0","0"
"30339","5195","123374","3841839","BEAUREGARD FSB","Deridder","LA","70634","12/31/2018","8/22/2022","SA","122 Jefferson Ave.","BEAUREGARD BANCSHARES INC","2","0","0","6","1","Beauregard","","","6/23/1948","6/23/1948","7/21/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Atlanta","Southern","Western","0","1","www.beauregardfsb.com","9323","9323","0","9323","0","0","0","0","0","0","0","0","0","0","0","","","","9300","18","18","18","0","0","0","0","0","0","0","9323","0","9323","0","0","0","0","0"
"29024","2781","946274","","BEDFORD FEDERAL SAVINGS BANK","Bedford","IN","47421","12/31/2018","8/22/2022","SB","1030 15th St.","","2","0","0","5","0","Lawrence","","","7/1/1934","10/25/1934","4/15/2014","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","0","1","www.bedfed.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11355","11482","696047","2513214","BEDFORD LOAN & DEPOSIT BANK","Bedford","KY","40006","12/31/2018","8/22/2022","NM","45 Hwy. 42 E.","BEDFORD LOAN&DEPOSIT BCORP INC","3","0","0","8","0","Trimble","","","11/2/1891","1/1/1934","7/19/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","www.bedfordbank.com","30135","13585","0","13585","16550","0","0","0","0","0","0","0","0","0","0","","","","7433","13585","6761","6761","0","4390","4390","0","2434","791","1643","0","30135","30137","0","0","0","0",""
"12208","12667","761244","1136988","BELGRADE STATE BANK","Belgrade","MO","63622","12/31/2018","8/22/2022","SM","401 Main St.","TURNER BANCSHARES INC","6","0","0","4","0","Washington","","","6/19/1906","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","belgradestatebank.com","21173","14421","0","14421","6752","0","0","0","0","0","0","0","0","0","0","","","","1564","10886","8587","8587","0","2299","2299","0","0","0","0","0","21173","21173","0","0","0","0",""
"19581","0","929352","1417333","BELL BANK","Fargo","ND","58103","12/31/2018","8/22/2022","NM","3100 13th Ave, S.","STATE BANKSHARES INC","21","0","1","4","0","Cass","22020","Fargo, ND-MN","5/6/1966","5/6/1966","8/21/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.bell.bank","83126","78144","540","77604","3902","1080","0","0","0","0","1080","0","0","0","0","","","","46213","36","20","20","0","16","16","0","0","0","0","3902","79224","83126","2000","1983","0","0","0"
"14415","0","178244","2307310","BELLEVUE STATE BANK","Bellevue","IA","52031","12/31/2018","8/22/2022","NM","200 S. 2nd St.","BELLEVUE STB EMPLOYEE STK OWNERSHIP PLAN","1","0","0","2","1","Jackson","","","1/1/1934","5/31/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.bellevuestatebank.com","5540","5099","0","5099","441","0","0","0","0","0","0","0","0","0","0","","","","0","5099","173","173","0","2902","2902","0","2024","0","2024","0","5540","5540","0","0","0","0",""
"58165","0","3391718","3391727","BELMONT BANK & TRUST COMPANY","Chicago","IL","60634","12/31/2018","8/22/2022","NM","8250 W. Belmont Ave.","BELMONT FINANCIAL GROUP INC","3","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/14/2006","6/14/2006","1/2/2008","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","WWW.BELMONTBANK.COM","100754","41887","1106","40781","58102","765","0","0","0","0","765","0","0","0","0","","","","19787","12228","12228","12228","0","0","0","0","0","0","0","0","100754","100754","0","0","0","0",""
"28035","773","919773","","BELMONT FEDERAL SAVINGS AND LOAN ASSOCIATION","Belmont","NC","28012","12/31/2018","8/22/2022","SA","210 Park St.","","1","0","0","5","0","Gaston","16740","Charlotte-Concord-Gastonia, NC-SC","1/1/1915","12/4/1940","7/2/2015","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","www.belmontsavingsbank.com","9047","9000","0","9000","0","0","0","0","0","0","0","0","47","47","0","","","","0","0","0","0","0","0","0","0","0","0","0","9000","47","9000","0","0","0","0","0"
"23901","11885","348207","3929791","BELMONT SAVINGS BANK","Belmont","MA","2478","12/31/2018","8/22/2022","SB","2 Leonard St.","BSB BCORP INC","7","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1885","7/12/1982","10/1/2009","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","","152065","137261","0","137261","0","14804","0","0","0","0","14804","0","0","0","0","","","","54948","137261","137261","137261","0","0","0","0","0","0","0","148025","4040","152065","0","0","2787","0","0"
"28348","1411","72678","","BELMONT SAVINGS BANK","Bellaire","OH","43906","12/31/2018","8/22/2022","NM","3301 Guernsey St.","","4","0","0","5","0","Belmont","48540","Wheeling, WV-OH","1/1/1886","10/29/1935","1/1/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.belmont-savings.com","270977","262890","0","262890","0","8029","3945","2336","1748","0","0","0","58","58","0","","","","60787","265513","253256","253256","0","3945","0","3945","8312","5777","2535","495","270482","270919","0","0","0","0",""
"15362","0","223751","","BELT VALLEY BANK","Belt","MT","59412","12/31/2018","8/22/2022","SM","111 Castner St.","","1","0","0","2","0","Cascade","24500","Great Falls, MT","3/14/1936","3/14/1936","12/31/2008","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.beltvalleybank.com","5681","3327","0","3327","1600","748","0","0","0","0","748","0","6","6","0","","","","2957","370","370","370","0","0","0","0","0","0","0","0","5681","5675","0","0","0","0",""
"28384","15152","462774","4754301","BEN FRANKLIN BANK OF ILLINOIS","Arlington Height","IL","60004","12/31/2018","8/22/2022","SA","830 E. Kensington Rd.","BEN FRANKLIN FINANCIAL INC","2","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1893","1/29/1941","6/25/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","5559","5559","0","5559","0","0","0","0","0","0","0","0","0","0","0","","","","4920","639","639","639","0","0","0","0","0","0","0","0","5559","5559","0","0","0","0",""
"19215","9671","980960","1133428","BENCHMARK BANK","Plano","TX","75024","12/31/2018","8/22/2022","NM","5700 Legacy Dr. Suite 10","QUINLAN BANCSHARES INC","8","0","0","4","1","Collin","19100","Dallas-Fort Worth-Arlington, TX","8/29/1964","8/29/1964","9/24/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.benchmarkbank.com","1755","1755","0","1755","0","0","0","0","0","0","0","0","0","0","0","","","","0","1755","1755","1755","0","0","0","0","0","0","0","1755","0","1755","0","0","0","0",""
"20484","0","94522","1141441","BENCHMARK COMMUNITY BANK","Kenbridge","VA","23944","12/31/2018","8/22/2022","SM","100 S. Broad St.","BENCHMARK BANKSHARES INC","16","0","1","4","0","Lunenburg","","","9/8/1971","9/8/1971","5/31/2017","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.BCBonline.com","33812","2645","0","2645","29980","0","0","0","0","0","0","0","1187","1187","0","","","","10281","1861","1861","1861","0","0","0","0","0","0","0","0","33812","32627","0","0","0","0",""
"15697","14407","810919","3846629","BENEFICIAL BANK","Philadelphia","PA","19107","12/31/2018","8/22/2022","SB","1139 Chestnut St.","BENEFICIAL BCORP INC","62","0","1","4","0","Philadelphia","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","4/20/1853","11/21/1939","4/15/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","","710193","625819","0","625819","2229","23492","0","0","0","0","23492","2000","56653","0","56653","","","","79620","623102","483175","483175","0","59575","59575","0","80352","80352","0","424571","228969","653540","2772","2717","0","0","0"
"58490","18032","3608751","3842649","BENEFICIAL STATE BANK","Oakland","CA","94612","12/31/2018","8/22/2022","NM","1438 Webster St, # 100","BENEFICIAL STATE FOUNDATION","19","0","1","4","0","Alameda","41860","San Francisco-Oakland-Hayward, CA","6/27/2007","6/27/2007","2/1/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.beneficialstatebank.com","50254","46306","0","46306","2356","592","0","0","592","0","0","0","1000","1000","0","","","","0","40917","24676","24676","0","13684","13684","0","2557","0","2557","0","50254","49245","0","0","0","0",""
"13774","13729","824242","1491708","BENTON COUNTY STATE BANK","Blairstown","IA","52209","12/31/2018","8/22/2022","NM","212 Locust N.E.","BLAIRSTOWN BCORP INC","1","0","0","2","0","Benton","16300","Cedar Rapids, IA","1/1/1869","1/29/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.bentoncountystatebank.com","8328","3062","0","3062","2321","2945","0","0","0","0","2945","0","0","0","0","","","","0","3062","1088","1088","0","0","0","0","1974","993","981","0","8328","8327","0","0","0","0",""
"23621","7290","473501","2333663","BERKSHIRE BANK","Pittsfield","MA","1201","12/31/2018","8/22/2022","NM","24 North St.","BERKSHIRE HILLS BCORP INC","117","0","1","4","0","Berkshire","38340","Pittsfield, MA","2/6/1846","1/2/1982","1/1/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","0","http://www.berkshirebank.com","1826134","1257757","0","1257757","395666","119987","0","0","30","0","119957","0","52724","0","52724","","","","1123548","1249403","170139","170139","0","1009922","1009922","0","69342","69342","0","373763","1399647","1773409","0","0","46866","0","33477"
"20015","0","7009","1246159","BESSEMER TRUST COMPANY","Woodbridge","NJ","7095","12/31/2018","8/22/2022","NM","100 Woodbridge Ctr. Dr.","BESSEMER GROUP INC THE","1","0","0","7","1","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1907","8/14/1969","4/11/2014","Stock","0","1","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","0","http://www.bessemertrust.com","384662","303285","221837","81448","66218","0","0","0","0","0","0","0","15159","15159","0","","","","366534","0","0","0","0","0","0","0","0","0","0","0","384662","369500","0","0","4863","0",""
