cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,LNPLEDGE,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"21868","0","976703","1246159","BESSEMER TRUST COMPANY, NATIONAL ASSOCIATION","New York","NY","10111","12/31/2016","2/22/2022","N","630 5th Ave.","BESSEMER GROUP INC THE","1","0","0","9","1","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","12/20/1974","12/20/1974","3/31/2006","Stock","0","1","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","http://www.bessemertrust.com","442273","0","442273","0","442273","0","0","0","0","0","0","0","0","0","","0","165590","0","271874","0","0","0","271874","4810","0","0","4810","0","0","0","0","0","0","0","0","0","0",""
"27909","528","682479","4974257","BEST HOMETOWN BANK","Collinsville","IL","62234","12/31/2016","2/22/2022","SA","100 E. Clay St.","BEST HOMETOWN BCORP INC","2","0","0","5","0","Madison","41180","St. Louis, MO-IL","1/1/1887","10/25/1939","7/8/2016","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","","74248","1214","75462","0","75462","74265","74265","2995","12832","2556","10276","4060","54378","0","","0","921","","276","0","0","139","137","0","0","0","0","0","0","0","50598","","189","0","1849","1146","704",""
"1808","15971","851631","1095058","BETTER BANKS","Peoria","IL","61615","12/31/2016","2/22/2022","NM","10225 N. Knoxville Ave.","BACKLUND INVESTMENT CO","7","0","0","8","1","Peoria","37900","Peoria, IL","1/1/1898","1/1/1934","8/15/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.betterbanks.com","177260","1367","178627","0","178627","98452","98452","4129","13401","12403","998","299","67930","12693","","4549","10873","","63691","1171","8","57372","5140","1062","0","826","236","0","0","0","0","","0","0","2305","1824","1367",""
"26601","9804","946171","3197835","BEVERLY BANK","Beverly","MA","1915","12/31/2016","2/22/2022","SB","254 Cabot St.","BEVERLY FINANCIAL MHC","5","0","0","4","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","3/25/1986","3/17/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","","345461","4037","349498","0","349498","325949","325949","26130","61593","18288","43305","63297","174248","681","","0","23197","0","352","0","67","108","177","0","0","0","0","0","0","0","116984","0","76","42","16633","9497","3817",""
"57701","0","3216017","2260406","BEVERLY BANK & TRUST COMPANY, NATIONAL ASSOCIATION","Chicago","IL","60643","12/31/2016","2/22/2022","N","10258 S. Western Ave.","WINTRUST FINANCIAL CORP","7","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","4/1/2004","4/1/2004","11/13/2015","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.thebeverlybank.com","835796","4322","840118","0","840118","308589","308589","26815","159193","41007","118186","53449","68826","306","","0","361688","0","137815","0","556","44","137215","32026","0","1864","2960","27202","0","796","783110","0","3279","2949","3706","23109","4357",""
"17741","10536","499501","4902643","BIDDEFORD SAVINGS BANK","Biddeford","ME","4005","12/31/2016","2/22/2022","SB","254 Main St.","MAINE COMMUNITY BCORP MHC","6","0","0","4","0","York","38860","Portland-South Portland, ME","7/27/1867","4/4/1957","1/26/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.mainecb.com","385335","1728","387063","0","387063","355713","355713","17002","96199","74044","22155","9903","232609","0","","0","26790","0","2082","0","0","468","1614","2478","0","2478","0","0","0","0","160003","0","556","17","7408","9594","1775",""
"3320","0","362856","1918081","BIG BEND BANKS, N.A.","Marfa","TX","79843","12/31/2016","2/22/2022","N","301 S. Highland Ave.","BIG BEND BANCSHARES CORP","2","0","0","7","1","Presidio","","","5/2/1907","1/1/1934","6/29/2009","Stock","0","1","OCC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Southern","West","0","1","www.marfanb.com","24386","717","25103","0","25103","14410","14410","54","8921","8392","529","0","5393","42","","2785","2082","","5794","0","0","402","5392","32","0","0","32","0","0","0","0","","0","0","54","0","551",""
"29637","3790","521970","","BIG HORN FEDERAL SAVINGS BANK","Greybull","WY","82426","12/31/2016","2/22/2022","SA","33 N. 6th St.","","6","0","0","8","0","Big Horn","","","1/1/1935","2/28/1936","7/21/2011","Non-Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","www.bighornfederal.com","95965","1621","97586","0","97586","64644","64644","3019","19369","19369","0","0","32670","9586","","7919","17657","","6985","0","591","4841","1553","381","0","381","0","0","0","0","0","","107","0","1573","1446","1433",""
"57973","0","3363975","3899456","BISCAYNE BANK","Coconut Grove","FL","33133","12/31/2016","2/22/2022","NM","2601 S. Bayshore Drive, 6th","BISCAYNE BANCSHARES INC","5","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/5/2005","7/5/2005","6/13/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","","637663","6622","644285","0","644285","614290","614290","16862","135928","60675","75253","70227","391273","0","","0","17006","0","9565","0","0","2578","6987","3424","0","0","3424","0","0","0","505543","43298","0","0","8820","8042","6187",""
"14083","0","354","","BISON STATE BANK","Bison","KS","67520","12/31/2016","2/22/2022","NM","223 Main St.","","1","0","0","2","0","Rush","","","1/1/1901","3/21/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","https://www.bisonstatebank.com","3469","155","3624","0","3624","1507","1507","0","283","125","158","0","554","670","","735","641","","715","0","0","483","232","27","0","0","27","0","0","0","0","","0","0","0","0","53",""
