cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"8289","0","644459","1248779","BANK CBO","Oregon","MO","64473","6/30/2014","8/25/2021","NM","125 W. Nodaway St.","WELLS BANCSHARES INC","2","0","0","4","0","Holt","","","2/7/1889","1/1/1934","10/20/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","20528","0","0","0","0","0","0","5266","0","30","506","0","61","14665","0","5802"
"5304","10916","594947","1208009","BANK FIRST NATIONAL","Manitowoc","WI","54220","6/30/2014","8/25/2021","N","402 N. Eighth St.","BANK FIRST NATIONAL CORP","12","0","0","4","0","Manitowoc","","","1/1/1894","1/1/1934","11/1/2007","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.bankfirstwi.bank","111317","706","579","0","1393","13521","1180","3133","10434","1010","1053","13168","20476","44664","0","2063"
"8941","15932","812557","1124257","BANK FORWARD","Hannaford","ND","58448","6/30/2014","8/25/2021","NM","390 Wheat St","SECURITY STATE BANK HOLDING CO","13","0","1","2","1","Griggs","","","9/5/1927","1/1/1934","8/23/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","WWW.BANKFORWARD.COM","42563","0","0","0","0","1531","2609","0","18862","7512","1455","3907","3246","3441","0","491"
"33686","0","790105","","BANK HAPOALIM B.M.","New York","NY","10036","6/30/2014","8/25/2021","OI","1177 Ave. Of Americas","","1","0","0","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1921","11/25/1974","4/4/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","","","","","","","","","","","","","","","","",""
"16604","9993","539032","1082209","BANK INDEPENDENT","Sheffield","AL","35660","6/30/2014","8/25/2021","SM","710 S. Montgomery Ave.","BANCINDEPENDENT INC","27","0","0","4","0","Colbert","22520","Florence-Muscle Shoals, AL","8/2/1947","8/2/1947","1/1/2012","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","www.bibank.com","43216","395","694","0","0","271","4027","157","689","6293","4679","13144","6143","6724","0","5147"
"14521","13639","187947","1202762","BANK IOWA","West Des Moines","IA","50266","6/30/2014","8/25/2021","SM","1150 Jordan Creek Pkwy.","BANK IOWA CORP","24","0","0","2","1","Dallas","19780","Des Moines-West Des Moines, IA","3/7/1923","6/28/1934","1/1/2012","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","WWW.BANKIOWA.BANK","305563","8","61","1352","161","97300","1477","1957","11670","3401","9659","15352","59016","102089","2060","10665"
"19842","0","101019","1232536","BANK LEUMI USA","New York","NY","10017","6/30/2014","8/25/2021","NM","579 5th Ave.","BANK LEUMI LE-ISRAEL B M","6","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","7/22/1968","7/22/1968","10/1/2010","Stock","0","1","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","http://www.leumiusa.com","727236","25019","0","0","0","28518","5465","76590","362830","30145","10014","27386","120847","38890","1532","20018"
"5170","0","45551","1203714","BANK MIDWEST","Spirit Lake","IA","51360","6/30/2014","8/25/2021","SM","1525 18th St.","GOODENOW BCORP","10","0","1","2","1","Dickinson","","","1/1/1887","1/1/1934","6/3/2011","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","bankmidwest.com","109760","148","0","4418","3072","16271","2999","0","0","7402","13711","11283","11184","39272","0","21113"
"30125","17079","806378","2929374","BANK MUTUAL","Brown Deer","WI","53223","6/30/2014","8/25/2021","SA","4949 W. Brown Deer Rd.","BANK MUTUAL CORP","76","0","1","4","0","Milwaukee","33340","Milwaukee-Waukesha-West Allis, WI","8/14/1940","8/14/1940","1/10/2014","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","0","","550411","0","116","4","91996","156769","0","181377","120149","0","0","0","0","0","0","116"
"15093","12035","12245","1245509","BANK NORTH","Wausaukee","WI","54177","6/30/2014","8/25/2021","NM","704 Main St.","STEPHENSON NATIONAL BCORP INC","5","0","0","4","1","Marinette","","","1/1/1903","1/20/1934","3/12/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","","33698","0","0","0","149","5953","653","3144","1763","1751","558","379","5813","13005","530","1809"
