cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"6990","0","287007","","THE PUTNAM COUNTY NATIONAL BANK OF CARMEL","Carmel","NY","10512","9/30/2015","11/17/2021","N","43 Gleneida Ave.","","6","0","0","4","0","Putnam","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1865","1/1/1934","6/2/2010","Stock","0","1","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.pcnb.biz","124555","124555","109817","0","14738","0","0","0","","12640","8416","111915","7674","83819","20422","116139","28955","95600","119071","102560","3517","0","0","0","",""
"8816","14071","429021","2618614","THE QUEENSTOWN BANK OF MARYLAND","Queenstown","MD","21658","9/30/2015","11/17/2021","NM","7101 Main St.","QUEENSTOWN BCORP OF MD INC","8","0","0","4","0","Queen Annes","12580","Baltimore-Columbia-Towson, MD","1/1/1899","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","http://www.queenstownbank.com","398049","398049","369163","0","28886","0","0","0","","122800","95119","275249","34146","48412","192690","302930","95119","302930","357307","340841","28924","302","302","0","",""
"2228","9902","548052","2043346","THE RAWLINS NATIONAL BANK","Rawlins","WY","82301","9/30/2015","11/17/2021","N","220 5th St.","CARBON COUNTY HOLDING CO","5","0","1","4","1","Carbon","","","1/1/1898","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","https://www.rnbonline.com","156853","156853","126144","0","30709","0","0","0","","81340","40019","75513","22962","19359","33192","116834","40019","116833","144433","108988","4135","0","0","0","",""
"9865","15680","148920","","THE REPUBLIC BANKING COMPANY","Republic","OH","44867","9/30/2015","11/17/2021","NM","202 Washington St.","","1","0","0","2","0","Seneca","","","1/1/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.republicbankingco.com","35287","35287","31671","0","3616","0","0","0","","11574","4100","23713","0","9179","14534","31187","4100","31187","30531","30105","828","0","0","0","",""
"12978","0","150727","1250651","THE RICHWOOD BANKING COMPANY","Richwood","OH","43344","9/30/2015","11/17/2021","SM","28 N. Franklin St.","RICHWOOD BANCSHARES INC","6","0","0","2","0","Union","18140","Columbus, OH","7/1/1867","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.richwoodbank.com","421145","421145","281982","0","139164","0","0","0","","36632","7971","384514","37188","234669","112655","413175","7971","413174","368831","267591","12214","0","0","0","",""
"4318","10389","319047","1141478","THE RIDDELL NATIONAL BANK","Brazil","IN","47834","9/30/2015","11/17/2021","N","1 E. National Ave.","RNB CORP","4","0","0","8","0","Clay","45460","Terre Haute, IN","6/15/1885","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","http://www.riddellonline.com","157118","157118","144764","12","12341","0","0","0","","60447","24877","96670","0","27581","69090","132240","24877","132241","145468","144399","11940","0","0","0","",""
"16120","52257","532752","1247389","THE RILEY STATE BANK OF RILEY, KANSAS","Riley","KS","66531","9/30/2015","11/17/2021","NM","201 S Broadway St.","RILEY COUNTY BANCSHARES INC","4","0","0","2","1","Riley","31740","Manhattan, KS","11/19/1943","1/27/1944","7/1/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.rileystatebank.com","69773","69773","57380","0","12392","0","0","0","","21371","9843","48401","12714","9012","26675","59929","9843","59930","63700","60819","6735","0","0","0","",""
"4019","0","433158","1891344","THE ROBERTS COUNTY NATIONAL BANK OF SISSETON","Sisseton","SD","57262","9/30/2015","11/17/2021","N","5 E. Maple St.","RCN HOLDING CO","1","0","0","2","1","Roberts","","","9/1/1896","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","50231","50231","43116","0","7115","0","0","0","","25036","9684","25195","10167","4363","10665","40547","9684","40547","50231","43841","2157","0","0","0","",""
"16193","0","235316","2855576","THE ROCKHOLD, BROWN & COMPANY BANK","Bainbridge","OH","45612","9/30/2015","11/17/2021","NM","101 E. Main St.","ROCKHOLD-BROWN BANCSHARES INC","2","0","0","4","0","Ross","","","8/9/1867","9/28/1944","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","WWW.ROCKHOLDBANK.COM","30736","30736","25763","0","2378","2595","0","0","","11663","9306","19073","4030","6349","8694","21430","9306","21430","28733","28771","0","2003","1403","592","",""
"1213","0","33268","1909445","THE ROSCOE STATE BANK","Roscoe","TX","79545","9/30/2015","11/17/2021","NM","117 Cypress St","ROSCOE FINANCIAL CORP","3","0","0","2","1","Nolan","","","12/6/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.rsb.bank","134916","134916","124190","0","10726","0","0","0","","59186","47200","75730","28416","8975","38339","87716","47200","87716","124224","108502","5641","0","0","0","",""
