cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntr,ntripc,ntrusgov,ntrmuni,ntrcomot,ntrfcfg,ntrfc,ntrfg
"58314","0","3404207","2260406","OLD PLANK TRAIL COMMUNITY BANK, NATIONAL ASSOCIATION","New Lenox","IL","60451","6/30/2011","11/15/2020","N","280 Veterans Pkwy.","WINTRUST FINANCIAL CORP","3","0","0","4","0","Will","16980","Chicago-Naperville-Elgin, IL-IN-WI","3/16/2006","3/16/2006","9/28/2007","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.oldplanktrailbank.com","227049","194339","0","32710","0","0","0","0"
"3603","14165","936136","1206911","OLD SECOND NATIONAL BANK","Aurora","IL","60506","6/30/2011","11/15/2020","N","37-39 S. River St.","OLD SECOND BCORP INC","27","0","0","4","0","Kane","16980","Chicago-Naperville-Elgin, IL-IN-WI","11/21/1887","1/1/1934","2/9/2008","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.oldsecond.com","1501456","1487116","8","14318","14","0","0","0"
"58561","0","3620913","","OLDTOWN BANK","Waynesville","NC","28786","6/30/2011","11/15/2020","NM","2045 S. Main St.","","1","0","0","4","0","Haywood","11700","Asheville, NC","9/10/2007","9/10/2007","2/23/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","","65208","62200","0","3008","0","0","0","0"
"34171","0","2391588","3153260","OLMSTED NATIONAL BANK","Rochester","MN","55901","6/30/2011","11/15/2020","N","975 34th Ave. Nw","OLMSTED HOLDING CORP","2","0","0","4","1","Olmsted","40340","Rochester, MN","5/9/1996","5/9/1996","4/10/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.bankononb.com","39937","34078","0","750","5109","0","0","0"
"28599","1925","550279","","OLYMPIA FEDERAL SAVINGS AND LOAN ASSOCIATION","Olympia","WA","98501","6/30/2011","11/15/2020","SA","5th &capitol Way","","7","0","0","5","0","Thurston","36500","Olympia-Tumwater, WA","1/1/1906","12/7/1934","3/31/2006","Non-Stock","0","0","OTS","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","www.olyfed.com","415513","415513","","","","","",""
"20628","12256","192156","3428502","OMAHA STATE BANK","Omaha","NE","68144","6/30/2011","11/15/2020","NM","12100 W. Ctr. Rd.","DS HOLDING CO INC","6","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","3/6/1972","3/6/1972","12/18/2009","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","","179798","179369","0","429","0","0","0","0"
"58050","17995","975984","","OMNIAMERICAN BANK","Fort Worth","TX","76107","6/30/2011","11/15/2020","SA","1320 S. University Dr.","","15","0","0","5","0","Tarrant","19100","Dallas-Fort Worth-Arlington, TX","1/1/2006","1/1/2006","1/20/2010","Stock","0","0","OTS","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","652481","652481","","","","","",""
"8871","0","854548","","OMNIBANK","Mantee","MS","39751","6/30/2011","11/15/2020","NM","Main St.","","6","0","0","4","0","Webster","","","1/1/1907","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","http://www.theomnibankonline.com","44366","43695","0","447","224","0","0","0"
"17325","11176","26859","1101735","OMNIBANK, NATIONAL ASSOCIATION","Houston","TX","77021","6/30/2011","11/15/2020","N","4328 Old Spanish Trail","BANCSHARES INC","10","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","5/15/1954","5/15/1954","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","194562","194562","0","0","0","0","0","0"
"35348","0","2826316","1094314","ONB BANK AND TRUST COMPANY","Tulsa","OK","74137","6/30/2011","11/15/2020","NM","8908 S. Yale Ave, # 100","CENTRAL BANCOMPANY INC","10","0","1","4","0","Tulsa","46140","Tulsa, OK","1/20/2000","1/20/2000","12/19/2008","Stock","0","1","FDIC","DIF","Dallas","KANSAS CITY","Oklahoma City","Kansas City","Southern","West","0","0","www.centralbank.net","462596","416379","0","35506","10711","0","0","0"
