cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,drlnls,drre,drrenus,iddrredm,drrecons,DRRECNFM,DRRECNOT,drreag,drreres,drremult,drrenres,DRRENROW,DRRENROT,drrefor,drdep,drdepnus,drag,drci,drcon,drcrcd,DRAUTO,DRCONOTH,drforgv,drother,drls,dragsm,crlnls,crre,crrenus,idcrredm,crrecons,CRRECNFM,CRRECNOT,crreag,crreres,crremult,crrenres,CRRENROW,CRRENROT,crrefor,crdep,crdepnus,crag,crci,crcon,crcrcd,CRAUTO,CRCONOTH,crforgv,crother,crls,cragsm,ntlnls,ntre,ntrenus,idntredm,ntrecons,NTRECNFM,NTRECNOT,ntreag,ntreres,ntremult,ntrenres,NTRENROW,NTRENROT,ntrefor,ntdep,ntdepnus,ntag,ntci,ntcinus,ntcon,ntcrcd,NTAUTO,NTCONOTH,ntforgv,ntother,ntls,ntagsm
"4829","0","746223","2706726","1880 BANK","Cambridge","MD","21613","6/30/2017","2/22/2022","SM","304 High St.","DELMARVA BANCSHARES INC","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","31","31","","31","0","0","0","0","31","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","9","1","","1","0","0","0","0","1","0","0","0","0","","","","","0","8","0","0","8","","0","0","0","22","30","","30","0","0","0","0","30","0","0","0","0","","","","","0","","-8","0","0","-8","","0","0","0"
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","6/30/2017","2/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","10","10","","10","10","0","10","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","-10","-10","","-10","-10","0","-10","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"22039","0","564856","1128415","1ST BANK","Broadus","MT","59317","6/30/2017","2/22/2022","SM","201 N. Wilbur Ave","1ST UNITED BCORP INC","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","3/6/2017","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","482","0","","0","0","0","0","0","0","0","0","0","0","","","","","482","0","0","0","0","","0","0","0","44","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","44","0","44","438","0","","0","0","0","0","0","0","0","0","0","0","","","","","482","","0","0","0","0","","-44","0","-44"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","6/30/2017","2/22/2022","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/19/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","50","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","50","0","44","6","","0","0","0","19","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","19","0","10","9","","0","0","0","31","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","31","0","34","-3","","0","0","0"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","6/30/2017","2/22/2022","SM","117 N. Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","9","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","9","0","0","9","","0","0","0","11","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","7","0","0","7","","4","0","4","-2","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","2","0","0","2","","-4","0","-4"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","6/30/2017","2/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","1331","1331","","1331","0","0","0","0","16","0","1315","32","1283","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","1331","1331","","1331","0","0","0","0","16","0","1315","32","1283","","","","","0","","0","0","0","0","","0","0","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","6/30/2017","2/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","9/4/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","14","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","3","0","0","3","","11","0","0","72","2","","2","0","0","0","0","2","0","0","0","0","","","","","63","1","0","0","1","","6","0","0","-58","-2","","-2","0","0","0","0","-2","0","0","0","0","","","","","-63","","2","0","0","2","","5","0","0"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","6/30/2017","2/22/2022","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","1","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","1","","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","1","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"58485","0","3594797","","1ST CAPITAL BANK","Salinas","CA","93901","6/30/2017","2/22/2022","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","71","0","","0","0","0","0","0","0","0","0","0","0","","","","","71","0","0","0","0","","0","0","0","20","0","","0","0","0","0","0","0","0","0","0","0","","","","","20","0","0","0","0","","0","0","0","51","0","","0","0","0","0","0","0","0","0","0","0","","","","","51","","0","0","0","0","","0","0","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","6/30/2017","2/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","488","259","","259","92","92","0","0","167","0","0","0","0","","","","","210","19","0","0","19","","0","0","0","116","50","","50","0","0","0","0","50","0","0","0","0","","","","","61","5","0","0","5","","0","0","0","372","209","","209","92","92","0","0","117","0","0","0","0","","","","","149","","14","0","0","14","","0","0","0"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","6/30/2017","2/22/2022","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"27552","10064","1412619","2784920","1ST CONSTITUTION BANK","Cranbury","NJ","8512","6/30/2017","2/22/2022","NM","2650 Rt. 130","1ST CONSTITUTION BCORP","18","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","2/8/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.1stconstitution.com","101","101","0","101","0","0","0","0","101","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","14","9","0","9","0","0","0","0","1","0","8","8","0","","","","","2","0","0","0","0","","3","0","0","87","92","0","92","0","0","0","0","100","0","-8","-8","0","","","","","-2","0","0","0","0","0","","-3","0","0"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","6/30/2017","2/22/2022","NM","3956 W. Dempster St.","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","66","65","","65","0","0","0","0","65","0","0","0","0","","","","","1","0","0","0","0","","0","0","0","-66","-65","","-65","0","0","0","0","-65","0","0","0","0","","","","","-1","","0","0","0","0","","0","0","0"
"57611","0","3203996","3203987","1ST EQUITY BANK NORTHWEST","Buffalo Grove","IL","60089","6/30/2017","2/22/2022","NM","1330 Dundee Rd.","NORTHWEST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","20","20","","20","0","0","0","0","0","20","0","0","0","","","","","0","0","0","0","0","","0","0","0","59","59","","59","0","0","0","0","59","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","-39","-39","","-39","0","0","0","0","-59","20","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","6/30/2017","2/22/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","15187","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","15183","15183","0","0","0","4","0","","3001","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","3000","3000","0","0","0","1","0","","12186","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","12183","12183","0","0","0","3","0",""
"6646","8805","480723","","1ST NATIONAL BANK","Lebanon","OH","45036","6/30/2017","2/22/2022","N","730 E. Main St.","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","60","43","","43","0","0","0","0","6","0","37","0","37","","","","","0","17","0","0","17","","0","0","0","3","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","3","0","0","3","","0","0","0","57","43","","43","0","0","0","0","6","0","37","0","37","","","","","0","","14","0","0","14","","0","0","0"
"57633","0","1018927","4347208","1ST SECURITY BANK OF WASHINGTON","Mountlake Terrac","WA","98043","6/30/2017","2/22/2022","SB","6920 220th St. Sw, # 300","FS BCORP INC","12","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","1/23/2016","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","384","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","384","0","0","384","","0","0","0","316","1","0","1","0","0","0","0","1","0","0","0","0","","","","","5","310","0","16","294","","0","0","0","68","-1","0","-1","0","0","0","0","-1","0","0","0","0","","","","","-5","0","74","0","-16","90","","0","0","0"
"9087","10250","991340","1199602","1ST SOURCE BANK","South Bend","IN","46601","6/30/2017","2/22/2022","SM","100 N. Michigan St, # B","1ST SOURCE CORP","85","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","2744","77","0","77","0","0","0","3","74","0","0","0","0","","","","","2333","181","0","38","143","","153","0","1","2377","199","0","199","0","0","0","3","134","0","62","59","3","","","","","2028","38","0","5","33","","103","9","0","367","-122","0","-122","0","0","0","0","-60","0","-62","-59","-3","","","","","305","1528","143","0","33","110","","50","-9","1"
"57626","0","3223305","3223293","1ST STATE BANK","Saginaw","MI","48604","6/30/2017","2/22/2022","NM","4800 Fashion Sq. Blvd, # 100","1ST STATE FINANCIAL LTD","4","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststate.bank","54","42","","42","0","0","0","0","42","0","0","0","0","","","","","12","0","0","0","0","","0","0","0","25","20","","20","0","0","0","0","15","0","5","3","2","","","","","2","3","0","0","3","","0","0","0","29","22","","22","0","0","0","0","27","0","-5","-3","-2","","","","","10","","-3","0","0","-3","","0","0","0"
"22543","14261","170640","3070152","1ST STATE BANK OF MASON CITY","Mason City","IL","62664","6/30/2017","2/22/2022","NM","123 W. Elm St.","FIRSTATE BCORP INC","1","0","0","7","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","11","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","11","0","11","0","","0","0","0","10","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","10","0","10","0","","0","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","1","0","1","0","","0","0","0"
"8426","10595","526519","1830240","1ST SUMMIT BANK","Johnstown","PA","15904","6/30/2017","2/22/2022","NM","125 Donald Ln.","1ST SUMMIT BCORP JOHNSTOWN INC","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.bank","755","590","0","590","0","0","0","0","40","0","550","0","550","","","","","33","132","21","23","88","","0","0","0","53","12","0","12","0","0","0","0","12","0","0","0","0","","","","","0","41","1","2","38","","0","0","0","702","578","0","578","0","0","0","0","28","0","550","0","550","","","","","33","0","91","20","21","50","","0","0","0"
"57869","0","3309393","","1ST TRUST BANK, INC.","Hazard","KY","41701","6/30/2017","2/22/2022","NM","24 Commerce Dr.","","5","0","0","4","0","Perry","","","12/13/2004","12/13/2004","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","586","0","","0","0","0","0","0","0","0","0","0","0","","","","","576","10","0","3","7","","0","0","0","10","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","10","0","0","10","","0","0","0","576","0","","0","0","0","0","0","0","0","0","0","0","","","","","576","","0","0","3","-3","","0","0","0"
"31249","6607","350572","4498726","1ST UNITED BANK","Faribault","MN","55021","6/30/2017","2/22/2022","NM","430 4th St Nw","J&B FINANCIAL HOLDINGS INC","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.1stunited.com","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"9751","0","340256","3304352","21ST CENTURY BANK","Loretto","MN","55357","6/30/2017","2/22/2022","NM","699 N. Medina St.","DOLPHIN FAMILY MANAGEMENT CO","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","121","67","0","67","0","0","0","0","0","0","67","67","0","","","","","14","40","0","0","40","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","121","67","0","67","0","0","0","0","0","0","67","67","0","","","","","14","0","40","0","0","40","","0","0","0"
