cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"14662","12475","338646","1098161","TRUSTBANK","Olney","IL","62450","9/30/2016","2/22/2022","NM","600 E. Main St.","RICH LAND BCORP INC","6","0","1","2","1","Richland","","","9/13/1912","8/7/1934","7/23/2014","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","https://trustbank.net","110981","11292","10688","342","39102","30735","66","2242","7","","","3491"
"31945","7635","677176","1048513","TRUSTCO BANK","Glenville","NY","12302","9/30/2016","2/22/2022","SA","1 Sarnowski Dr.","TRUSTCO BANK CORP NY","145","0","1","5","0","Schenectady","10580","Albany-Schenectady-Troy, NY","1/1/1925","10/26/1978","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","0","www.trustcobank.com","3257793","324157","180361","14172","1010311","724467","1654","6127","19","","","148933"
"4988","15770","342634","1079562","TRUSTMARK NATIONAL BANK","Jackson","MS","39201","9/30/2016","2/22/2022","N","248 E. Capitol St.","TRUSTMARK CORP","215","0","1","4","0","Hinds","27140","Jackson, MS","12/19/1889","1/1/1934","1/1/2014","Stock","0","1","OCC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","0","http://www.trustmark.com","5117917","434568","282945","16031","1411274","4327916","4202","17628","50","","","245883"
"28515","1754","539872","3601332","TRUSTTEXAS BANK, SSB","Cuero","TX","77954","9/30/2016","2/22/2022","SB","121 E. Courthouse","TRUSTTEXAS MUTUAL HOLDING CO","6","0","0","8","0","De Witt","","","1/1/1921","10/11/1935","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.trusttexas.bank","144700","9152","9026","499","51048","112872","157","1796","5","","","6816"
"57825","0","3290240","3925065","TRUXTON TRUST COMPANY","Nashville","TN","37205","9/30/2016","2/22/2022","SM","4525 Harding Rd, # 300","TRUXTON CORP","1","0","0","4","0","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","8/30/2004","8/30/2004","5/5/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.truxtontrust.com","142816","5017","12934","4433","11657","176011","226","0","0","","","11327"
"17208","14249","186548","","TSB BANK","Lomira","WI","53048","9/30/2016","2/22/2022","NM","695 E. Ave.","","3","0","0","4","0","Dodge","","","4/1/1905","4/20/1953","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","http://www.tsbbanking.com","69506","8372","5427","372","27842","26343","36","847","2","","","1711"
"29059","2842","767572","","TUCUMCARI FEDERAL SAVINGS AND LOAN ASSOCIATION","Tucumcari","NM","88401","9/30/2016","2/22/2022","SA","301 S 1st St","","1","0","0","5","0","Quay","","","7/1/1934","11/2/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","0","1","www.tucfed.com","17510","414","2326","77","13519","5677","10","0","0","","","5182"
"58586","0","3626184","","TURTLE MOUNTAIN STATE BANK","Belcourt","ND","58316","9/30/2016","2/22/2022","NM","908 Chief Little Shell St.","","1","0","0","4","1","Rolette","","","12/3/2007","12/3/2007","9/18/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.tmstatebank.com","18436","2217","0","0","11743","10901","16","0","0","","","2969"
"938","13058","598646","1840016","TUSCOLA NATIONAL BANK","Tuscola","IL","61953","9/30/2016","2/22/2022","N","900 S. Progress Blvd.","TNB BCORP INC","1","0","0","7","0","Douglas","","","1/1/1890","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.tnbbank.net","49921","4049","7012","210","19990","13116","25","1860","4","","","2112"
"32908","15161","1418255","3591611","TUSTIN COMMUNITY BANK","Tustin","CA","92780","9/30/2016","2/22/2022","NM","13891 Newport Ave, Suites 10","SADDLEBACK BCORP","1","0","0","4","1","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","4/23/1981","2/16/1990","8/4/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://tustincmtybank.com","39036","821","3144","73","25385","22631","41","383","1","","","6908"
"35261","0","2905761","3289477","TWIN CITY BANK","Longview","WA","98632","9/30/2016","2/22/2022","NM","729 Vandercook Way","TWIN CITY BCORP INC","1","0","0","4","0","Cowlitz","31020","Longview, WA","4/17/2000","4/17/2000","10/2/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","www.twincitybank.com","25027","1088","414","19","9203","21933","36","0","0","","","2379"
"15880","0","3405633","2619349","TWIN LAKES COMMUNITY BANK","Flippin","AR","72634","9/30/2016","2/22/2022","SM","301 S. 1st","FIRST NATIONAL BCORP INC","3","0","0","4","0","Marion","","","12/2/1930","2/10/1942","6/15/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","","74013","5060","8462","177","48713","21813","45","274","1","","","9325"
"22993","0","427960","2081722","TWIN RIVER NATIONAL BANK","Clarkston","WA","99403","9/30/2016","2/22/2022","N","900 5th St.","TWIN RIVER FINANCIAL CORP","4","0","1","4","1","Asotin","30300","Lewiston, ID-WA","11/15/1979","11/15/1979","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","http://www.twinriver.bank","55546","3961","1869","66","10998","37173","58","264","1","","","1288"
"35426","0","2888789","3395668","TWO RIVER COMMUNITY BANK","Middletown","NJ","7748","9/30/2016","2/22/2022","NM","1250 Hwy. 35, S.","TWO RIVER BCORP","16","0","0","4","0","Monmouth","35620","New York-Newark-Jersey City, NY-NJ-PA","2/28/2000","2/28/2000","1/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","362913","18557","8826","336","132447","371629","540","0","0","","","8614"
"34468","0","335355","2004749","TWO RIVERS BANK","Blair","NE","68008","9/30/2016","2/22/2022","NM","555 S. 19th St.","ARLINGTON ST BANC HOLDING CO","2","0","0","2","1","Washington","36540","Omaha-Council Bluffs, NE-IA","2/3/1997","2/3/1997","11/12/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","","78474","5393","2811","141","30900","32085","51","0","0","","","5054"
"58013","0","3320781","1947102","TWO RIVERS BANK & TRUST","Burlington","IA","52601","9/30/2016","2/22/2022","NM","222 N. Main St.","TWO RIVERS FINANCIAL GROUP INC","12","0","0","4","0","Des Moines","","","5/2/2005","5/2/2005","6/4/2010","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.tworivers.bank","384843","28031","8102","641","90043","196285","258","299","1","","","24843"
"57369","0","3146150","","U. S. CENTURY BANK","Doral","FL","33172","9/30/2016","2/22/2022","NM","2301 Nw 87th Ave.","","17","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","10/28/2002","10/28/2002","11/22/2007","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","http://www.uscentury.com","486070","19297","14384","396","178031","247317","464","881","3","","","36020"
