cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"15586","9363","744256","1057850","FIRST STATE BANK","Scottsbluff","NE","69361","9/30/2010","8/17/2020","NM","2002 Broadway","FIRST STATE BANCSHARES INC","3","0","1","4","1","Scotts Bluff","","","9/12/1935","3/5/1938","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","www.fsbcentral.com","69022","24","12949","53807","2242","35951","0","6776","26256","2919"
"15369","0","358149","2652887","FIRST STATE BANK","Sioux Rapids","IA","50585","9/30/2010","8/17/2020","NM","123 Main St.","LITTLE SIOUX BANCSHARES INC","2","0","0","2","0","Buena Vista","","","7/12/1930","3/24/1936","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","","8359","2051","4165","2143","0","2184","316","1652","216","0"
"10709","0","564463","1107812","FIRST STATE BANK","Yoakum","TX","77995","9/30/2010","8/17/2020","NM","406 W. Grand Ave.","FIRST ST BANCSHARES YOAKUM INC","2","0","0","8","1","De Witt","","","1/1/1931","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.crbanktx.com","24954","5444","13775","4321","1414","12167","3578","5327","2855","407"
"9879","0","99853","1050178","FIRST STATE BANK","Noble","OK","73068","9/30/2010","8/17/2020","NM","102 N. 3rd St.","NOBLE BANCSHARES INC","2","0","0","8","0","Cleveland","36420","Oklahoma City, OK","7/4/1902","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.fsbnoble.com","13521","4625","6508","2346","42","10338","1902","6430","2006","0"
"8500","15780","822846","2592705","FIRST STATE BANK","Ida Grove","IA","51445","9/30/2010","8/17/2020","NM","200 Moorehead Ave.","FIRST STATE BANCSHARES INC","5","0","0","2","1","Ida","","","1/1/1933","1/1/1934","7/8/2008","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","www.firststbk.com","45395","14283","28378","2574","160","20631","6102","13230","744","555"
"15694","0","947150","2972464","FIRST STATE BANK","Yukon","OK","73099","9/30/2010","8/17/2020","NM","309 S. Ranchwood Blvd.","WAUKOMIS BANCSHARES INC","1","0","0","4","1","Canadian","36420","Oklahoma City, OK","4/1/1939","10/31/1939","5/26/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","","3819","1274","1506","987","52","3735","1129","1105","1401","100"
"16695","13105","410560","1138160","FIRST STATE BANK","Stratford","TX","79084","9/30/2010","8/17/2020","NM","302 N. Main St.","STRATFORD BANCSHARES INC","3","0","0","2","1","Sherman","","","4/26/1948","4/26/1948","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.firstclassbanking.com","23058","12740","10315","3","0","31269","17451","13718","100","0"
"17856","0","750154","2088208","FIRST STATE BANK","Chico","TX","76431","9/30/2010","8/17/2020","NM","201 S. Weatherford St.","CHICO BCORP INC","5","0","0","4","1","Wise","19100","Dallas-Fort Worth-Arlington, TX","4/18/1958","4/18/1958","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","49792","11181","33847","4708","56","57985","16804","35794","5387","0"
"17775","0","719964","3938720","FIRST STATE BANK","Paint Rock","TX","76866","9/30/2010","8/17/2020","NM","Truehart &moss St.","PAINT ROCK BANCSHARES INC","2","0","0","2","1","Concho","","","1/1/1910","6/20/1957","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.fsbpaintrock.com","10640","4136","6447","57","0","14122","6008","8114","0","0"
"18924","0","116554","1067569","FIRST STATE BANK","Elmore City","OK","73433","9/30/2010","8/17/2020","NM","206 S Main St","ELMORE CITY BANCSHARES INC","1","0","0","7","0","Garvin","","","1/1/1903","10/24/1963","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","fsbec.com","815","349","466","0","0","0","0","0","0","0"
